  STRAIN   SUBSTRUCTURE     MODE1     MODE2     MODE3
   0.000 0.1000000E+00 0.5550000E+11 0.5550000E+11 0.5550000E+11
   0.001 0.4133453E+00 0.6190164E+11 0.6113201E+11 0.6143037E+11
   0.002 0.1220472E+01 0.6913923E+11 0.6747455E+11 0.6811107E+11
   0.003 0.2918520E+01 0.7713729E+11 0.7444668E+11 0.7546500E+11
   0.004 0.6079441E+01 0.8588929E+11 0.8204231E+11 0.8348682E+11
   0.005 0.1149160E+02 0.9538433E+11 0.9025861E+11 0.9216909E+11
   0.006 0.2020698E+02 0.1056198E+12 0.9907872E+11 0.1015092E+12
   0.007 0.3359159E+02 0.1165792E+12 0.1085022E+12 0.1115014E+12
   0.008 0.5337608E+02 0.1282542E+12 0.1185371E+12 0.1221232E+12
   0.009 0.8171765E+02 0.1406598E+12 0.1291515E+12 0.1333703E+12
   0.010 0.1212469E+03 0.1537520E+12 0.1403443E+12 0.1452579E+12
   0.011 0.1751638E+03 0.1675721E+12 0.1521169E+12 0.1577357E+12
   0.012 0.2472373E+03 0.1820439E+12 0.1645051E+12 0.1708159E+12
   0.013 0.3419856E+03 0.1972931E+12 0.1773868E+12 0.1844905E+12
   0.014 0.4646636E+03 0.2132237E+12 0.1908234E+12 0.1987869E+12
   0.015 0.6212728E+03 0.2296868E+12 0.2048737E+12 0.2137481E+12
   0.016 0.8185888E+03 0.2468820E+12 0.2194495E+12 0.2292203E+12
   0.017 0.1064498E+04 0.2647028E+12 0.2345061E+12 0.2453469E+12
   0.018 0.1368038E+04 0.2830962E+12 0.2501500E+12 0.2620874E+12
   0.019 0.1738841E+04 0.3022181E+12 0.2662560E+12 0.2793194E+12
   0.020 0.2187038E+04 0.3217721E+12 0.2828485E+12 0.2972336E+12
   0.021 0.2727470E+04 0.3421220E+12 0.2999466E+12 0.3156700E+12
   0.022 0.3370445E+04 0.3630969E+12 0.3176578E+12 0.3343883E+12
   0.023 0.4133649E+04 0.3849247E+12 0.3356522E+12 0.3536750E+12
   0.024 0.5030829E+04 0.4066289E+12 0.3544613E+12 0.3738140E+12
   0.025 0.6081592E+04 0.4295438E+12 0.3737808E+12 0.3938532E+12
   0.026 0.7306110E+04 0.4529360E+12 0.3931788E+12 0.4149597E+12
   0.027 0.8725081E+04 0.4768709E+12 0.4133039E+12 0.4363778E+12
   0.028 0.1036092E+05 0.5013820E+12 0.4337208E+12 0.4584640E+12
   0.029 0.1223568E+05 0.5263293E+12 0.4547281E+12 0.4810107E+12
   0.030 0.1437821E+05 0.5515859E+12 0.4762036E+12 0.5042796E+12
   0.031 0.1681841E+05 0.5776535E+12 0.4981079E+12 0.5278338E+12
   0.032 0.1958505E+05 0.6042995E+12 0.5204121E+12 0.5518384E+12
   0.033 0.2270810E+05 0.6316112E+12 0.5429661E+12 0.5763413E+12
   0.034 0.2621903E+05 0.6590120E+12 0.5661274E+12 0.6015254E+12
   0.035 0.3016482E+05 0.6870661E+12 0.5895820E+12 0.6272454E+12
