  %STRAIN  PHFRAC   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   TWFR4   TWFR5
   0.000   1.000   2.351   0.888   0.000   0.016   0.096   0.000   0.000   0.000
   0.001   1.000   2.309   0.898   0.000   0.017   0.084   0.000   0.001   0.000
   0.002   1.000   2.332   0.897   0.000   0.017   0.085   0.000   0.002   0.000
   0.003   1.000   2.333   0.896   0.000   0.017   0.086   0.000   0.003   0.000
   0.004   1.000   2.339   0.895   0.000   0.017   0.087   0.000   0.004   0.000
   0.005   1.000   2.350   0.894   0.000   0.017   0.088   0.000   0.006   0.000
   0.006   1.000   2.388   0.893   0.000   0.017   0.089   0.000   0.007   0.000
   0.007   0.999   2.407   0.892   0.000   0.017   0.091   0.000   0.008   0.000
   0.008   0.999   2.442   0.891   0.000   0.017   0.092   0.000   0.009   0.000
   0.009   0.999   2.467   0.890   0.000   0.017   0.093   0.000   0.010   0.000
   0.010   0.998   2.473   0.888   0.000   0.017   0.094   0.000   0.011   0.000
   0.011   0.998   2.487   0.887   0.000   0.018   0.095   0.000   0.012   0.000
   0.012   0.997   2.524   0.886   0.000   0.018   0.097   0.000   0.014   0.000
   0.013   0.996   2.525   0.885   0.000   0.018   0.098   0.000   0.015   0.000
   0.014   0.994   2.538   0.883   0.000   0.018   0.100   0.000   0.016   0.000
   0.015   0.993   2.580   0.881   0.000   0.018   0.101   0.000   0.017   0.000
   0.016   0.992   2.598   0.880   0.000   0.018   0.102   0.000   0.019   0.000
   0.017   0.991   2.637   0.878   0.000   0.018   0.104   0.000   0.020   0.000
   0.018   0.990   2.638   0.877   0.000   0.018   0.105   0.000   0.021   0.000
   0.019   0.989   2.655   0.876   0.000   0.018   0.106   0.000   0.023   0.000
   0.020   0.988   2.692   0.874   0.000   0.018   0.108   0.000   0.024   0.000
   0.021   0.987   2.691   0.873   0.000   0.018   0.109   0.000   0.025   0.000
   0.022   0.986   2.703   0.872   0.000   0.018   0.110   0.000   0.027   0.000
   0.023   0.984   2.717   0.870   0.000   0.018   0.112   0.000   0.028   0.000
   0.024   0.982   2.737   0.869   0.000   0.018   0.113   0.000   0.030   0.000
   0.025   0.981   2.762   0.867   0.000   0.019   0.114   0.000   0.031   0.000
   0.026   0.979   2.766   0.866   0.000   0.019   0.116   0.000   0.032   0.000
   0.027   0.978   2.776   0.864   0.000   0.019   0.117   0.000   0.034   0.000
   0.028   0.977   2.785   0.863   0.000   0.019   0.118   0.000   0.035   0.000
   0.029   0.975   2.817   0.861   0.000   0.019   0.120   0.000   0.037   0.000
   0.030   0.974   2.829   0.860   0.000   0.019   0.121   0.000   0.038   0.000
   0.031   0.973   2.840   0.859   0.000   0.019   0.122   0.000   0.040   0.000
   0.032   0.972   2.857   0.857   0.000   0.019   0.124   0.000   0.042   0.000
   0.033   0.970   2.858   0.856   0.000   0.019   0.125   0.000   0.043   0.000
   0.034   0.969   2.879   0.854   0.000   0.019   0.126   0.000   0.045   0.000
   0.035   0.967   2.886   0.853   0.000   0.019   0.128   0.000   0.046   0.000
   0.036   0.966   2.909   0.851   0.000   0.020   0.129   0.000   0.048   0.000
   0.037   0.964   2.929   0.849   0.000   0.020   0.131   0.000   0.050   0.000
   0.038   0.963   2.930   0.848   0.000   0.020   0.132   0.000   0.051   0.000
   0.039   0.961   2.935   0.847   0.000   0.020   0.133   0.000   0.053   0.000
   0.040   0.959   2.966   0.845   0.000   0.020   0.135   0.000   0.055   0.000
   0.041   0.958   2.990   0.844   0.000   0.020   0.136   0.000   0.057   0.000
   0.042   0.956   3.000   0.842   0.000   0.020   0.138   0.000   0.058   0.000
   0.043   0.955   3.018   0.841   0.000   0.020   0.139   0.000   0.060   0.000
   0.044   0.953   3.021   0.839   0.000   0.020   0.140   0.000   0.062   0.000
   0.045   0.951   3.029   0.838   0.000   0.021   0.142   0.000   0.064   0.000
   0.046   0.950   3.027   0.836   0.000   0.021   0.143   0.000   0.066   0.000
   0.047   0.948   3.047   0.834   0.000   0.021   0.145   0.000   0.067   0.000
   0.048   0.947   3.055   0.833   0.000   0.021   0.146   0.000   0.069   0.000
   0.049   0.945   3.062   0.831   0.000   0.021   0.147   0.000   0.071   0.000
   0.050   0.943   3.062   0.830   0.000   0.021   0.149   0.000   0.073   0.000
   0.051   0.941   3.075   0.827   0.000   0.022   0.151   0.000   0.075   0.000
   0.052   0.939   3.082   0.826   0.000   0.022   0.152   0.000   0.077   0.000
   0.053   0.937   3.096   0.824   0.000   0.022   0.154   0.000   0.079   0.000
   0.054   0.935   3.101   0.823   0.000   0.022   0.155   0.000   0.081   0.000
   0.055   0.933   3.108   0.821   0.000   0.022   0.156   0.000   0.083   0.000
   0.056   0.931   3.118   0.819   0.000   0.022   0.158   0.000   0.085   0.000
   0.057   0.929   3.118   0.818   0.000   0.023   0.159   0.000   0.087   0.000
   0.058   0.927   3.128   0.816   0.000   0.023   0.161   0.000   0.089   0.000
   0.059   0.925   3.133   0.814   0.000   0.023   0.162   0.000   0.091   0.000
   0.060   0.923   3.133   0.813   0.000   0.023   0.164   0.000   0.093   0.000
   0.061   0.921   3.140   0.811   0.000   0.023   0.165   0.000   0.095   0.000
   0.062   0.919   3.156   0.809   0.000   0.024   0.167   0.000   0.098   0.000
   0.063   0.917   3.173   0.808   0.000   0.024   0.168   0.000   0.100   0.000
   0.064   0.915   3.177   0.806   0.000   0.024   0.169   0.000   0.102   0.000
   0.065   0.913   3.179   0.804   0.000   0.024   0.171   0.000   0.104   0.000
   0.066   0.911   3.188   0.802   0.000   0.025   0.172   0.000   0.106   0.000
   0.067   0.909   3.195   0.801   0.001   0.025   0.174   0.000   0.109   0.000
   0.068   0.907   3.201   0.799   0.001   0.025   0.175   0.000   0.111   0.000
   0.069   0.905   3.215   0.798   0.001   0.025   0.176   0.000   0.113   0.000
   0.070   0.903   3.214   0.796   0.001   0.025   0.178   0.000   0.116   0.000
   0.071   0.901   3.216   0.794   0.001   0.026   0.179   0.000   0.118   0.000
   0.072   0.899   3.230   0.793   0.001   0.026   0.180   0.000   0.120   0.000
   0.073   0.897   3.241   0.791   0.001   0.026   0.182   0.000   0.123   0.000
   0.074   0.895   3.249   0.790   0.001   0.026   0.183   0.000   0.125   0.000
   0.075   0.892   3.251   0.788   0.001   0.027   0.185   0.000   0.127   0.000
   0.076   0.890   3.265   0.786   0.001   0.027   0.186   0.000   0.130   0.000
   0.077   0.887   3.271   0.785   0.001   0.027   0.187   0.000   0.132   0.000
   0.078   0.885   3.280   0.783   0.001   0.028   0.188   0.000   0.135   0.000
   0.079   0.883   3.286   0.782   0.001   0.028   0.189   0.000   0.137   0.000
   0.080   0.881   3.303   0.780   0.001   0.028   0.191   0.000   0.140   0.000
   0.081   0.879   3.318   0.779   0.001   0.028   0.192   0.000   0.142   0.000
   0.082   0.877   3.321   0.777   0.001   0.029   0.193   0.000   0.145   0.000
   0.083   0.874   3.328   0.775   0.001   0.029   0.194   0.000   0.147   0.000
   0.084   0.872   3.331   0.774   0.001   0.029   0.195   0.000   0.150   0.000
   0.085   0.870   3.333   0.772   0.002   0.030   0.197   0.000   0.153   0.000
   0.086   0.867   3.348   0.771   0.002   0.030   0.198   0.000   0.155   0.000
