  STRAIN   SUBSTRUCTURE     MODE1     MODE2     MODE3
   0.000 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
   0.001 0.1000000E+00 0.5550000E+11 0.5550000E+11 0.5550000E+11
   0.002 0.1644579E+00 0.5552655E+11 0.5929303E+11 0.5550000E+11
   0.003 0.7431529E+00 0.6674231E+11 0.6210741E+11 0.5844038E+11
   0.004 0.3770998E+01 0.7006856E+11 0.7854388E+11 0.6285572E+11
   0.005 0.4477339E+01 0.7533960E+11 0.7852470E+11 0.6433800E+11
   0.006 0.7460772E+01 0.7843096E+11 0.7532212E+11 0.6457727E+11
   0.007 0.1500532E+02 0.8219693E+11 0.7293104E+11 0.7860919E+11
   0.008 0.1994171E+02 0.8411067E+11 0.8182311E+11 0.7787589E+11
   0.009 0.2006554E+02 0.8426174E+11 0.8190441E+11 0.7795313E+11
   0.010 0.3856285E+02 0.8293874E+11 0.8910922E+11 0.8025504E+11
   0.011 0.3879713E+02 0.8307963E+11 0.8922550E+11 0.8040938E+11
   0.012 0.3903989E+02 0.8322704E+11 0.8933973E+11 0.8062014E+11
   0.013 0.8829078E+02 0.8747006E+11 0.9738571E+11 0.8217580E+11
   0.014 0.8838784E+02 0.8763858E+11 0.9749610E+11 0.8247993E+11
   0.015 0.8849266E+02 0.8782517E+11 0.9760668E+11 0.8284005E+11
   0.016 0.8860478E+02 0.8803527E+11 0.9771843E+11 0.8325683E+11
   0.017 0.8872855E+02 0.8827802E+11 0.9783181E+11 0.8372903E+11
   0.018 0.8887172E+02 0.8856298E+11 0.9794926E+11 0.8425592E+11
   0.019 0.8904096E+02 0.8889888E+11 0.9807467E+11 0.8483796E+11
   0.020 0.8924457E+02 0.8929600E+11 0.9821140E+11 0.8547572E+11
   0.021 0.8949269E+02 0.8976462E+11 0.9836224E+11 0.8616916E+11
   0.022 0.8979552E+02 0.9031210E+11 0.9853008E+11 0.8691843E+11
   0.023 0.1847465E+03 0.9072460E+11 0.1028350E+12 0.9187338E+11
   0.024 0.2717550E+03 0.9529542E+11 0.1028228E+12 0.9586120E+11
   0.025 0.2725249E+03 0.9612123E+11 0.1030341E+12 0.9677108E+11
   0.026 0.2733382E+03 0.9704358E+11 0.1032612E+12 0.9773742E+11
   0.027 0.5645226E+04 0.1096168E+12 0.1022699E+12 0.9764556E+11
   0.028 0.5550680E+04 0.1105042E+12 0.1025516E+12 0.9871861E+11
   0.029 0.5456211E+04 0.1114900E+12 0.1028550E+12 0.9985014E+11
   0.030 0.6349938E+04 0.1188308E+12 0.1028362E+12 0.1184602E+12
   0.031 0.6270415E+04 0.1200948E+12 0.1031837E+12 0.1199405E+12
   0.032 0.6191538E+04 0.1214600E+12 0.1035581E+12 0.1214796E+12
   0.033 0.6113519E+04 0.1229280E+12 0.1039593E+12 0.1230795E+12
   0.034 0.6036603E+04 0.1245002E+12 0.1043871E+12 0.1247411E+12
   0.035 0.5960972E+04 0.1261786E+12 0.1048403E+12 0.1264648E+12
   0.036 0.1705571E+05 0.1960367E+12 0.1045868E+12 0.1363232E+12
   0.037 0.1722015E+05 0.1993394E+12 0.1050694E+12 0.1383147E+12
   0.038 0.1738287E+05 0.2027277E+12 0.1055785E+12 0.1403641E+12
   0.039 0.1754431E+05 0.2062040E+12 0.1061148E+12 0.1424712E+12
   0.040 0.1770504E+05 0.2097713E+12 0.1066788E+12 0.1446350E+12
   0.041 0.1786546E+05 0.2134319E+12 0.1072711E+12 0.1468553E+12
   0.042 0.1802580E+05 0.2171882E+12 0.1078944E+12 0.1491312E+12
   0.043 0.1818638E+05 0.2210419E+12 0.1085488E+12 0.1514625E+12
   0.044 0.1834747E+05 0.2249946E+12 0.1092345E+12 0.1538489E+12
   0.045 0.1850934E+05 0.2290475E+12 0.1099515E+12 0.1562899E+12
   0.046 0.1867214E+05 0.2332018E+12 0.1107001E+12 0.1587855E+12
   0.047 0.1883642E+05 0.2374662E+12 0.1114827E+12 0.1613392E+12
   0.048 0.1900159E+05 0.2418288E+12 0.1122954E+12 0.1639441E+12
   0.049 0.1916828E+05 0.2462959E+12 0.1131390E+12 0.1666025E+12
   0.050 0.1933667E+05 0.2508688E+12 0.1140136E+12 0.1693139E+12
   0.051 0.1950687E+05 0.2555484E+12 0.1149200E+12 0.1720779E+12
   0.052 0.1967893E+05 0.2603347E+12 0.1158583E+12 0.1748959E+12
   0.053 0.1985299E+05 0.2652285E+12 0.1168286E+12 0.1777677E+12
   0.054 0.2002919E+05 0.2702306E+12 0.1178312E+12 0.1806929E+12
   0.055 0.2020769E+05 0.2753416E+12 0.1188663E+12 0.1836718E+12
   0.056 0.2038860E+05 0.2805612E+12 0.1199336E+12 0.1867077E+12
   0.057 0.2057212E+05 0.2858902E+12 0.1210334E+12 0.1898011E+12
   0.058 0.2075849E+05 0.2913291E+12 0.1221658E+12 0.1929523E+12
   0.059 0.2094794E+05 0.2968787E+12 0.1233310E+12 0.1961620E+12
   0.060 0.2114074E+05 0.3025397E+12 0.1245293E+12 0.1994307E+12
   0.061 0.2133719E+05 0.3083130E+12 0.1257607E+12 0.2027588E+12
   0.062 0.2153761E+05 0.3141994E+12 0.1270255E+12 0.2061469E+12
   0.063 0.2174233E+05 0.3201998E+12 0.1283244E+12 0.2095952E+12
   0.064 0.2195168E+05 0.3263151E+12 0.1296580E+12 0.2131037E+12
   0.065 0.2216608E+05 0.3325461E+12 0.1310264E+12 0.2166730E+12
   0.066 0.2238596E+05 0.3388932E+12 0.1324297E+12 0.2203032E+12
   0.067 0.2590457E+05 0.3453014E+12 0.1347756E+12 0.2260165E+12
   0.068 0.2620278E+05 0.3518802E+12 0.1362669E+12 0.2298091E+12
   0.069 0.2650753E+05 0.3585767E+12 0.1377931E+12 0.2336634E+12
   0.070 0.2681932E+05 0.3653906E+12 0.1393545E+12 0.2375796E+12
   0.071 0.2713868E+05 0.3723221E+12 0.1409509E+12 0.2415597E+12
   0.072 0.2746613E+05 0.3793705E+12 0.1425825E+12 0.2456082E+12
   0.073 0.2780214E+05 0.3865347E+12 0.1442486E+12 0.2497355E+12
   0.074 0.2814724E+05 0.3938129E+12 0.1459485E+12 0.2539562E+12
   0.075 0.2850234E+05 0.4012058E+12 0.1476826E+12 0.2582714E+12
   0.076 0.2886845E+05 0.4087144E+12 0.1494510E+12 0.2626818E+12
