  %STRAIN  PHFRAC   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   TWFR4   TWFR5
   0.000   1.000   3.075   0.317   0.182   0.496   0.004   0.001   0.000   0.000
   0.001   1.000   3.090   0.318   0.182   0.496   0.004   0.000   0.000   0.000
   0.002   1.000   3.104   0.318   0.182   0.496   0.004   0.000   0.000   0.000
   0.003   1.000   3.120   0.317   0.183   0.495   0.004   0.000   0.000   0.000
   0.004   1.000   3.130   0.317   0.184   0.495   0.004   0.000   0.000   0.000
   0.005   1.000   3.146   0.317   0.184   0.495   0.004   0.000   0.000   0.000
   0.006   1.000   3.170   0.317   0.185   0.494   0.004   0.000   0.000   0.000
   0.007   1.000   3.185   0.316   0.186   0.494   0.004   0.000   0.000   0.000
   0.008   1.000   3.195   0.316   0.186   0.493   0.004   0.000   0.001   0.000
   0.009   1.000   3.209   0.316   0.187   0.493   0.004   0.000   0.001   0.000
   0.010   1.000   3.217   0.315   0.188   0.493   0.004   0.000   0.001   0.000
   0.011   0.999   3.254   0.315   0.189   0.492   0.004   0.000   0.001   0.000
   0.012   0.999   3.298   0.315   0.190   0.492   0.004   0.000   0.001   0.000
   0.013   0.999   3.312   0.314   0.191   0.491   0.004   0.000   0.001   0.000
   0.014   0.999   3.326   0.314   0.191   0.490   0.004   0.000   0.001   0.000
   0.015   0.999   3.372   0.314   0.192   0.490   0.004   0.000   0.001   0.000
   0.016   0.999   3.398   0.313   0.193   0.489   0.004   0.000   0.001   0.000
   0.017   0.999   3.424   0.313   0.194   0.489   0.004   0.000   0.001   0.000
   0.018   0.999   3.437   0.313   0.195   0.488   0.004   0.000   0.001   0.000
   0.019   0.999   3.468   0.312   0.196   0.487   0.004   0.000   0.001   0.000
   0.020   0.999   3.496   0.312   0.198   0.487   0.004   0.000   0.001   0.000
   0.021   0.999   3.518   0.312   0.199   0.486   0.004   0.000   0.001   0.000
   0.022   0.999   3.536   0.311   0.200   0.485   0.004   0.000   0.001   0.000
   0.023   0.999   3.560   0.311   0.201   0.484   0.003   0.000   0.001   0.000
   0.024   0.999   3.601   0.311   0.202   0.484   0.003   0.000   0.001   0.000
   0.025   0.999   3.619   0.310   0.203   0.483   0.003   0.000   0.002   0.000
   0.026   0.999   3.657   0.310   0.205   0.482   0.003   0.000   0.002   0.000
   0.027   0.999   3.666   0.309   0.206   0.481   0.003   0.000   0.002   0.000
   0.028   0.999   3.693   0.309   0.207   0.480   0.003   0.000   0.002   0.000
   0.029   0.999   3.710   0.309   0.208   0.479   0.003   0.000   0.002   0.000
