  %STRAIN  PHFRAC   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   TWFR4   TWFR5
   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.001   0.000   2.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.002   0.000   2.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.003   0.000   1.977   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.004   0.000   1.268   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.005   0.000   1.242   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.006   0.000   1.181   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.007   0.000   1.125   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.008   0.000   1.070   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.009   0.000   1.046   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.010   0.000   1.040   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.011   0.001   1.043   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.012   0.001   1.050   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.013   0.001   1.098   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.014   0.001   1.113   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.015   0.001   1.222   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.016   0.001   1.240   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.017   0.001   1.258   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.018   0.001   1.335   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.019   0.001   1.361   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.020   0.001   1.387   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.021   0.001   1.412   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.022   0.001   1.487   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.023   0.001   1.502   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.024   0.001   1.515   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.025   0.001   1.525   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.026   0.001   1.534   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.027   0.001   1.541   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.028   0.001   1.700   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.029   0.001   1.702   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.030   0.001   1.703   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.031   0.001   1.728   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.032   0.002   1.814   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.033   0.002   1.814   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.034   0.002   1.813   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.035   0.002   1.813   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.036   0.002   1.812   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.037   0.002   1.811   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.038   0.002   1.810   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.039   0.002   1.809   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.040   0.002   1.808   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.041   0.002   1.807   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.042   0.002   1.843   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.043   0.002   1.841   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.044   0.002   1.842   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.045   0.002   1.907   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.046   0.002   1.904   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.047   0.002   1.902   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.048   0.002   1.921   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.049   0.002   1.920   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.050   0.002   2.015   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.051   0.002   2.013   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.052   0.002   2.011   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.053   0.002   2.009   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.054   0.002   2.007   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.055   0.003   2.005   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.056   0.003   2.029   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.057   0.003   2.027   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.058   0.003   2.026   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.059   0.003   2.049   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.060   0.003   2.047   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.061   0.003   2.045   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.062   0.003   2.043   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.063   0.003   2.042   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.064   0.003   2.040   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.065   0.003   2.038   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.066   0.003   2.071   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.067   0.003   2.069   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.068   0.003   2.067   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.069   0.003   2.125   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.070   0.003   2.123   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.071   0.003   2.121   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.072   0.003   2.119   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.073   0.003   2.117   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.074   0.003   2.115   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.075   0.003   2.113   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.076   0.003   2.111   0.001   0.000   0.000   0.000   0.000   0.000   0.000
   0.077   0.003   2.110   0.001   0.000   0.000   0.000   0.000   0.000   0.000
   0.078   0.003   2.108   0.001   0.000   0.000   0.000   0.000   0.000   0.000
   0.079   0.003   2.135   0.001   0.000   0.000   0.000   0.000   0.000   0.000
   0.080   0.003   2.171   0.001   0.000   0.000   0.000   0.000   0.000   0.000
   0.081   0.003   2.169   0.001   0.000   0.000   0.000   0.001   0.000   0.000
   0.082   0.003   2.167   0.001   0.000   0.000   0.000   0.001   0.000   0.000
   0.083   0.003   2.164   0.001   0.000   0.000   0.000   0.001   0.000   0.000
   0.084   0.003   2.163   0.001   0.000   0.000   0.000   0.001   0.000   0.000
   0.085   0.003   2.245   0.001   0.000   0.000   0.000   0.001   0.000   0.000
   0.086   0.004   2.244   0.001   0.000   0.000   0.000   0.001   0.000   0.000
   0.087   0.004   2.243   0.001   0.000   0.000   0.000   0.001   0.000   0.000
   0.088   0.004   2.242   0.001   0.000   0.000   0.000   0.001   0.000   0.000
   0.089   0.004   2.240   0.001   0.000   0.000   0.000   0.001   0.000   0.000
   0.090   0.004   2.239   0.001   0.000   0.000   0.000   0.001   0.000   0.000
   0.091   0.004   2.238   0.001   0.000   0.000   0.000   0.001   0.000   0.000
   0.092   0.004   2.237   0.001   0.000   0.000   0.000   0.001   0.000   0.000
   0.093   0.004   2.355   0.001   0.000   0.000   0.000   0.001   0.000   0.000
   0.094   0.004   2.354   0.001   0.000   0.000   0.000   0.001   0.000   0.000
   0.095   0.004   2.353   0.001   0.000   0.000   0.000   0.001   0.000   0.000
   0.096   0.004   2.352   0.001   0.000   0.000   0.000   0.001   0.000   0.000
   0.097   0.004   2.384   0.001   0.000   0.000   0.000   0.001   0.000   0.000
   0.098   0.004   2.383   0.001   0.000   0.000   0.000   0.001   0.000   0.000
   0.099   0.004   2.382   0.001   0.000   0.000   0.000   0.001   0.000   0.000
   0.100   0.004   2.380   0.001   0.000   0.000   0.000   0.001   0.000   0.000
   0.101   0.004   2.435   0.001   0.000   0.000   0.000   0.001   0.000   0.000
   0.102   0.004   2.433   0.001   0.000   0.000   0.000   0.001   0.000   0.000
   0.103   0.004   2.432   0.001   0.000   0.000   0.000   0.001   0.000   0.000
   0.104   0.004   2.545   0.001   0.000   0.000   0.000   0.001   0.000   0.000
   0.105   0.004   2.543   0.001   0.000   0.000   0.000   0.001   0.000   0.000
   0.106   0.004   2.542   0.001   0.000   0.000   0.000   0.001   0.000   0.000
   0.107   0.004   2.540   0.001   0.000   0.000   0.000   0.001   0.000   0.000
   0.108   0.004   2.538   0.001   0.000   0.000   0.000   0.001   0.000   0.000
   0.109   0.004   2.537   0.001   0.000   0.000   0.000   0.001   0.000   0.000
   0.110   0.004   2.535   0.001   0.000   0.000   0.000   0.001   0.000   0.000
   0.111   0.004   2.534   0.001   0.000   0.000   0.000   0.001   0.000   0.000
   0.112   0.004   2.532   0.001   0.000   0.000   0.000   0.001   0.000   0.000
   0.113   0.004   2.530   0.001   0.000   0.000   0.000   0.001   0.000   0.000
   0.114   0.004   2.529   0.001   0.000   0.000   0.000   0.001   0.000   0.000
   0.115   0.004   2.527   0.001   0.000   0.000   0.000   0.001   0.000   0.000
   0.116   0.004   2.526   0.001   0.000   0.000   0.000   0.001   0.000   0.001
   0.117   0.004   2.525   0.001   0.000   0.000   0.000   0.001   0.000   0.001
   0.118   0.004   2.523   0.001   0.000   0.000   0.000   0.001   0.000   0.001
   0.119   0.004   2.604   0.001   0.000   0.000   0.000   0.001   0.000   0.001
   0.120   0.004   2.617   0.001   0.000   0.000   0.000   0.001   0.000   0.001
   0.121   0.004   2.615   0.001   0.000   0.000   0.000   0.001   0.000   0.001
   0.122   0.004   2.614   0.001   0.000   0.000   0.000   0.001   0.000   0.001
   0.123   0.004   2.735   0.001   0.000   0.000   0.000   0.001   0.000   0.001
   0.124   0.004   2.734   0.001   0.000   0.000   0.000   0.001   0.000   0.001
   0.125   0.004   2.759   0.001   0.000   0.000   0.000   0.001   0.000   0.001
   0.126   0.004   2.758   0.001   0.000   0.000   0.000   0.001   0.000   0.001
   0.127   0.004   2.757   0.001   0.000   0.000   0.000   0.001   0.000   0.001
   0.128   0.004   2.773   0.001   0.000   0.000   0.000   0.001   0.000   0.001
   0.129   0.004   2.772   0.001   0.000   0.000   0.000   0.001   0.000   0.001
   0.130   0.004   2.771   0.001   0.000   0.000   0.000   0.001   0.000   0.001
   0.131   0.004   2.770   0.001   0.000   0.000   0.000   0.001   0.000   0.001
   0.132   0.004   2.768   0.001   0.000   0.000   0.000   0.001   0.000   0.001
   0.133   0.004   2.783   0.001   0.000   0.000   0.000   0.001   0.000   0.001
   0.134   0.004   2.782   0.001   0.000   0.000   0.000   0.001   0.000   0.001
   0.135   0.004   2.780   0.001   0.000   0.000   0.000   0.001   0.000   0.001
