  STRAIN   SUBSTRUCTURE     MODE1     MODE2     MODE3
   0.000 0.1000000E+00 0.5550000E+11 0.5550000E+11 0.5550000E+11
   0.001 0.6236740E+00 0.5861133E+11 0.5778850E+11 0.5823801E+11
   0.002 0.2513876E+01 0.6206641E+11 0.6032816E+11 0.6129176E+11
   0.003 0.7663768E+01 0.6584359E+11 0.6310551E+11 0.6464209E+11
   0.004 0.1944558E+02 0.6993973E+11 0.6611665E+11 0.6828698E+11
   0.005 0.4335954E+02 0.7435086E+11 0.6936241E+11 0.7222344E+11
   0.006 0.8778653E+02 0.7907348E+11 0.7284020E+11 0.7644878E+11
   0.007 0.1648273E+03 0.8410269E+11 0.7654706E+11 0.8095447E+11
   0.008 0.2912098E+03 0.8943490E+11 0.8047559E+11 0.8574491E+11
   0.009 0.4892525E+03 0.9506583E+11 0.8462977E+11 0.9081245E+11
   0.010 0.7878675E+03 0.1009914E+12 0.8900032E+11 0.9615263E+11
   0.011 0.1223576E+04 0.1072050E+12 0.9359079E+11 0.1017628E+12
   0.012 0.1841559E+04 0.1137028E+12 0.9839536E+11 0.1076382E+12
   0.013 0.2696689E+04 0.1204776E+12 0.1034056E+12 0.1137743E+12
   0.014 0.3854569E+04 0.1275288E+12 0.1086281E+12 0.1201675E+12
   0.015 0.5392514E+04 0.1348499E+12 0.1140556E+12 0.1268133E+12
   0.016 0.7400553E+04 0.1424358E+12 0.1196851E+12 0.1337072E+12
   0.017 0.9982369E+04 0.1502818E+12 0.1255133E+12 0.1408453E+12
   0.018 0.1325619E+05 0.1583829E+12 0.1315370E+12 0.1482237E+12
   0.019 0.1735563E+05 0.1667344E+12 0.1377529E+12 0.1558382E+12
   0.020 0.2243053E+05 0.1753317E+12 0.1441581E+12 0.1636846E+12
   0.021 0.2864762E+05 0.1841700E+12 0.1507493E+12 0.1717591E+12
   0.022 0.3619128E+05 0.1932449E+12 0.1575238E+12 0.1800574E+12
   0.023 0.4526431E+05 0.2025527E+12 0.1644743E+12 0.1885713E+12
   0.024 0.5608802E+05 0.2120833E+12 0.1716066E+12 0.1973013E+12
   0.025 0.6890306E+05 0.2218405E+12 0.1789130E+12 0.2062456E+12
