 ******************************************************************************
 DP                                                                                                                                                    
 ******************************************************************************
 COMPONENTS 11 22 33 OF SAMPLE STRAIN, STRESS, ELASTIC STRAIN and AVACS
 ******************************************************************************
        et11        et22        et33        et23        et13        et12           st11        st22        st33        st23        st13        st12         etel11      etel22      etel33        etth11      etth22      etth33
  0.1021E-01 -0.4264E-02 -0.4641E-02  0.0000E+00  0.0000E+00  0.0000E+00     0.6505E+03 -0.1923E-02  0.6991E-02  0.1020E+02  0.5910E+01 -0.3128E+01     0.3080E-02 -0.8394E-03 -0.9413E-03     0.0000E+00  0.0000E+00  0.0000E+00
  0.1072E-01 -0.4504E-02 -0.4897E-02  0.0000E+00  0.0000E+00  0.0000E+00     0.6582E+03 -0.1566E-02  0.7150E-02  0.1046E+02  0.6031E+01 -0.3467E+01     0.3117E-02 -0.8494E-03 -0.9524E-03     0.0000E+00  0.0000E+00  0.0000E+00
  0.1123E-01 -0.4745E-02 -0.5151E-02  0.0000E+00  0.0000E+00  0.0000E+00     0.6656E+03 -0.1563E-02  0.7647E-02  0.1073E+02  0.6138E+01 -0.3730E+01     0.3152E-02 -0.8589E-03 -0.9630E-03     0.0000E+00  0.0000E+00  0.0000E+00
  0.1174E-01 -0.4986E-02 -0.5406E-02  0.0000E+00  0.0000E+00  0.0000E+00     0.6726E+03 -0.1171E-02  0.7510E-02  0.1098E+02  0.6202E+01 -0.3985E+01     0.3185E-02 -0.8680E-03 -0.9731E-03     0.0000E+00  0.0000E+00  0.0000E+00
  0.1225E-01 -0.5229E-02 -0.5660E-02  0.0000E+00  0.0000E+00  0.0000E+00     0.6794E+03 -0.8253E-03  0.7590E-02  0.1125E+02  0.6203E+01 -0.4269E+01     0.3217E-02 -0.8769E-03 -0.9829E-03     0.0000E+00  0.0000E+00  0.0000E+00
  0.1276E-01 -0.5473E-02 -0.5914E-02  0.0000E+00  0.0000E+00  0.0000E+00     0.6859E+03 -0.5561E-03  0.7815E-02  0.1149E+02  0.6207E+01 -0.4571E+01     0.3248E-02 -0.8853E-03 -0.9924E-03     0.0000E+00  0.0000E+00  0.0000E+00
  0.1327E-01 -0.5716E-02 -0.6168E-02  0.0000E+00  0.0000E+00  0.0000E+00     0.6922E+03 -0.3943E-03  0.7642E-02  0.1170E+02  0.6241E+01 -0.4843E+01     0.3278E-02 -0.8935E-03 -0.1001E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.1378E-01 -0.5960E-02 -0.6422E-02  0.0000E+00  0.0000E+00  0.0000E+00     0.6983E+03 -0.4128E-03  0.7886E-02  0.1190E+02  0.6319E+01 -0.5050E+01     0.3307E-02 -0.9013E-03 -0.1010E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.1429E-01 -0.6204E-02 -0.6677E-02  0.0000E+00  0.0000E+00  0.0000E+00     0.7041E+03 -0.5482E-03  0.8311E-02  0.1210E+02  0.6376E+01 -0.5247E+01     0.3334E-02 -0.9089E-03 -0.1019E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.1480E-01 -0.6448E-02 -0.6932E-02  0.0000E+00  0.0000E+00  0.0000E+00     0.7097E+03 -0.6328E-03  0.8411E-02  0.1232E+02  0.6418E+01 -0.5399E+01     0.3360E-02 -0.9160E-03 -0.1027E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.1531E-01 -0.6694E-02 -0.7187E-02  0.0000E+00  0.0000E+00  0.0000E+00     0.7151E+03 -0.4895E-03  0.8534E-02  0.1255E+02  0.6467E+01 -0.5531E+01     0.3386E-02 -0.9231E-03 -0.1034E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.1583E-01 -0.6939E-02 -0.7441E-02  0.0000E+00  0.0000E+00  0.0000E+00     0.7204E+03 -0.3889E-03  0.8416E-02  0.1276E+02  0.6565E+01 -0.5647E+01     0.3411E-02 -0.9299E-03 -0.1042E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.1634E-01 -0.7185E-02 -0.7696E-02  0.0000E+00  0.0000E+00  0.0000E+00     0.7255E+03 -0.1236E-03  0.8467E-02  0.1299E+02  0.6647E+01 -0.5739E+01     0.3435E-02 -0.9365E-03 -0.1049E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.1685E-01 -0.7430E-02 -0.7951E-02  0.0000E+00  0.0000E+00  0.0000E+00     0.7304E+03 -0.9190E-04  0.8601E-02  0.1325E+02  0.6716E+01 -0.5843E+01     0.3458E-02 -0.9429E-03 -0.1056E-02     0.0000E+00  0.0000E+00  0.0000E+00
