 ******************************************************************************
 DP                                                                                                                                                    
 ******************************************************************************
           Ctrl            EP1            EP2            EP3           SIG1           SIG2           SIG3          MODE1          MODE2          ActAv         PMODE1         PMODE2         PActAv         CMODE1         CMODE2         CActAv         nGrain       MaxTwins
        0.06688        0.06688       -0.03072       -0.03421      970.71449       -0.00386        0.01727        0.33464        0.66536        5.45395        0.35643        0.64357        5.35250        0.34865        0.65135        4.25074      282.00000        0.00000
        0.06739        0.06739       -0.03094       -0.03449      972.17294       -0.00389        0.01732        0.33478        0.66522        5.46680        0.35671        0.64329        5.39271        0.34973        0.65027        4.24303      282.00000        0.00000
        0.06790        0.06790       -0.03117       -0.03477      973.62543       -0.00389        0.01733        0.33492        0.66508        5.45043        0.35704        0.64296        5.36103        0.34985        0.65015        4.24666      282.00000        0.00000
        0.06841        0.06841       -0.03139       -0.03505      975.06176       -0.00420        0.01771        0.33505        0.66495        5.44580        0.35713        0.64287        5.37331        0.35075        0.64925        4.23876      282.00000        0.00000
        0.06892        0.06892       -0.03162       -0.03533      976.47927       -0.00423        0.01777        0.33488        0.66512        5.45039        0.35695        0.64305        5.36592        0.35074        0.64926        4.24899      282.00000        0.00000
        0.06943        0.06943       -0.03185       -0.03562      977.88827       -0.00423        0.01781        0.33554        0.66446        5.45891        0.35806        0.64194        5.38945        0.35082        0.64918        4.24223      282.00000        0.00000
        0.06994        0.06994       -0.03207       -0.03590      979.28763       -0.00430        0.01794        0.33527        0.66473        5.42496        0.35766        0.64234        5.37664        0.35091        0.64909        4.21319      282.00000        0.00000
        0.07045        0.07045       -0.03230       -0.03618      980.67149       -0.00429        0.01794        0.33554        0.66446        5.43412        0.35809        0.64191        5.38945        0.35101        0.64899        4.21455      282.00000        0.00000
        0.07096        0.07096       -0.03252       -0.03646      982.04458       -0.00435        0.01805        0.33539        0.66461        5.42626        0.35789        0.64211        5.36902        0.35108        0.64892        4.21990      282.00000        0.00000
        0.07147        0.07147       -0.03275       -0.03675      983.40538       -0.00435        0.01809        0.33551        0.66449        5.42987        0.35822        0.64178        5.37687        0.35105        0.64895        4.21851      282.00000        0.00000
        0.07198        0.07198       -0.03297       -0.03703      984.75179       -0.00436        0.01812        0.33552        0.66448        5.43145        0.35829        0.64171        5.37741        0.35111        0.64889        4.21990      282.00000        0.00000
        0.07249        0.07249       -0.03320       -0.03731      986.08831       -0.00422        0.01809        0.33595        0.66405        5.42254        0.35835        0.64165        5.39146        0.35181        0.64819        4.21174      282.00000        0.00000
        0.07300        0.07300       -0.03343       -0.03759      987.41408       -0.00417        0.01803        0.33596        0.66404        5.42705        0.35924        0.64076        5.38460        0.35128        0.64872        4.22727      282.00000        0.00000
        0.07351        0.07351       -0.03365       -0.03787      988.72385       -0.00403        0.01797        0.33627        0.66373        5.42611        0.35887        0.64113        5.39146        0.35210        0.64790        4.22147      282.00000        0.00000
        0.07402        0.07402       -0.03388       -0.03816      990.01854       -0.00420        0.01819        0.33589        0.66411        5.42273        0.35919        0.64081        5.37840        0.35205        0.64795        4.22098      282.00000        0.00000
        0.07453        0.07453       -0.03410       -0.03844      991.30452       -0.00428        0.01833        0.33553        0.66447        5.42095        0.35856        0.64144        5.39146        0.35216        0.64784        4.20996      282.00000        0.00000
        0.07504        0.07504       -0.03433       -0.03872      992.58306       -0.00429        0.01840        0.33642        0.66358        5.40757        0.35912        0.64088        5.36539        0.35302        0.64698        4.20730      282.00000        0.00000
        0.07555        0.07555       -0.03455       -0.03901      993.85356       -0.00436        0.01853        0.33577        0.66423        5.38200        0.35885        0.64115        5.34176        0.35235        0.64765        4.20085      282.00000        0.00000
        0.07606        0.07606       -0.03477       -0.03929      995.11279       -0.00435        0.01854        0.33611        0.66389        5.41122        0.35946        0.64054        5.36926        0.35247        0.64753        4.20870      282.00000        0.00000
        0.07658        0.07658       -0.03500       -0.03957      996.36245       -0.00441        0.01867        0.33586        0.66414        5.39409        0.35916        0.64084        5.35737        0.35248        0.64752        4.19779      282.00000        0.00000
        0.07709        0.07709       -0.03522       -0.03986      997.60277       -0.00448        0.01880        0.33599        0.66401        5.40859        0.35968        0.64032        5.34888        0.35321        0.64679        4.21987      282.00000        0.00000
        0.07760        0.07760       -0.03545       -0.04014      998.83289       -0.00453        0.01893        0.33642        0.66358        5.40688        0.35940        0.64060        5.35573        0.35397        0.64603        4.21896      282.00000        0.00000
        0.07811        0.07811       -0.03567       -0.04043     1000.05132       -0.00451        0.01892        0.33610        0.66390        5.41207        0.35986        0.64014        5.35573        0.35331        0.64669        4.22475      282.00000        0.00000
        0.07862        0.07862       -0.03589       -0.04071     1001.26167       -0.00452        0.01900        0.33676        0.66324        5.39732        0.36011        0.63989        5.35573        0.35403        0.64597        4.20829      282.00000        0.00000
        0.07913        0.07913       -0.03612       -0.04100     1002.46066       -0.00455        0.01907        0.33600        0.66400        5.39657        0.35975        0.64025        5.33274        0.35348        0.64652        4.22336      282.00000        0.00000
        0.07964        0.07964       -0.03634       -0.04128     1003.64533       -0.00461        0.01908        0.33589        0.66411        5.38726        0.35960        0.64040        5.34671        0.35690        0.64310        4.20330      282.00000        0.00000
        0.08015        0.08015       -0.03656       -0.04157     1004.81740       -0.00470        0.01924        0.33600        0.66400        5.38968        0.35890        0.64110        5.34578        0.35774        0.64226        4.20664      282.00000        0.00000
        0.08066        0.08066       -0.03678       -0.04186     1005.98245       -0.00473        0.01927        0.33568        0.66432        5.38999        0.35884        0.64116        5.34763        0.35751        0.64249        4.20571      282.00000        0.00000
        0.08117        0.08117       -0.03700       -0.04215     1007.13740       -0.00468        0.01926        0.33533        0.66467        5.39677        0.35903        0.64097        5.34078        0.35750        0.64250        4.21802      282.00000        0.00000
        0.08168        0.08168       -0.03722       -0.04243     1008.28180       -0.00474        0.01938        0.33495        0.66505        5.38488        0.35841        0.64159        5.33798        0.35747        0.64253        4.21243      282.00000        0.00000
        0.08219        0.08219       -0.03744       -0.04272     1009.41497       -0.00468        0.01937        0.33524        0.66476        5.39976        0.35807        0.64193        5.34763        0.35834        0.64166        4.21662      282.00000        0.00000
        0.08270        0.08270       -0.03766       -0.04301     1010.54110       -0.00481        0.01955        0.33417        0.66583        5.38671        0.35764        0.64236        5.32964        0.35723        0.64277        4.22599      282.00000        0.00000
        0.08321        0.08321       -0.03788       -0.04330     1011.65769       -0.00478        0.01957        0.33445        0.66555        5.39565        0.35819        0.64181        5.33710        0.35727        0.64273        4.23082      282.00000        0.00000
        0.08372        0.08372       -0.03809       -0.04359     1012.76304       -0.00482        0.01966        0.33410        0.66590        5.39974        0.35765        0.64235        5.34605        0.35722        0.64278        4.23494      282.00000        0.00000
        0.08423        0.08423       -0.03831       -0.04388     1013.85732       -0.00478        0.01968        0.33490        0.66510        5.40367        0.35809        0.64191        5.34605        0.35809        0.64191        4.23933      282.00000        0.00000
        0.08474        0.08474       -0.03853       -0.04417     1014.94641       -0.00487        0.01983        0.33361        0.66639        5.39859        0.35654        0.64346        5.35286        0.35776        0.64224        4.22895      282.00000        0.00000
        0.08525        0.08525       -0.03875       -0.04446     1016.03089       -0.00487        0.01986        0.33353        0.66647        5.39233        0.35725        0.64275        5.33451        0.35713        0.64287        4.23465      282.00000        0.00000
        0.08576        0.08576       -0.03897       -0.04475     1017.10624       -0.00491        0.01998        0.33340        0.66660        5.39636        0.35700        0.64300        5.35653        0.35713        0.64287        4.22392      282.00000        0.00000
        0.08627        0.08627       -0.03919       -0.04504     1018.17065       -0.00505        0.02017        0.33358        0.66642        5.39100        0.35734        0.64266        5.34131        0.35740        0.64260        4.23422      282.00000        0.00000
        0.08679        0.08679       -0.03941       -0.04533     1019.22707       -0.00506        0.02027        0.33387        0.66613        5.39498        0.35698        0.64302        5.36274        0.35819        0.64181        4.22384      282.00000        0.00000
        0.08730        0.08730       -0.03962       -0.04562     1020.27558       -0.00509        0.02034        0.33322        0.66678        5.39009        0.35689        0.64311        5.34624        0.35750        0.64250        4.22979      282.00000        0.00000
        0.08781        0.08781       -0.03984       -0.04591     1021.31726       -0.00507        0.02037        0.33410        0.66590        5.39253        0.35746        0.64254        5.36304        0.35826        0.64174        4.22089      282.00000        0.00000
        0.08832        0.08832       -0.04006       -0.04621     1022.34899       -0.00531        0.02069        0.33364        0.66636        5.38712        0.35667        0.64333        5.34271        0.35770        0.64230        4.22891      282.00000        0.00000
        0.08883        0.08883       -0.04027       -0.04650     1023.37317       -0.00529        0.02069        0.33374        0.66626        5.38569        0.35683        0.64317        5.34690        0.35799        0.64201        4.23017      282.00000        0.00000
        0.08934        0.08934       -0.04049       -0.04679     1024.39293       -0.00532        0.02082        0.33354        0.66646        5.36625        0.35657        0.64343        5.33319        0.35802        0.64198        4.21796      282.00000        0.00000
        0.08985        0.08985       -0.04070       -0.04708     1025.40431       -0.00530        0.02084        0.33386        0.66614        5.35874        0.35700        0.64300        5.32866        0.35816        0.64184        4.21270      282.00000        0.00000
        0.09036        0.09036       -0.04092       -0.04738     1026.40522       -0.00540        0.02100        0.33345        0.66655        5.36968        0.35649        0.64351        5.33841        0.35751        0.64249        4.22392      282.00000        0.00000
        0.09087        0.09087       -0.04113       -0.04767     1027.39665       -0.00543        0.02109        0.33324        0.66676        5.37110        0.35621        0.64379        5.33841        0.35761        0.64239        4.22551      282.00000        0.00000
        0.09138        0.09138       -0.04134       -0.04797     1028.38148       -0.00543        0.02113        0.33341        0.66659        5.36302        0.35653        0.64347        5.33340        0.35774        0.64226        4.21420      282.00000        0.00000
        0.09189        0.09189       -0.04156       -0.04826     1029.35680       -0.00551        0.02125        0.33283        0.66717        5.36438        0.35567        0.64433        5.33051        0.35763        0.64237        4.22347      282.00000        0.00000
        0.09240        0.09240       -0.04177       -0.04856     1030.32334       -0.00549        0.02129        0.33290        0.66710        5.37760        0.35582        0.64418        5.34823        0.35775        0.64225        4.22597      282.00000        0.00000
        0.09291        0.09291       -0.04198       -0.04886     1031.28107       -0.00550        0.02135        0.33284        0.66716        5.37571        0.35579        0.64421        5.34823        0.35781        0.64219        4.22386      282.00000        0.00000
        0.09342        0.09342       -0.04219       -0.04915     1032.23433       -0.00552        0.02144        0.33270        0.66730        5.36032        0.35563        0.64437        5.32338        0.35785        0.64215        4.21811      282.00000        0.00000
        0.09393        0.09393       -0.04241       -0.04945     1033.17821       -0.00546        0.02147        0.33280        0.66720        5.36179        0.35565        0.64435        5.33208        0.35779        0.64221        4.21949      282.00000        0.00000
        0.09444        0.09444       -0.04262       -0.04975     1034.11487       -0.00545        0.02151        0.33288        0.66712        5.36179        0.35574        0.64426        5.32523        0.35795        0.64205        4.22422      282.00000        0.00000
        0.09495        0.09495       -0.04283       -0.05004     1035.04540       -0.00546        0.02160        0.33275        0.66725        5.36225        0.35558        0.64442        5.32523        0.35790        0.64210        4.23050      282.00000        0.00000
        0.09546        0.09546       -0.04304       -0.05034     1035.97020       -0.00545        0.02167        0.33287        0.66713        5.35492        0.35581        0.64419        5.32523        0.35791        0.64209        4.22231      282.00000        0.00000
        0.09597        0.09597       -0.04325       -0.05064     1036.89259       -0.00571        0.02208        0.33278        0.66722        5.35331        0.35636        0.64364        5.34638        0.35757        0.64243        4.21164      282.00000        0.00000
        0.09648        0.09648       -0.04347       -0.05093     1037.81009       -0.00572        0.02216        0.33271        0.66729        5.34446        0.35630        0.64370        5.33208        0.35773        0.64227        4.21164      282.00000        0.00000
        0.09699        0.09699       -0.04368       -0.05123     1038.72227       -0.00603        0.02253        0.33275        0.66725        5.32527        0.35635        0.64365        5.30909        0.35837        0.64163        4.20612      282.00000        0.00000
        0.09751        0.09751       -0.04389       -0.05153     1039.62672       -0.00605        0.02265        0.33263        0.66737        5.34021        0.35623        0.64377        5.32523        0.35953        0.64047        4.21164      282.00000        0.00000
        0.09802        0.09802       -0.04410       -0.05183     1040.52513       -0.00608        0.02274        0.33268        0.66732        5.33430        0.35625        0.64375        5.32523        0.35973        0.64027        4.20504      282.00000        0.00000
        0.09853        0.09853       -0.04431       -0.05212     1041.41670       -0.00609        0.02283        0.33262        0.66738        5.33459        0.35620        0.64380        5.32338        0.35971        0.64029        4.20664      282.00000        0.00000
        0.09904        0.09904       -0.04452       -0.05242     1042.30133       -0.00595        0.02275        0.33275        0.66725        5.33574        0.35642        0.64358        5.32523        0.35986        0.64014        4.21815      282.00000        0.00000
        0.09955        0.09955       -0.04473       -0.05272     1043.17955       -0.00587        0.02275        0.33295        0.66705        5.33517        0.35663        0.64337        5.32431        0.36014        0.63986        4.21815      282.00000        0.00000
        0.10006        0.10006       -0.04494       -0.05302     1044.05043       -0.00588        0.02281        0.33283        0.66717        5.32936        0.35649        0.64351        5.31493        0.36017        0.63983        4.21815      282.00000        0.00000
        0.10057        0.10057       -0.04515       -0.05332     1044.91622       -0.00587        0.02284        0.33282        0.66718        5.31892        0.35660        0.64340        5.29193        0.36016        0.63984        4.22239      282.00000        0.00000
        0.10108        0.10108       -0.04536       -0.05361     1045.77697       -0.00587        0.02292        0.33281        0.66719        5.31929        0.35661        0.64339        5.29101        0.36019        0.63981        4.22345      282.00000        0.00000
        0.10159        0.10159       -0.04557       -0.05391     1046.63321       -0.00589        0.02302        0.33258        0.66742        5.30840        0.35648        0.64352        5.27946        0.36010        0.63990        4.21928      282.00000        0.00000
        0.10210        0.10210       -0.04578       -0.05421     1047.50037        0.00000        0.00000        0.33250        0.66750        5.31134        0.35635        0.64365        5.27946        0.36021        0.63979        4.22257      282.00000        0.00000
