 COMPONENTS 11 22 33 OF SAMPLE STRAIN, STRESS, ELASTIC STRAIN and AVACS
 ******************************************************************************
        et11        et22        et33        et23        et13        et12           st11        st22        st33        st23        st13        st12         etel11      etel22      etel33        wgt_ph
  0.8921E-02 -0.3765E-02 -0.3945E-02 -0.1117E-03 -0.3353E-04  0.1120E-03     0.8942E+03 -0.1024E+03 -0.1234E+03  0.1624E+02  0.8192E+01 -0.1150E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.9432E-02 -0.4013E-02 -0.4195E-02 -0.1184E-03 -0.3647E-04  0.1184E-03     0.9012E+03 -0.1022E+03 -0.1236E+03  0.1677E+02  0.8396E+01 -0.1208E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.9942E-02 -0.4261E-02 -0.4445E-02 -0.1254E-03 -0.3791E-04  0.1253E-03     0.9080E+03 -0.1019E+03 -0.1238E+03  0.1734E+02  0.8466E+01 -0.1271E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.1045E-01 -0.4510E-02 -0.4692E-02 -0.1324E-03 -0.3987E-04  0.1324E-03     0.9146E+03 -0.1017E+03 -0.1241E+03  0.1787E+02  0.8560E+01 -0.1336E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.1096E-01 -0.4760E-02 -0.4941E-02 -0.1386E-03 -0.4283E-04  0.1393E-03     0.9209E+03 -0.1014E+03 -0.1243E+03  0.1832E+02  0.8725E+01 -0.1396E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.1147E-01 -0.5009E-02 -0.5190E-02 -0.1451E-03 -0.4643E-04  0.1452E-03     0.9270E+03 -0.1012E+03 -0.1245E+03  0.1878E+02  0.8955E+01 -0.1444E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.1198E-01 -0.5257E-02 -0.5439E-02 -0.1509E-03 -0.5021E-04  0.1510E-03     0.9329E+03 -0.1010E+03 -0.1248E+03  0.1920E+02  0.9166E+01 -0.1491E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.1248E-01 -0.5506E-02 -0.5685E-02 -0.1568E-03 -0.5347E-04  0.1563E-03     0.9386E+03 -0.1008E+03 -0.1251E+03  0.1964E+02  0.9338E+01 -0.1530E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.1299E-01 -0.5756E-02 -0.5930E-02 -0.1627E-03 -0.5694E-04  0.1613E-03     0.9443E+03 -0.1006E+03 -0.1254E+03  0.2008E+02  0.9524E+01 -0.1565E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.1349E-01 -0.6006E-02 -0.6174E-02 -0.1689E-03 -0.6122E-04  0.1662E-03     0.9497E+03 -0.1005E+03 -0.1258E+03  0.2052E+02  0.9789E+01 -0.1598E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.1399E-01 -0.6256E-02 -0.6417E-02 -0.1749E-03 -0.6508E-04  0.1708E-03     0.9551E+03 -0.1003E+03 -0.1262E+03  0.2096E+02  0.1002E+02 -0.1627E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.1450E-01 -0.6503E-02 -0.6663E-02 -0.1804E-03 -0.6892E-04  0.1762E-03     0.9603E+03 -0.1002E+03 -0.1265E+03  0.2141E+02  0.1024E+02 -0.1660E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.1500E-01 -0.6751E-02 -0.6907E-02 -0.1851E-03 -0.7352E-04  0.1812E-03     0.9654E+03 -0.1001E+03 -0.1269E+03  0.2182E+02  0.1050E+02 -0.1689E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.1550E-01 -0.7000E-02 -0.7150E-02 -0.1900E-03 -0.7797E-04  0.1868E-03     0.9703E+03 -0.1001E+03 -0.1273E+03  0.2223E+02  0.1074E+02 -0.1722E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.1600E-01 -0.7248E-02 -0.7392E-02 -0.1951E-03 -0.8331E-04  0.1929E-03     0.9751E+03 -0.1000E+03 -0.1277E+03  0.2266E+02  0.1101E+02 -0.1759E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.1649E-01 -0.7494E-02 -0.7636E-02 -0.2003E-03 -0.8883E-04  0.1990E-03     0.9798E+03 -0.9999E+02 -0.1281E+03  0.2308E+02  0.1129E+02 -0.1792E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.1699E-01 -0.7740E-02 -0.7879E-02 -0.2054E-03 -0.9475E-04  0.2051E-03     0.9845E+03 -0.1000E+03 -0.1285E+03  0.2350E+02  0.1156E+02 -0.1824E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.1748E-01 -0.7986E-02 -0.8120E-02 -0.2092E-03 -0.1012E-03  0.2112E-03     0.9890E+03 -0.1000E+03 -0.1290E+03  0.2386E+02  0.1181E+02 -0.1852E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.1798E-01 -0.8231E-02 -0.8362E-02 -0.2133E-03 -0.1073E-03  0.2176E-03     0.9934E+03 -0.1000E+03 -0.1295E+03  0.2421E+02  0.1205E+02 -0.1881E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.1847E-01 -0.8478E-02 -0.8601E-02 -0.2175E-03 -0.1133E-03  0.2243E-03     0.9978E+03 -0.1000E+03 -0.1299E+03  0.2455E+02  0.1228E+02 -0.1912E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.1896E-01 -0.8726E-02 -0.8841E-02 -0.2218E-03 -0.1190E-03  0.2309E-03     0.1002E+04 -0.1000E+03 -0.1304E+03  0.2488E+02  0.1252E+02 -0.1943E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.1946E-01 -0.8971E-02 -0.9080E-02 -0.2268E-03 -0.1237E-03  0.2358E-03     0.1006E+04 -0.1000E+03 -0.1309E+03  0.2525E+02  0.1270E+02 -0.1967E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.1995E-01 -0.9215E-02 -0.9320E-02 -0.2319E-03 -0.1284E-03  0.2403E-03     0.1010E+04 -0.1001E+03 -0.1314E+03  0.2561E+02  0.1289E+02 -0.1991E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.2044E-01 -0.9458E-02 -0.9561E-02 -0.2360E-03 -0.1328E-03  0.2437E-03     0.1014E+04 -0.1001E+03 -0.1320E+03  0.2592E+02  0.1306E+02 -0.2008E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.2093E-01 -0.9701E-02 -0.9801E-02 -0.2398E-03 -0.1379E-03  0.2470E-03     0.1018E+04 -0.1001E+03 -0.1325E+03  0.2623E+02  0.1328E+02 -0.2021E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.2141E-01 -0.9943E-02 -0.1004E-01 -0.2438E-03 -0.1431E-03  0.2502E-03     0.1022E+04 -0.1002E+03 -0.1330E+03  0.2653E+02  0.1349E+02 -0.2034E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
