  STRAIN   SUBSTRUCTURE     MODE1     MODE2     MODE3
   0.000 0.1000000E+00 0.5550000E+11 0.5550000E+11 0.5550000E+11
   0.001 0.4897489E+00 0.6160149E+11 0.6200029E+11 0.6288646E+11
   0.002 0.1593982E+01 0.6848066E+11 0.6939653E+11 0.7127183E+11
   0.003 0.4077674E+01 0.7611097E+11 0.7766105E+11 0.8062996E+11
   0.004 0.8945865E+01 0.8448825E+11 0.8678811E+11 0.9095464E+11
   0.005 0.1764195E+02 0.9360609E+11 0.9676608E+11 0.1022327E+12
   0.006 0.3216843E+02 0.1034595E+12 0.1075895E+12 0.1144601E+12
   0.007 0.5519552E+02 0.1140379E+12 0.1192411E+12 0.1276221E+12
   0.008 0.9020011E+02 0.1253318E+12 0.1317112E+12 0.1417039E+12
   0.009 0.1416075E+03 0.1373298E+12 0.1449932E+12 0.1566920E+12
   0.010 0.2149290E+03 0.1500337E+12 0.1590651E+12 0.1725781E+12
   0.011 0.3169093E+03 0.1634286E+12 0.1739152E+12 0.1893495E+12
   0.012 0.4556916E+03 0.1774992E+12 0.1895265E+12 0.2070017E+12
   0.013 0.6409762E+03 0.1922415E+12 0.2059045E+12 0.2255099E+12
   0.014 0.8841813E+03 0.2075859E+12 0.2230549E+12 0.2448971E+12
   0.015 0.1198579E+04 0.2236449E+12 0.2409103E+12 0.2650904E+12
   0.016 0.1599459E+04 0.2403494E+12 0.2594832E+12 0.2861045E+12
   0.017 0.2104667E+04 0.2576869E+12 0.2788094E+12 0.3079056E+12
   0.018 0.2733470E+04 0.2756585E+12 0.2987892E+12 0.3305186E+12
   0.019 0.3508757E+04 0.2942411E+12 0.3194606E+12 0.3539272E+12
   0.020 0.4455396E+04 0.3134424E+12 0.3407972E+12 0.3781003E+12
   0.021 0.5601259E+04 0.3332158E+12 0.3627525E+12 0.4030935E+12
   0.022 0.6977925E+04 0.3536162E+12 0.3854048E+12 0.4287816E+12
   0.023 0.8619519E+04 0.3745714E+12 0.4087018E+12 0.4552423E+12
   0.024 0.1056318E+05 0.3961254E+12 0.4326273E+12 0.4824132E+12
   0.025 0.1284915E+05 0.4182851E+12 0.4571903E+12 0.5102117E+12
   0.026 0.1552308E+05 0.4408227E+12 0.4824416E+12 0.5387901E+12
   0.027 0.1863187E+05 0.4640472E+12 0.5081875E+12 0.5680417E+12
   0.028 0.2222790E+05 0.4878134E+12 0.5345173E+12 0.5979660E+12
   0.029 0.2636916E+05 0.5121249E+12 0.5614342E+12 0.6285682E+12
   0.030 0.3111245E+05 0.5369518E+12 0.5889060E+12 0.6598097E+12
   0.031 0.3652333E+05 0.5622953E+12 0.6169322E+12 0.6916900E+12
   0.032 0.4267386E+05 0.5881608E+12 0.6455237E+12 0.7242138E+12
   0.033 0.4962740E+05 0.6146090E+12 0.6743841E+12 0.7574564E+12
   0.034 0.5747891E+05 0.6415054E+12 0.7040010E+12 0.7912602E+12
   0.035 0.6629960E+05 0.6688760E+12 0.7341493E+12 0.8256308E+12
