  %STRAIN  PHFRAC   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   TWFR4   TWFR5
   0.000   1.000   2.107   0.900   0.000   0.087   0.013   0.000   0.000   0.000
   0.001   1.000   2.078   0.902   0.000   0.088   0.010   0.000   0.000   0.000
   0.002   1.000   2.084   0.901   0.000   0.089   0.010   0.000   0.000   0.000
   0.003   1.000   2.089   0.900   0.000   0.090   0.010   0.000   0.000   0.000
   0.004   1.000   2.100   0.899   0.000   0.090   0.011   0.000   0.001   0.000
   0.005   1.000   2.105   0.898   0.000   0.091   0.011   0.000   0.001   0.000
   0.006   1.000   2.112   0.897   0.000   0.091   0.011   0.000   0.001   0.000
   0.007   1.000   2.120   0.896   0.000   0.092   0.012   0.000   0.001   0.000
   0.008   1.000   2.131   0.895   0.000   0.093   0.012   0.000   0.001   0.000
   0.009   1.000   2.147   0.894   0.000   0.093   0.012   0.000   0.001   0.000
   0.010   1.000   2.155   0.894   0.000   0.094   0.013   0.000   0.002   0.000
   0.011   1.000   2.170   0.893   0.000   0.094   0.013   0.000   0.002   0.000
   0.012   1.000   2.182   0.892   0.000   0.095   0.014   0.000   0.002   0.000
   0.013   0.999   2.196   0.891   0.000   0.095   0.014   0.000   0.002   0.000
   0.014   0.999   2.202   0.890   0.000   0.096   0.014   0.000   0.002   0.000
   0.015   0.999   2.211   0.889   0.000   0.097   0.015   0.000   0.002   0.000
   0.016   0.999   2.226   0.888   0.000   0.097   0.015   0.000   0.003   0.000
   0.017   0.999   2.242   0.887   0.000   0.098   0.015   0.000   0.003   0.000
   0.018   0.999   2.254   0.886   0.000   0.098   0.016   0.000   0.003   0.000
   0.019   0.999   2.264   0.885   0.000   0.099   0.016   0.000   0.003   0.000
   0.020   0.999   2.277   0.884   0.000   0.099   0.017   0.000   0.004   0.000
   0.021   0.998   2.277   0.883   0.000   0.100   0.017   0.000   0.004   0.000
   0.022   0.998   2.278   0.882   0.000   0.100   0.018   0.000   0.004   0.000
   0.023   0.998   2.289   0.881   0.000   0.101   0.018   0.000   0.004   0.000
   0.024   0.998   2.289   0.880   0.000   0.101   0.018   0.000   0.005   0.000
   0.025   0.998   2.302   0.879   0.000   0.102   0.019   0.000   0.005   0.000
   0.026   0.997   2.305   0.878   0.000   0.102   0.019   0.000   0.005   0.000
   0.027   0.997   2.326   0.877   0.000   0.103   0.020   0.000   0.005   0.000
   0.028   0.997   2.347   0.876   0.000   0.103   0.020   0.000   0.006   0.000
   0.029   0.997   2.359   0.875   0.000   0.104   0.021   0.000   0.006   0.000
   0.030   0.997   2.366   0.875   0.000   0.104   0.021   0.000   0.006   0.000
   0.031   0.997   2.384   0.873   0.000   0.105   0.022   0.000   0.006   0.000
   0.032   0.996   2.410   0.872   0.000   0.105   0.022   0.000   0.007   0.000
   0.033   0.996   2.419   0.871   0.000   0.106   0.023   0.000   0.007   0.000
   0.034   0.996   2.423   0.870   0.000   0.106   0.023   0.000   0.007   0.000
   0.035   0.996   2.435   0.870   0.000   0.107   0.024   0.000   0.008   0.000
   0.036   0.996   2.437   0.869   0.000   0.107   0.024   0.000   0.008   0.000
   0.037   0.995   2.463   0.868   0.000   0.108   0.025   0.000   0.008   0.000
   0.038   0.995   2.479   0.866   0.000   0.109   0.025   0.000   0.009   0.000
   0.039   0.994   2.484   0.865   0.000   0.109   0.026   0.000   0.009   0.000
   0.040   0.994   2.487   0.864   0.000   0.110   0.026   0.000   0.009   0.000
   0.041   0.994   2.504   0.863   0.000   0.110   0.027   0.000   0.010   0.000
   0.042   0.993   2.506   0.862   0.000   0.111   0.027   0.000   0.010   0.000
   0.043   0.993   2.507   0.861   0.000   0.111   0.028   0.000   0.011   0.000
   0.044   0.992   2.519   0.860   0.000   0.112   0.028   0.000   0.011   0.000
   0.045   0.992   2.531   0.859   0.000   0.112   0.029   0.000   0.011   0.000
   0.046   0.992   2.544   0.858   0.000   0.113   0.029   0.000   0.012   0.000
   0.047   0.991   2.558   0.857   0.000   0.113   0.030   0.000   0.012   0.000
   0.048   0.991   2.570   0.856   0.000   0.114   0.030   0.000   0.013   0.000
   0.049   0.991   2.596   0.855   0.000   0.114   0.031   0.000   0.013   0.000
   0.050   0.990   2.619   0.854   0.000   0.115   0.031   0.000   0.013   0.000
   0.051   0.990   2.619   0.853   0.000   0.115   0.032   0.000   0.014   0.000
   0.052   0.989   2.626   0.852   0.000   0.116   0.032   0.000   0.014   0.000
   0.053   0.989   2.632   0.851   0.000   0.116   0.033   0.000   0.015   0.000
   0.054   0.988   2.642   0.850   0.000   0.117   0.033   0.000   0.015   0.000
   0.055   0.988   2.645   0.849   0.000   0.117   0.034   0.000   0.016   0.000
   0.056   0.988   2.645   0.848   0.000   0.118   0.034   0.000   0.016   0.000
   0.057   0.987   2.653   0.847   0.000   0.119   0.035   0.000   0.017   0.000
   0.058   0.987   2.662   0.846   0.000   0.119   0.035   0.000   0.017   0.000
   0.059   0.986   2.687   0.845   0.000   0.120   0.036   0.000   0.018   0.000
   0.060   0.986   2.690   0.844   0.000   0.120   0.036   0.000   0.018   0.000
   0.061   0.985   2.699   0.843   0.000   0.121   0.037   0.000   0.019   0.000
   0.062   0.985   2.699   0.842   0.000   0.121   0.037   0.000   0.019   0.000
   0.063   0.985   2.701   0.840   0.000   0.122   0.038   0.000   0.020   0.000
   0.064   0.984   2.701   0.839   0.000   0.122   0.038   0.000   0.020   0.000
   0.065   0.984   2.700   0.838   0.000   0.123   0.039   0.000   0.021   0.000
   0.066   0.983   2.715   0.837   0.000   0.123   0.039   0.000   0.021   0.000
   0.067   0.983   2.722   0.836   0.000   0.124   0.040   0.000   0.022   0.000
   0.068   0.982   2.733   0.835   0.000   0.125   0.040   0.000   0.022   0.000
   0.069   0.982   2.747   0.834   0.000   0.125   0.041   0.000   0.023   0.000
   0.070   0.981   2.777   0.833   0.000   0.126   0.041   0.000   0.024   0.000
   0.071   0.981   2.777   0.832   0.000   0.126   0.042   0.000   0.024   0.000
   0.072   0.980   2.803   0.831   0.000   0.127   0.042   0.000   0.025   0.000
   0.073   0.979   2.807   0.830   0.000   0.127   0.043   0.000   0.025   0.000
   0.074   0.979   2.819   0.829   0.000   0.128   0.043   0.000   0.026   0.000
   0.075   0.978   2.823   0.827   0.000   0.129   0.044   0.000   0.027   0.000
   0.076   0.978   2.823   0.826   0.000   0.129   0.044   0.000   0.027   0.000
   0.077   0.977   2.843   0.825   0.000   0.130   0.045   0.000   0.028   0.000
   0.078   0.976   2.858   0.824   0.000   0.130   0.045   0.000   0.028   0.000
   0.079   0.976   2.857   0.823   0.000   0.131   0.046   0.000   0.029   0.000
   0.080   0.975   2.869   0.822   0.000   0.132   0.046   0.000   0.030   0.000
   0.081   0.974   2.869   0.821   0.000   0.132   0.047   0.000   0.030   0.000
   0.082   0.973   2.885   0.820   0.000   0.133   0.047   0.000   0.031   0.000
   0.083   0.973   2.890   0.818   0.000   0.134   0.048   0.000   0.032   0.000
   0.084   0.972   2.890   0.817   0.000   0.134   0.048   0.000   0.032   0.000
   0.085   0.971   2.893   0.816   0.000   0.135   0.049   0.000   0.033   0.000
   0.086   0.971   2.908   0.815   0.000   0.136   0.049   0.000   0.034   0.000
   0.087   0.970   2.902   0.814   0.000   0.136   0.050   0.000   0.035   0.000
   0.088   0.969   2.902   0.813   0.000   0.137   0.050   0.000   0.035   0.000
   0.089   0.969   2.914   0.812   0.000   0.138   0.051   0.000   0.036   0.000
   0.090   0.968   2.927   0.811   0.000   0.138   0.051   0.000   0.037   0.000
   0.091   0.968   2.940   0.810   0.000   0.139   0.051   0.000   0.037   0.000
   0.092   0.967   2.947   0.808   0.000   0.139   0.052   0.000   0.038   0.000
   0.093   0.966   2.949   0.807   0.000   0.140   0.052   0.000   0.039   0.000
   0.094   0.965   2.955   0.806   0.000   0.141   0.053   0.000   0.040   0.000
   0.095   0.965   2.968   0.805   0.000   0.141   0.053   0.000   0.040   0.000
   0.096   0.964   2.973   0.804   0.000   0.142   0.054   0.000   0.041   0.000
   0.097   0.963   2.968   0.803   0.000   0.142   0.054   0.000   0.042   0.000
   0.098   0.963   2.978   0.802   0.000   0.143   0.055   0.000   0.043   0.000
   0.099   0.962   2.979   0.801   0.000   0.144   0.055   0.000   0.044   0.000
   0.100   0.961   2.979   0.799   0.000   0.145   0.055   0.000   0.044   0.000
   0.101   0.961   2.994   0.798   0.000   0.146   0.056   0.000   0.045   0.000
   0.102   0.960   2.996   0.797   0.000   0.146   0.056   0.000   0.046   0.000
   0.103   0.959   3.003   0.796   0.000   0.147   0.057   0.000   0.047   0.000
   0.104   0.958   3.004   0.795   0.000   0.148   0.057   0.000   0.048   0.000
   0.105   0.957   3.001   0.793   0.000   0.149   0.058   0.000   0.048   0.000
   0.106   0.957   3.001   0.792   0.000   0.149   0.058   0.000   0.049   0.000
   0.107   0.956   3.002   0.792   0.000   0.150   0.058   0.000   0.050   0.000
   0.108   0.955   3.011   0.790   0.000   0.151   0.059   0.000   0.051   0.000
   0.109   0.955   3.011   0.789   0.000   0.152   0.059   0.000   0.052   0.000
   0.110   0.954   3.012   0.787   0.000   0.152   0.060   0.000   0.053   0.000
   0.111   0.953   3.013   0.787   0.000   0.153   0.060   0.000   0.053   0.000
   0.112   0.952   3.009   0.785   0.000   0.154   0.061   0.000   0.054   0.000
   0.113   0.951   3.009   0.784   0.000   0.155   0.061   0.000   0.055   0.000
   0.114   0.950   3.009   0.782   0.000   0.156   0.061   0.000   0.056   0.000
   0.115   0.949   3.025   0.781   0.000   0.157   0.062   0.000   0.057   0.000
   0.116   0.948   3.026   0.780   0.000   0.157   0.062   0.000   0.058   0.000
   0.117   0.947   3.037   0.779   0.000   0.158   0.063   0.000   0.059   0.000
   0.118   0.946   3.042   0.777   0.000   0.159   0.063   0.000   0.060   0.000
   0.119   0.946   3.056   0.776   0.000   0.160   0.063   0.000   0.061   0.000
   0.120   0.945   3.063   0.775   0.001   0.161   0.064   0.000   0.061   0.000
   0.121   0.944   3.081   0.774   0.001   0.162   0.064   0.000   0.062   0.000
   0.122   0.943   3.089   0.772   0.001   0.163   0.065   0.000   0.063   0.000
   0.123   0.942   3.106   0.771   0.001   0.163   0.065   0.000   0.064   0.000
   0.124   0.941   3.114   0.770   0.001   0.164   0.065   0.000   0.065   0.000
   0.125   0.940   3.113   0.768   0.001   0.165   0.066   0.000   0.066   0.000
   0.126   0.940   3.114   0.767   0.001   0.166   0.066   0.000   0.067   0.000
   0.127   0.939   3.109   0.766   0.001   0.167   0.067   0.000   0.068   0.000
   0.128   0.938   3.109   0.765   0.001   0.168   0.067   0.000   0.069   0.000
   0.129   0.937   3.119   0.763   0.001   0.169   0.067   0.000   0.070   0.000
   0.130   0.936   3.129   0.762   0.001   0.170   0.068   0.000   0.071   0.000
   0.131   0.935   3.129   0.761   0.001   0.171   0.068   0.000   0.072   0.000
   0.132   0.934   3.137   0.759   0.001   0.172   0.068   0.000   0.073   0.000
   0.133   0.933   3.140   0.758   0.001   0.172   0.069   0.000   0.074   0.000
   0.134   0.932   3.140   0.756   0.001   0.174   0.069   0.000   0.075   0.000
   0.135   0.931   3.140   0.755   0.001   0.174   0.069   0.000   0.076   0.000
   0.136   0.930   3.140   0.754   0.001   0.176   0.070   0.000   0.077   0.000
   0.137   0.929   3.145   0.753   0.001   0.176   0.070   0.000   0.078   0.000
   0.138   0.928   3.152   0.751   0.001   0.178   0.071   0.000   0.079   0.000
   0.139   0.927   3.152   0.750   0.001   0.178   0.071   0.000   0.080   0.000
   0.140   0.926   3.164   0.748   0.001   0.179   0.071   0.000   0.081   0.000
   0.141   0.925   3.164   0.747   0.001   0.180   0.072   0.000   0.082   0.000
   0.142   0.924   3.164   0.746   0.001   0.181   0.072   0.000   0.083   0.000
   0.143   0.923   3.163   0.745   0.001   0.182   0.072   0.000   0.084   0.000
   0.144   0.922   3.171   0.743   0.001   0.183   0.073   0.000   0.085   0.000
   0.145   0.921   3.179   0.742   0.001   0.184   0.073   0.000   0.086   0.000
   0.146   0.920   3.186   0.740   0.001   0.185   0.073   0.000   0.087   0.000
