  STRAIN   SUBSTRUCTURE     MODE1     MODE2     MODE3
   0.000 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
   0.001 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
   0.002 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
   0.003 0.6740580E+00 0.5550000E+11 0.7887255E+11 0.5550000E+11
   0.004 0.6740580E+00 0.5550000E+11 0.7887255E+11 0.5550000E+11
   0.005 0.4235184E+01 0.5786414E+11 0.8426575E+11 0.9762092E+11
   0.006 0.4167445E+01 0.5761226E+11 0.8155209E+11 0.9921928E+11
   0.007 0.5857111E+01 0.6346560E+11 0.9286683E+11 0.8931806E+11
   0.008 0.6588409E+01 0.6698709E+11 0.9317287E+11 0.8806430E+11
   0.009 0.1910435E+02 0.9739996E+11 0.8272010E+11 0.1079854E+12
   0.010 0.1973552E+02 0.9442721E+11 0.8451537E+11 0.1115892E+12
   0.011 0.2102912E+02 0.9316533E+11 0.9033679E+11 0.1096468E+12
   0.012 0.5686431E+02 0.1150575E+12 0.1173876E+12 0.1010481E+12
   0.013 0.6559882E+02 0.1308566E+12 0.1135987E+12 0.9829308E+11
   0.014 0.1755602E+03 0.2225865E+12 0.9892894E+11 0.8847515E+11
   0.015 0.1756965E+03 0.2227659E+12 0.9894849E+11 0.8851199E+11
   0.016 0.1758379E+03 0.2229497E+12 0.9896819E+11 0.8854810E+11
   0.017 0.2656397E+03 0.2319672E+12 0.9173435E+11 0.1413413E+12
   0.018 0.2636881E+03 0.2283838E+12 0.9341023E+11 0.1436775E+12
   0.019 0.2829920E+03 0.2356317E+12 0.9280950E+11 0.1425593E+12
   0.020 0.2834792E+03 0.2358252E+12 0.9279485E+11 0.1428027E+12
   0.021 0.6730671E+03 0.2580219E+12 0.1389711E+12 0.1335135E+12
   0.022 0.7256990E+03 0.2591947E+12 0.1415524E+12 0.1437459E+12
   0.023 0.8104624E+03 0.2775803E+12 0.1448096E+12 0.1408678E+12
   0.024 0.8255026E+03 0.2829976E+12 0.1440134E+12 0.1407767E+12
   0.025 0.1034770E+04 0.2730836E+12 0.1409277E+12 0.1797438E+12
   0.026 0.1800773E+04 0.3366648E+12 0.1327367E+12 0.2044720E+12
   0.027 0.1806489E+04 0.3373960E+12 0.1330776E+12 0.2045280E+12
   0.028 0.1811671E+04 0.3377396E+12 0.1333319E+12 0.2047409E+12
   0.029 0.1816839E+04 0.3380816E+12 0.1335846E+12 0.2049538E+12
   0.030 0.1821916E+04 0.3384187E+12 0.1338304E+12 0.2051650E+12
   0.031 0.1826925E+04 0.3387517E+12 0.1340717E+12 0.2053744E+12
   0.032 0.1845906E+04 0.3398726E+12 0.1340692E+12 0.2072875E+12
   0.033 0.4984377E+04 0.3302927E+12 0.2168633E+12 0.2021987E+12
   0.034 0.5038365E+04 0.3298042E+12 0.2266640E+12 0.2006357E+12
   0.035 0.5071817E+04 0.3299995E+12 0.2277401E+12 0.2007504E+12
   0.036 0.5190810E+04 0.3373744E+12 0.2291640E+12 0.1998885E+12
   0.037 0.7204406E+04 0.3766916E+12 0.2274236E+12 0.1976727E+12
   0.038 0.1061481E+05 0.4643006E+12 0.2772836E+12 0.2027252E+12
   0.039 0.2029816E+05 0.4435461E+12 0.4310033E+12 0.1961006E+12
   0.040 0.2038129E+05 0.4446039E+12 0.4323990E+12 0.1964171E+12
   0.041 0.2046322E+05 0.4456450E+12 0.4337841E+12 0.1967291E+12
   0.042 0.3628486E+05 0.5272227E+12 0.4997044E+12 0.1959580E+12
   0.043 0.5019974E+05 0.5967745E+12 0.5050232E+12 0.2406967E+12
   0.044 0.5219233E+05 0.5735846E+12 0.5567369E+12 0.2934436E+12
   0.045 0.5254167E+05 0.5751870E+12 0.5589146E+12 0.2946798E+12
   0.046 0.5948865E+05 0.5949837E+12 0.6003804E+12 0.3124163E+12
   0.047 0.5992582E+05 0.5968350E+12 0.6031312E+12 0.3137894E+12
   0.048 0.6035430E+05 0.5986425E+12 0.6058428E+12 0.3151417E+12
   0.049 0.7592340E+05 0.6540797E+12 0.6891803E+12 0.3187531E+12
   0.050 0.7793834E+05 0.6534671E+12 0.7052493E+12 0.3246199E+12
   0.051 0.7847800E+05 0.6555613E+12 0.7085595E+12 0.3259706E+12
   0.052 0.7970761E+05 0.6425523E+12 0.7296941E+12 0.3657202E+12
   0.053 0.9265058E+05 0.6643808E+12 0.7756925E+12 0.3900300E+12
   0.054 0.1332547E+06 0.7829733E+12 0.7651687E+12 0.3853443E+12
   0.055 0.1340625E+06 0.7854751E+12 0.7686386E+12 0.3870690E+12
   0.056 0.1348536E+06 0.7879224E+12 0.7720551E+12 0.3887672E+12
   0.057 0.1357097E+06 0.7905217E+12 0.7831412E+12 0.3890336E+12
   0.058 0.1434883E+06 0.8158575E+12 0.8219219E+12 0.3860447E+12
   0.059 0.1448867E+06 0.8138671E+12 0.8375563E+12 0.3930899E+12
   0.060 0.1457095E+06 0.8163860E+12 0.8413243E+12 0.3945980E+12
   0.061 0.1572734E+06 0.8056962E+12 0.8448844E+12 0.4684835E+12
   0.062 0.1583590E+06 0.8077972E+12 0.8483748E+12 0.4716327E+12
   0.063 0.1626032E+06 0.8255985E+12 0.8492520E+12 0.4723471E+12
   0.064 0.1663547E+06 0.8328999E+12 0.8478817E+12 0.4952449E+12
   0.065 0.1672331E+06 0.8351017E+12 0.8512606E+12 0.4974901E+12
   0.066 0.2309924E+06 0.8274663E+12 0.8429060E+12 0.6129977E+12
   0.067 0.2366455E+06 0.8370474E+12 0.8730165E+12 0.6116683E+12
   0.068 0.2382075E+06 0.8390618E+12 0.8763414E+12 0.6149590E+12
   0.069 0.2423216E+06 0.8400066E+12 0.8777566E+12 0.6296472E+12
   0.070 0.2438692E+06 0.8419303E+12 0.8809636E+12 0.6329766E+12
   0.071 0.2570616E+06 0.8367564E+12 0.9243673E+12 0.6454304E+12
   0.072 0.3923534E+06 0.8168843E+12 0.9115793E+12 0.8635350E+12
   0.073 0.4475633E+06 0.8783670E+12 0.9109264E+12 0.8643833E+12
   0.074 0.4920539E+06 0.8778530E+12 0.9454918E+12 0.8765194E+12
   0.075 0.4979405E+06 0.8805086E+12 0.9495924E+12 0.8825050E+12
   0.076 0.5047840E+06 0.8887882E+12 0.9505602E+12 0.8973015E+12
   0.077 0.6262055E+06 0.8793218E+12 0.1062711E+13 0.9204012E+12
   0.078 0.6324270E+06 0.8818316E+12 0.1067205E+13 0.9262994E+12
   0.079 0.7264052E+06 0.8759262E+12 0.1164244E+13 0.9280010E+12
   0.080 0.7332818E+06 0.8782930E+12 0.1169463E+13 0.9336116E+12
   0.081 0.7864976E+06 0.8733639E+12 0.1241809E+13 0.9404236E+12
   0.082 0.9117656E+06 0.9838240E+12 0.1226248E+13 0.9919952E+12
   0.083 0.9201056E+06 0.9869585E+12 0.1231760E+13 0.9978426E+12
   0.084 0.9478790E+06 0.1016850E+13 0.1232588E+13 0.1012109E+13
   0.085 0.1057745E+07 0.1069067E+13 0.1314418E+13 0.1018365E+13
