  STRAIN   SUBSTRUCTURE     MODE1     MODE2     MODE3
   0.000 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
   0.001 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
   0.002 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
   0.003 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
   0.004 0.1651008E+01 0.8391825E+11 0.5550148E+11 0.6865960E+11
   0.005 0.5061594E+01 0.6550665E+11 0.1144443E+12 0.5991307E+11
   0.006 0.5156730E+01 0.6338200E+11 0.1177660E+12 0.5897127E+11
   0.007 0.6612239E+01 0.7357003E+11 0.1156241E+12 0.5810179E+11
   0.008 0.6632678E+01 0.7365998E+11 0.1155442E+12 0.5821469E+11
   0.009 0.3834389E+02 0.9133217E+11 0.1823821E+12 0.5784807E+11
   0.010 0.3820140E+02 0.9454395E+11 0.1790907E+12 0.5778269E+11
   0.011 0.4190656E+02 0.1145167E+12 0.1650051E+12 0.5767364E+11
   0.012 0.4202630E+02 0.1130174E+12 0.1667479E+12 0.5764201E+11
   0.013 0.9243587E+02 0.1633509E+12 0.1506460E+12 0.7359555E+11
   0.014 0.9306719E+02 0.1596402E+12 0.1484859E+12 0.8060288E+11
   0.015 0.9314650E+02 0.1596840E+12 0.1485647E+12 0.8062137E+11
   0.016 0.1126154E+03 0.1682786E+12 0.1499694E+12 0.7975435E+11
   0.017 0.2403513E+03 0.2172660E+12 0.1357824E+12 0.9253273E+11
   0.018 0.2402585E+03 0.2171652E+12 0.1358786E+12 0.9260368E+11
   0.019 0.2447307E+03 0.2161391E+12 0.1355091E+12 0.9564315E+11
   0.020 0.7610999E+03 0.2828789E+12 0.1304196E+12 0.9288035E+11
   0.021 0.8976714E+03 0.3072793E+12 0.1347602E+12 0.9068772E+11
   0.022 0.9032917E+03 0.3079315E+12 0.1347736E+12 0.9073231E+11
   0.023 0.2425452E+04 0.4132674E+12 0.2301496E+12 0.8181698E+11
   0.024 0.2886503E+04 0.3702981E+12 0.2654089E+12 0.1473329E+12
   0.025 0.3001447E+04 0.4046659E+12 0.2671995E+12 0.1474322E+12
   0.026 0.3456299E+04 0.3921655E+12 0.2597636E+12 0.1966835E+12
   0.027 0.3463595E+04 0.3924199E+12 0.2598276E+12 0.1972165E+12
   0.028 0.3470800E+04 0.3926683E+12 0.2598973E+12 0.1977408E+12
   0.029 0.3521397E+04 0.3987050E+12 0.2576079E+12 0.2017332E+12
   0.030 0.3779207E+04 0.3966812E+12 0.2610430E+12 0.2147435E+12
   0.031 0.5236906E+04 0.4051752E+12 0.3356413E+12 0.2060193E+12
   0.032 0.1084534E+05 0.5475895E+12 0.3171786E+12 0.1960231E+12
   0.033 0.1087641E+05 0.5480529E+12 0.3177199E+12 0.1965919E+12
   0.034 0.1195500E+05 0.5911854E+12 0.3508771E+12 0.1890238E+12
   0.035 0.1379602E+05 0.6387647E+12 0.3439287E+12 0.1866577E+12
   0.036 0.2159423E+05 0.8120410E+12 0.3135399E+12 0.1997562E+12
   0.037 0.2162571E+05 0.8121076E+12 0.3147675E+12 0.2010459E+12
   0.038 0.2294304E+05 0.8125924E+12 0.3104428E+12 0.2384501E+12
   0.039 0.2477375E+05 0.8219291E+12 0.3025046E+12 0.2929438E+12
   0.040 0.3232151E+05 0.7874665E+12 0.4374776E+12 0.2827342E+12
   0.041 0.4318401E+05 0.7600017E+12 0.4239990E+12 0.4137838E+12
   0.042 0.5147902E+05 0.7257213E+12 0.4761212E+12 0.4868883E+12
   0.043 0.5165667E+05 0.7262392E+12 0.4772213E+12 0.4888565E+12
   0.044 0.5191768E+05 0.7232516E+12 0.4940276E+12 0.4864871E+12
   0.045 0.6044047E+05 0.7183801E+12 0.5345948E+12 0.4848560E+12
   0.046 0.7047600E+05 0.7812932E+12 0.5289200E+12 0.4793976E+12
   0.047 0.7078140E+05 0.7817356E+12 0.5306701E+12 0.4810484E+12
   0.048 0.7579944E+05 0.8188314E+12 0.5230668E+12 0.4975011E+12
   0.049 0.7609909E+05 0.8193452E+12 0.5246952E+12 0.4990976E+12
   0.050 0.8868221E+05 0.8890172E+12 0.5118356E+12 0.5359042E+12
   0.051 0.9432860E+05 0.8854673E+12 0.5409621E+12 0.5352430E+12
   0.052 0.1078648E+06 0.8847745E+12 0.5860541E+12 0.5338817E+12
   0.053 0.1171136E+06 0.8983884E+12 0.6354341E+12 0.5295958E+12
   0.054 0.1177695E+06 0.8997531E+12 0.6374336E+12 0.5315413E+12
   0.055 0.1335653E+06 0.8918091E+12 0.6327910E+12 0.5938780E+12
   0.056 0.1345086E+06 0.8958393E+12 0.6337005E+12 0.5970601E+12
   0.057 0.1395211E+06 0.9024740E+12 0.6314061E+12 0.6245415E+12
   0.058 0.1423712E+06 0.9092409E+12 0.6443697E+12 0.6253975E+12
   0.059 0.1497366E+06 0.8971009E+12 0.6963941E+12 0.6410923E+12
   0.060 0.1507507E+06 0.8982790E+12 0.6986543E+12 0.6442528E+12
   0.061 0.1875486E+06 0.8788319E+12 0.7390001E+12 0.7338969E+12
   0.062 0.1887666E+06 0.8798043E+12 0.7414488E+12 0.7374490E+12
   0.063 0.1902207E+06 0.8864129E+12 0.7493145E+12 0.7381131E+12
   0.064 0.1914139E+06 0.8873544E+12 0.7517161E+12 0.7415324E+12
   0.065 0.2452068E+06 0.8815459E+12 0.7484236E+12 0.8146361E+12
   0.066 0.2957747E+06 0.8819287E+12 0.8504323E+12 0.8071307E+12
   0.067 0.2976979E+06 0.8827519E+12 0.8533190E+12 0.8108964E+12
   0.068 0.2996108E+06 0.8835594E+12 0.8561719E+12 0.8146161E+12
   0.069 0.3015126E+06 0.8843515E+12 0.8589904E+12 0.8182909E+12
   0.070 0.3035413E+06 0.8815874E+12 0.8577106E+12 0.8360469E+12
   0.071 0.4543324E+06 0.1067814E+13 0.8425720E+12 0.8748904E+12
   0.072 0.4573441E+06 0.1075020E+13 0.8440327E+12 0.8777824E+12
   0.073 0.4599776E+06 0.1076418E+13 0.8467488E+12 0.8819711E+12
   0.074 0.5105604E+06 0.1078160E+13 0.8457894E+12 0.9745769E+12
   0.075 0.5135449E+06 0.1079590E+13 0.8481021E+12 0.9793709E+12
   0.076 0.6253623E+06 0.1091117E+13 0.8273573E+12 0.1161201E+13
   0.077 0.6292318E+06 0.1092258E+13 0.8294329E+12 0.1167095E+13
   0.078 0.6386341E+06 0.1092892E+13 0.8314342E+12 0.1177625E+13
   0.079 0.6425432E+06 0.1093994E+13 0.8334491E+12 0.1183464E+13
   0.080 0.6464134E+06 0.1095082E+13 0.8354341E+12 0.1189228E+13
   0.081 0.6502445E+06 0.1096159E+13 0.8373888E+12 0.1194917E+13
   0.082 0.6540360E+06 0.1097225E+13 0.8393131E+12 0.1200531E+13
   0.083 0.6577878E+06 0.1098281E+13 0.8412073E+12 0.1206070E+13
   0.084 0.6943005E+06 0.1143506E+13 0.8373779E+12 0.1228853E+13
   0.085 0.6982978E+06 0.1144996E+13 0.8391431E+12 0.1234401E+13
