  %STRAIN  PHFRAC   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   TWFR4   TWFR5
   0.000   1.000   2.071   0.900   0.000   0.085   0.015   0.000   0.000   0.000
   0.001   1.000   2.061   0.901   0.000   0.088   0.011   0.000   0.000   0.000
   0.002   1.000   2.063   0.900   0.000   0.088   0.012   0.000   0.000   0.000
   0.003   1.000   2.073   0.899   0.000   0.089   0.012   0.000   0.001   0.000
   0.004   1.000   2.089   0.898   0.000   0.089   0.013   0.000   0.001   0.000
   0.005   1.000   2.096   0.897   0.000   0.090   0.013   0.000   0.001   0.000
   0.006   1.000   2.111   0.896   0.000   0.090   0.014   0.000   0.001   0.000
   0.007   1.000   2.115   0.895   0.000   0.091   0.014   0.000   0.001   0.000
   0.008   1.000   2.122   0.894   0.000   0.091   0.014   0.000   0.001   0.000
   0.009   1.000   2.147   0.893   0.000   0.092   0.015   0.000   0.002   0.000
   0.010   1.000   2.175   0.892   0.000   0.092   0.015   0.000   0.002   0.000
   0.011   1.000   2.182   0.891   0.000   0.093   0.016   0.000   0.002   0.000
   0.012   1.000   2.190   0.890   0.000   0.093   0.016   0.000   0.002   0.000
   0.013   1.000   2.197   0.890   0.000   0.094   0.017   0.000   0.002   0.000
   0.014   0.999   2.217   0.889   0.000   0.094   0.017   0.000   0.003   0.000
   0.015   0.999   2.228   0.888   0.000   0.095   0.018   0.000   0.003   0.000
   0.016   0.999   2.240   0.887   0.000   0.095   0.018   0.000   0.003   0.000
   0.017   0.999   2.244   0.886   0.000   0.096   0.018   0.000   0.003   0.000
   0.018   0.999   2.241   0.885   0.000   0.096   0.019   0.000   0.004   0.000
   0.019   0.999   2.248   0.884   0.000   0.096   0.019   0.000   0.004   0.000
   0.020   0.999   2.250   0.883   0.000   0.097   0.020   0.000   0.004   0.000
   0.021   0.999   2.255   0.882   0.000   0.097   0.020   0.000   0.004   0.000
   0.022   0.999   2.255   0.881   0.000   0.098   0.021   0.000   0.005   0.000
   0.023   0.998   2.283   0.880   0.000   0.098   0.021   0.000   0.005   0.000
   0.024   0.998   2.295   0.879   0.000   0.099   0.022   0.000   0.005   0.000
   0.025   0.998   2.310   0.878   0.000   0.100   0.022   0.000   0.006   0.000
   0.026   0.997   2.320   0.877   0.000   0.100   0.023   0.000   0.006   0.000
   0.027   0.997   2.336   0.876   0.000   0.100   0.023   0.000   0.006   0.000
   0.028   0.997   2.337   0.875   0.000   0.101   0.024   0.000   0.007   0.000
   0.029   0.997   2.340   0.874   0.000   0.101   0.024   0.000   0.007   0.000
   0.030   0.997   2.343   0.873   0.000   0.102   0.025   0.000   0.007   0.000
   0.031   0.997   2.366   0.872   0.000   0.102   0.025   0.000   0.008   0.000
   0.032   0.996   2.369   0.872   0.000   0.103   0.026   0.000   0.008   0.000
   0.033   0.996   2.375   0.870   0.000   0.103   0.026   0.000   0.008   0.000
   0.034   0.996   2.387   0.869   0.000   0.104   0.027   0.000   0.009   0.000
   0.035   0.995   2.412   0.868   0.000   0.104   0.027   0.000   0.009   0.000
   0.036   0.995   2.419   0.867   0.000   0.105   0.028   0.000   0.009   0.000
   0.037   0.994   2.421   0.866   0.000   0.106   0.028   0.000   0.010   0.000
