  STRAIN   SUBSTRUCTURE     MODE1     MODE2     MODE3
   0.000 0.1000000E+00 0.5550000E+11 0.5550000E+11 0.5550000E+11
   0.001 0.4842328E+00 0.6187865E+11 0.6163868E+11 0.6273141E+11
   0.002 0.1570578E+01 0.6908658E+11 0.6861634E+11 0.7094465E+11
   0.003 0.4015347E+01 0.7711216E+11 0.7642205E+11 0.8012707E+11
   0.004 0.8805946E+01 0.8593881E+11 0.8503906E+11 0.9025831E+11
   0.005 0.1736588E+02 0.9556189E+11 0.9445997E+11 0.1013320E+12
   0.006 0.3166501E+02 0.1059726E+12 0.1046781E+12 0.1133374E+12
   0.007 0.5435554E+02 0.1171679E+12 0.1156900E+12 0.1262711E+12
   0.008 0.8887301E+02 0.1291328E+12 0.1274800E+12 0.1401133E+12
   0.009 0.1396009E+03 0.1418599E+12 0.1400251E+12 0.1548612E+12
   0.010 0.2120082E+03 0.1553359E+12 0.1533382E+12 0.1704891E+12
   0.011 0.3128022E+03 0.1695483E+12 0.1674003E+12 0.1869926E+12
   0.012 0.4500784E+03 0.1844942E+12 0.1821955E+12 0.2043543E+12
   0.013 0.6335845E+03 0.2001478E+12 0.1977304E+12 0.2225821E+12
   0.014 0.8745012E+03 0.2165179E+12 0.2139665E+12 0.2416226E+12
   0.015 0.1186186E+04 0.2335848E+12 0.2309055E+12 0.2614868E+12
   0.016 0.1584087E+04 0.2513413E+12 0.2485439E+12 0.2821710E+12
   0.017 0.2085881E+04 0.2697534E+12 0.2668933E+12 0.3036684E+12
   0.018 0.2711114E+04 0.2888547E+12 0.2858885E+12 0.3259306E+12
   0.019 0.3482629E+04 0.3086182E+12 0.3055497E+12 0.3489664E+12
   0.020 0.4425022E+04 0.3289600E+12 0.3258751E+12 0.3727800E+12
   0.021 0.5567400E+04 0.3499707E+12 0.3468357E+12 0.3973459E+12
   0.022 0.6940559E+04 0.3716319E+12 0.3684206E+12 0.4226286E+12
   0.023 0.8579039E+04 0.3937547E+12 0.3905624E+12 0.4487980E+12
   0.024 0.1052264E+05 0.4167233E+12 0.4133531E+12 0.4755084E+12
   0.025 0.1281404E+05 0.4401504E+12 0.4368241E+12 0.5030723E+12
   0.026 0.1549511E+05 0.4642767E+12 0.4608954E+12 0.5311508E+12
   0.027 0.1861713E+05 0.4889517E+12 0.4855172E+12 0.5599978E+12
   0.028 0.2223305E+05 0.5141980E+12 0.5107115E+12 0.5895137E+12
   0.029 0.2640121E+05 0.5399935E+12 0.5364856E+12 0.6196916E+12
   0.030 0.3118316E+05 0.5663711E+12 0.5628032E+12 0.6504956E+12
   0.031 0.3664585E+05 0.5932875E+12 0.5894579E+12 0.6820801E+12
   0.032 0.4284565E+05 0.6202215E+12 0.6169876E+12 0.7143608E+12
   0.033 0.4988273E+05 0.6481456E+12 0.6448977E+12 0.7470849E+12
   0.034 0.5783794E+05 0.6764332E+12 0.6732769E+12 0.7806142E+12
   0.035 0.6678168E+05 0.7051723E+12 0.7023096E+12 0.8146740E+12
   0.036 0.7680415E+05 0.7336833E+12 0.7321704E+12 0.8495590E+12
   0.037 0.8802913E+05 0.7635661E+12 0.7621870E+12 0.8847666E+12
   0.038 0.1005404E+06 0.7939214E+12 0.7927715E+12 0.9203948E+12
