  %STRAIN  PHFRAC   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   TWFR4   TWFR5
   0.000   1.000   2.756   0.654   0.032   0.304   0.010   0.000   0.000   0.000
   0.001   1.000   2.748   0.655   0.033   0.305   0.008   0.000   0.000   0.000
   0.002   1.000   2.760   0.653   0.034   0.305   0.008   0.000   0.000   0.000
   0.003   1.000   2.775   0.651   0.034   0.306   0.008   0.000   0.000   0.000
   0.004   1.000   2.783   0.649   0.035   0.308   0.009   0.000   0.001   0.000
   0.005   1.000   2.784   0.647   0.035   0.309   0.009   0.000   0.001   0.000
   0.006   1.000   2.805   0.645   0.036   0.310   0.010   0.000   0.001   0.000
   0.007   1.000   2.805   0.643   0.036   0.311   0.010   0.000   0.001   0.000
   0.008   1.000   2.818   0.641   0.037   0.312   0.010   0.000   0.001   0.000
   0.009   1.000   2.827   0.638   0.037   0.314   0.011   0.000   0.001   0.000
   0.010   1.000   2.838   0.636   0.038   0.315   0.011   0.000   0.001   0.000
   0.011   0.999   2.842   0.634   0.038   0.316   0.012   0.000   0.002   0.000
   0.012   0.999   2.854   0.631   0.039   0.318   0.012   0.000   0.002   0.000
   0.013   0.999   2.868   0.629   0.040   0.319   0.013   0.000   0.002   0.000
   0.014   0.999   2.892   0.628   0.040   0.320   0.013   0.000   0.002   0.000
   0.015   0.999   2.914   0.625   0.041   0.321   0.013   0.000   0.002   0.000
   0.016   0.999   2.915   0.622   0.041   0.323   0.014   0.000   0.002   0.000
   0.017   0.998   2.916   0.621   0.042   0.323   0.014   0.000   0.003   0.000
   0.018   0.998   2.935   0.618   0.042   0.325   0.015   0.000   0.003   0.000
   0.019   0.998   2.950   0.615   0.043   0.326   0.015   0.000   0.003   0.000
   0.020   0.998   2.963   0.614   0.043   0.327   0.016   0.000   0.003   0.000
   0.021   0.998   2.974   0.611   0.044   0.329   0.016   0.000   0.004   0.000
   0.022   0.997   2.982   0.608   0.045   0.330   0.017   0.000   0.004   0.000
   0.023   0.997   2.989   0.607   0.045   0.331   0.017   0.000   0.004   0.000
   0.024   0.997   3.009   0.604   0.046   0.333   0.017   0.000   0.004   0.000
   0.025   0.997   3.023   0.602   0.047   0.334   0.018   0.000   0.005   0.000
   0.026   0.997   3.025   0.599   0.047   0.335   0.018   0.000   0.005   0.000
   0.027   0.997   3.038   0.598   0.048   0.336   0.019   0.000   0.005   0.000
   0.028   0.996   3.051   0.595   0.049   0.338   0.019   0.000   0.005   0.000
   0.029   0.996   3.053   0.593   0.049   0.339   0.019   0.000   0.006   0.000
   0.030   0.996   3.059   0.590   0.050   0.340   0.020   0.000   0.006   0.000
   0.031   0.995   3.075   0.588   0.050   0.341   0.020   0.000   0.006   0.000
   0.032   0.995   3.098   0.585   0.051   0.343   0.021   0.000   0.006   0.000
   0.033   0.994   3.106   0.583   0.052   0.344   0.021   0.000   0.007   0.000
   0.034   0.994   3.111   0.580   0.053   0.346   0.022   0.000   0.007   0.000
   0.035   0.994   3.121   0.578   0.053   0.346   0.022   0.000   0.007   0.000
   0.036   0.993   3.134   0.575   0.054   0.348   0.022   0.000   0.008   0.000
   0.037   0.993   3.142   0.573   0.055   0.349   0.023   0.000   0.008   0.000
   0.038   0.993   3.148   0.571   0.056   0.350   0.023   0.000   0.008   0.000
   0.039   0.992   3.154   0.568   0.057   0.352   0.024   0.000   0.009   0.000
   0.040   0.992   3.152   0.566   0.057   0.353   0.024   0.000   0.009   0.000
   0.041   0.992   3.170   0.563   0.058   0.354   0.024   0.000   0.009   0.000
   0.042   0.991   3.172   0.562   0.059   0.355   0.025   0.000   0.010   0.000
   0.043   0.991   3.173   0.559   0.059   0.356   0.025   0.000   0.010   0.000
   0.044   0.991   3.182   0.556   0.060   0.358   0.025   0.000   0.011   0.000
   0.045   0.990   3.191   0.554   0.061   0.359   0.026   0.000   0.011   0.000
   0.046   0.990   3.194   0.552   0.062   0.360   0.026   0.000   0.011   0.000
   0.047   0.990   3.203   0.549   0.063   0.362   0.026   0.000   0.012   0.000
   0.048   0.989   3.215   0.547   0.063   0.363   0.027   0.000   0.012   0.000
   0.049   0.989   3.229   0.545   0.064   0.364   0.027   0.000   0.012   0.000
   0.050   0.988   3.257   0.543   0.065   0.365   0.027   0.000   0.013   0.000
   0.051   0.988   3.264   0.540   0.066   0.367   0.028   0.000   0.013   0.000
   0.052   0.988   3.267   0.538   0.066   0.368   0.028   0.000   0.014   0.000
   0.053   0.987   3.278   0.536   0.067   0.369   0.028   0.000   0.014   0.000
   0.054   0.987   3.280   0.533   0.068   0.370   0.028   0.000   0.014   0.000
   0.055   0.986   3.283   0.531   0.069   0.371   0.029   0.000   0.015   0.000
   0.056   0.986   3.292   0.529   0.070   0.373   0.029   0.000   0.015   0.000
   0.057   0.986   3.296   0.527   0.070   0.374   0.029   0.000   0.016   0.000
   0.058   0.985   3.298   0.524   0.071   0.375   0.030   0.000   0.016   0.000
