  STRAIN   SUBSTRUCTURE     MODE1     MODE2     MODE3
   0.000 0.1000000E+00 0.5550000E+11 0.5550000E+11 0.5550000E+11
   0.001 0.5625514E+00 0.6019343E+11 0.6147505E+11 0.6030101E+11
   0.002 0.2098207E+01 0.6557084E+11 0.6833084E+11 0.6579465E+11
   0.003 0.5888723E+01 0.7161175E+11 0.7604245E+11 0.7196224E+11
   0.004 0.1375943E+02 0.7829396E+11 0.8458390E+11 0.7878086E+11
   0.005 0.2836629E+02 0.8560380E+11 0.9393602E+11 0.8623408E+11
   0.006 0.5342319E+02 0.9353146E+11 0.1040854E+12 0.9431113E+11
   0.007 0.9392703E+02 0.1020616E+12 0.1150200E+12 0.1029973E+12
   0.008 0.1564042E+03 0.1111824E+12 0.1267214E+12 0.1122786E+12
   0.009 0.2491624E+03 0.1208849E+12 0.1391529E+12 0.1221326E+12
   0.010 0.3825421E+03 0.1311326E+12 0.1522788E+12 0.1325706E+12
   0.011 0.5692641E+03 0.1419176E+12 0.1661291E+12 0.1435518E+12
   0.012 0.8246517E+03 0.1532470E+12 0.1807046E+12 0.1550424E+12
   0.013 0.1166886E+04 0.1650721E+12 0.1959167E+12 0.1670881E+12
   0.014 0.1617375E+04 0.1774254E+12 0.2118188E+12 0.1796298E+12
   0.015 0.2200704E+04 0.1902065E+12 0.2283949E+12 0.1926649E+12
   0.016 0.2945749E+04 0.2035198E+12 0.2455731E+12 0.2061791E+12
   0.017 0.3884884E+04 0.2173119E+12 0.2633111E+12 0.2201306E+12
   0.018 0.5054763E+04 0.2315490E+12 0.2816718E+12 0.2345643E+12
   0.019 0.6497450E+04 0.2462327E+12 0.3006202E+12 0.2494330E+12
   0.020 0.8257419E+04 0.2612156E+12 0.3201489E+12 0.2647340E+12
   0.021 0.1038493E+05 0.2767492E+12 0.3400369E+12 0.2804691E+12
   0.022 0.1294046E+05 0.2924517E+12 0.3606447E+12 0.2966230E+12
   0.023 0.1598371E+05 0.3087054E+12 0.3815984E+12 0.3131260E+12
   0.024 0.1958448E+05 0.3253640E+12 0.4031666E+12 0.3300143E+12
   0.025 0.2381606E+05 0.3423815E+12 0.4252045E+12 0.3472600E+12
   0.026 0.2875759E+05 0.3597692E+12 0.4477170E+12 0.3648404E+12
   0.027 0.3449774E+05 0.3774885E+12 0.4706751E+12 0.3827817E+12
   0.028 0.4112986E+05 0.3955529E+12 0.4940879E+12 0.4010678E+12
   0.029 0.4873116E+05 0.4138769E+12 0.5174821E+12 0.4196952E+12
   0.030 0.5745042E+05 0.4325734E+12 0.5416872E+12 0.4386217E+12
   0.031 0.6738133E+05 0.4515960E+12 0.5659209E+12 0.4576755E+12
   0.032 0.7864913E+05 0.4708126E+12 0.5908868E+12 0.4771831E+12
   0.033 0.9133360E+05 0.4897677E+12 0.6160188E+12 0.4970527E+12
   0.034 0.1056642E+06 0.5094804E+12 0.6417319E+12 0.5169389E+12
   0.035 0.1217555E+06 0.5295060E+12 0.6677227E+12 0.5372489E+12
   0.036 0.1397416E+06 0.5499057E+12 0.6939664E+12 0.5574066E+12
   0.037 0.1597665E+06 0.5704644E+12 0.7206855E+12 0.5777033E+12
   0.038 0.1820725E+06 0.5912423E+12 0.7476469E+12 0.5986737E+12
   0.039 0.2067755E+06 0.6123078E+12 0.7745822E+12 0.6199291E+12
   0.040 0.2341191E+06 0.6335237E+12 0.8020823E+12 0.6413330E+12
   0.041 0.2642882E+06 0.6549744E+12 0.8298891E+12 0.6629711E+12
   0.042 0.2974097E+06 0.6760986E+12 0.8580192E+12 0.6848396E+12
   0.043 0.3337642E+06 0.6979449E+12 0.8864008E+12 0.7065567E+12
   0.044 0.3736537E+06 0.7199449E+12 0.9149827E+12 0.7287602E+12
