  STRAIN   SUBSTRUCTURE     MODE1     MODE2     MODE3
   0.000 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
   0.001 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
   0.002 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
   0.003 0.1619419E+01 0.8253021E+11 0.7247208E+11 0.6101595E+11
   0.004 0.4358262E+01 0.1154985E+12 0.5921586E+11 0.7159535E+11
   0.005 0.4359128E+01 0.1154922E+12 0.5921487E+11 0.7161388E+11
   0.006 0.1339691E+02 0.9453220E+11 0.1100387E+12 0.7680398E+11
   0.007 0.1878494E+02 0.1054816E+12 0.1076821E+12 0.8540104E+11
   0.008 0.1980704E+02 0.1036529E+12 0.1114826E+12 0.8579291E+11
   0.009 0.1015457E+03 0.8004285E+11 0.2100395E+12 0.1309355E+12
   0.010 0.2363638E+03 0.1267388E+12 0.2960855E+12 0.9735684E+11
   0.011 0.3321788E+03 0.1592127E+12 0.3032179E+12 0.1039393E+12
   0.012 0.3926543E+03 0.1642717E+12 0.2821561E+12 0.1389442E+12
   0.013 0.4753428E+03 0.1902071E+12 0.3042827E+12 0.1275967E+12
   0.014 0.4761543E+03 0.1905737E+12 0.3048823E+12 0.1272424E+12
   0.015 0.6264130E+03 0.2415591E+12 0.2796457E+12 0.1370040E+12
   0.016 0.6264460E+03 0.2416574E+12 0.2802760E+12 0.1366577E+12
   0.017 0.7790634E+03 0.2291689E+12 0.3065945E+12 0.1561011E+12
   0.018 0.8740552E+03 0.2298137E+12 0.3180887E+12 0.1561186E+12
   0.019 0.8981868E+03 0.2280504E+12 0.3226724E+12 0.1580251E+12
   0.020 0.1588727E+04 0.2840083E+12 0.3113396E+12 0.1554723E+12
   0.021 0.2933772E+04 0.2726274E+12 0.3857143E+12 0.1501548E+12
   0.022 0.3827343E+04 0.3519459E+12 0.3695604E+12 0.1448412E+12
   0.023 0.4778717E+04 0.3557993E+12 0.4105193E+12 0.1512991E+12
   0.024 0.4797304E+04 0.3558506E+12 0.4119205E+12 0.1509463E+12
   0.025 0.4816141E+04 0.3558981E+12 0.4133333E+12 0.1505948E+12
   0.026 0.5073770E+04 0.3542112E+12 0.4161225E+12 0.1597940E+12
   0.027 0.5099249E+04 0.3541948E+12 0.4175170E+12 0.1597581E+12
   0.028 0.5123649E+04 0.3541755E+12 0.4188548E+12 0.1597234E+12
   0.029 0.1209890E+05 0.3691022E+12 0.5249539E+12 0.1684448E+12
   0.030 0.1221555E+05 0.3694636E+12 0.5275961E+12 0.1687580E+12
   0.031 0.1593725E+05 0.3673457E+12 0.6011694E+12 0.2198502E+12
   0.032 0.1724060E+05 0.3839873E+12 0.6010000E+12 0.2220977E+12
   0.033 0.2963924E+05 0.4944765E+12 0.6324836E+12 0.2214098E+12
   0.034 0.3208944E+05 0.5088033E+12 0.6264011E+12 0.2574630E+12
   0.035 0.3247381E+05 0.5116575E+12 0.6291032E+12 0.2586930E+12
   0.036 0.3822765E+05 0.5004115E+12 0.6487705E+12 0.3313215E+12
   0.037 0.4662501E+05 0.5000744E+12 0.6404972E+12 0.4032866E+12
   0.038 0.4715739E+05 0.5023404E+12 0.6428426E+12 0.4064608E+12
   0.039 0.5312498E+05 0.4991031E+12 0.6887242E+12 0.4054765E+12
   0.040 0.5365509E+05 0.5012226E+12 0.6911586E+12 0.4084701E+12
   0.041 0.5416522E+05 0.5032598E+12 0.6934970E+12 0.4113449E+12
   0.042 0.6384869E+05 0.5637254E+12 0.6869408E+12 0.4113947E+12
   0.043 0.7373183E+05 0.5631312E+12 0.6848425E+12 0.4504526E+12
   0.044 0.7441449E+05 0.5657048E+12 0.6868023E+12 0.4533987E+12
   0.045 0.7509201E+05 0.5682386E+12 0.6887443E+12 0.4563237E+12
   0.046 0.9110708E+05 0.5632946E+12 0.6904844E+12 0.5292127E+12
   0.047 0.9213687E+05 0.5654367E+12 0.6922711E+12 0.5337470E+12
   0.048 0.9586453E+05 0.5647828E+12 0.7066095E+12 0.5498565E+12
   0.049 0.1017203E+06 0.5770237E+12 0.7275838E+12 0.5514865E+12
   0.050 0.1063665E+06 0.6114727E+12 0.7232021E+12 0.5552734E+12
   0.051 0.1172223E+06 0.6534417E+12 0.7198421E+12 0.5587643E+12
   0.052 0.1184113E+06 0.6561538E+12 0.7216594E+12 0.5627777E+12
   0.053 0.1200486E+06 0.6606806E+12 0.7231688E+12 0.5664856E+12
   0.054 0.1211758E+06 0.6632275E+12 0.7248780E+12 0.5702841E+12
   0.055 0.1222779E+06 0.6657051E+12 0.7265433E+12 0.5739948E+12
   0.056 0.1303113E+06 0.6861175E+12 0.7410371E+12 0.5750551E+12
   0.057 0.1315293E+06 0.6888913E+12 0.7429250E+12 0.5785201E+12
   0.058 0.1327225E+06 0.6915991E+12 0.7447713E+12 0.5819049E+12
   0.059 0.1338911E+06 0.6942418E+12 0.7465779E+12 0.5852111E+12
   0.060 0.1350338E+06 0.6968119E+12 0.7483440E+12 0.5884361E+12
   0.061 0.1361501E+06 0.6993057E+12 0.7500727E+12 0.5915797E+12
   0.062 0.1393732E+06 0.7082900E+12 0.7509328E+12 0.5944640E+12
   0.063 0.1457558E+06 0.7128597E+12 0.7512987E+12 0.6088490E+12
   0.064 0.1469308E+06 0.7152148E+12 0.7528862E+12 0.6120273E+12
   0.065 0.1480801E+06 0.7175020E+12 0.7544423E+12 0.6151298E+12
   0.066 0.1492046E+06 0.7197249E+12 0.7559678E+12 0.6181597E+12
   0.067 0.1503050E+06 0.7218874E+12 0.7574633E+12 0.6211198E+12
   0.068 0.1513824E+06 0.7239944E+12 0.7589300E+12 0.6240129E+12
   0.069 0.1619047E+06 0.7244775E+12 0.7631188E+12 0.6430492E+12
   0.070 0.1631775E+06 0.7264447E+12 0.7645974E+12 0.6462235E+12
   0.071 0.1644247E+06 0.7283628E+12 0.7660453E+12 0.6493309E+12
   0.072 0.2421099E+06 0.8104349E+12 0.7637239E+12 0.6472556E+12
   0.073 0.2450459E+06 0.8140784E+12 0.7650291E+12 0.6501163E+12
   0.074 0.2479448E+06 0.8176613E+12 0.7663140E+12 0.6529260E+12
   0.075 0.2507963E+06 0.8211724E+12 0.7675776E+12 0.6556804E+12
   0.076 0.2536111E+06 0.8246259E+12 0.7688239E+12 0.6583890E+12
   0.077 0.2563809E+06 0.8280135E+12 0.7700492E+12 0.6610480E+12
   0.078 0.2591161E+06 0.8313492E+12 0.7712614E+12 0.6636655E+12
   0.079 0.2618071E+06 0.8346229E+12 0.7724659E+12 0.6662324E+12
   0.080 0.2644638E+06 0.8378462E+12 0.7736655E+12 0.6687577E+12
   0.081 0.2670779E+06 0.8410118E+12 0.7748551E+12 0.6712345E+12
   0.082 0.2696496E+06 0.8441206E+12 0.7760347E+12 0.6736625E+12
   0.083 0.2721894E+06 0.8471844E+12 0.7772075E+12 0.6760508E+12
   0.084 0.2746884E+06 0.8501940E+12 0.7783697E+12 0.6783944E+12
   0.085 0.2771472E+06 0.8531512E+12 0.7795206E+12 0.6806947E+12
