  %STRAIN  PHFRAC   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   TWFR4   TWFR5
   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.001   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.002   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.003   0.000   1.003   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.004   0.000   1.004   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.005   0.000   1.004   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.006   0.000   1.005   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.007   0.000   1.253   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.008   0.000   1.135   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.009   0.000   1.133   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.010   0.000   1.131   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.011   0.001   1.131   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.012   0.001   1.132   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.013   0.001   1.134   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.014   0.001   1.135   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.015   0.001   1.139   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.016   0.001   1.141   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.017   0.002   1.147   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.018   0.002   1.150   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.019   0.002   1.201   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.020   0.002   1.204   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.021   0.002   1.176   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.022   0.003   1.133   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.023   0.003   1.132   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.024   0.003   1.139   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.025   0.003   1.141   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.026   0.003   1.211   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.027   0.003   1.214   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.028   0.004   1.296   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.029   0.004   1.305   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.030   0.004   1.316   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.031   0.005   1.327   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.032   0.005   1.337   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.033   0.006   1.342   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.034   0.006   1.354   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.035   0.006   1.359   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.036   0.007   1.366   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.037   0.007   1.362   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.038   0.007   1.367   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.039   0.008   1.379   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.040   0.008   1.388   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.041   0.008   1.388   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.042   0.009   1.397   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.043   0.009   1.407   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.044   0.009   1.494   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.045   0.010   1.504   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.046   0.010   1.515   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.047   0.010   1.529   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.048   0.011   1.544   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.049   0.011   1.556   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.050   0.012   1.568   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.051   0.012   1.583   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.052   0.012   1.593   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.053   0.013   1.611   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.054   0.013   1.646   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.055   0.014   1.635   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.056   0.014   1.677   0.000   0.000   0.000   0.000   0.000   0.000   0.000
