  STRAIN   SUBSTRUCTURE     MODE1     MODE2     MODE3
   0.000 0.1000000E+00 0.5550000E+11 0.5550000E+11 0.5550000E+11
   0.001 0.5235522E+00 0.5789891E+11 0.5844353E+11 0.5835747E+11
   0.002 0.1798020E+01 0.6070580E+11 0.6182469E+11 0.6167407E+11
   0.003 0.4769878E+01 0.6383884E+11 0.6555946E+11 0.6537291E+11
   0.004 0.1071849E+02 0.6728616E+11 0.6964564E+11 0.6944804E+11
   0.005 0.2147051E+02 0.7104593E+11 0.7407337E+11 0.7389075E+11
   0.006 0.3953492E+02 0.7508066E+11 0.7884079E+11 0.7869544E+11
   0.007 0.6824774E+02 0.7942121E+11 0.8393736E+11 0.8384945E+11
   0.008 0.1119009E+03 0.8404529E+11 0.8934227E+11 0.8932734E+11
   0.009 0.1759045E+03 0.8894003E+11 0.9506089E+11 0.9508964E+11
   0.010 0.2668806E+03 0.9403987E+11 0.1010062E+12 0.1012326E+12
   0.011 0.3930690E+03 0.9941341E+11 0.1072704E+12 0.1076854E+12
   0.012 0.5637533E+03 0.1049937E+12 0.1138039E+12 0.1142388E+12
   0.013 0.7909380E+03 0.1108397E+12 0.1206087E+12 0.1212192E+12
   0.014 0.1087668E+04 0.1168873E+12 0.1277532E+12 0.1283171E+12
   0.015 0.1469265E+04 0.1231604E+12 0.1350815E+12 0.1358364E+12
   0.016 0.1953494E+04 0.1296350E+12 0.1427309E+12 0.1436161E+12
   0.017 0.2560065E+04 0.1363078E+12 0.1506376E+12 0.1516522E+12
   0.018 0.3311135E+04 0.1430855E+12 0.1587856E+12 0.1598905E+12
   0.019 0.4230094E+04 0.1497635E+12 0.1672348E+12 0.1681256E+12
   0.020 0.5348342E+04 0.1569084E+12 0.1758732E+12 0.1768228E+12
   0.021 0.6694520E+04 0.1639930E+12 0.1846995E+12 0.1857730E+12
   0.022 0.8302872E+04 0.1714527E+12 0.1937164E+12 0.1947089E+12
   0.023 0.1020870E+05 0.1786700E+12 0.2029591E+12 0.2040652E+12
   0.024 0.1245517E+05 0.1863360E+12 0.2124604E+12 0.2135793E+12
   0.025 0.1508449E+05 0.1941996E+12 0.2219115E+12 0.2228998E+12
   0.026 0.1814300E+05 0.2020555E+12 0.2318022E+12 0.2326329E+12
   0.027 0.2168421E+05 0.2099820E+12 0.2414487E+12 0.2424332E+12
   0.028 0.2575810E+05 0.2181039E+12 0.2516556E+12 0.2524934E+12
   0.029 0.3042888E+05 0.2262829E+12 0.2619146E+12 0.2624287E+12
   0.030 0.3575452E+05 0.2347245E+12 0.2716472E+12 0.2723742E+12
   0.031 0.4180109E+05 0.2427208E+12 0.2821979E+12 0.2827347E+12
   0.032 0.4864854E+05 0.2511833E+12 0.2928664E+12 0.2932111E+12
   0.033 0.5636216E+05 0.2596044E+12 0.3037876E+12 0.3039242E+12
   0.034 0.6502556E+05 0.2681765E+12 0.3148145E+12 0.3147522E+12
   0.035 0.7471903E+05 0.2768272E+12 0.3260073E+12 0.3256854E+12
   0.036 0.8553514E+05 0.2853366E+12 0.3371652E+12 0.3367735E+12
   0.037 0.9755688E+05 0.2938421E+12 0.3486040E+12 0.3479505E+12
   0.038 0.1108886E+06 0.3026260E+12 0.3601662E+12 0.3591915E+12
   0.039 0.1256285E+06 0.3114572E+12 0.3718450E+12 0.3705211E+12
   0.040 0.1418822E+06 0.3203323E+12 0.3836361E+12 0.3819345E+12
   0.041 0.1597600E+06 0.3292478E+12 0.3955353E+12 0.3934268E+12
   0.042 0.1793765E+06 0.3382002E+12 0.4075383E+12 0.4049927E+12
   0.043 0.2008585E+06 0.3471909E+12 0.4196468E+12 0.4166329E+12
   0.044 0.2243246E+06 0.3562144E+12 0.4318536E+12 0.4283409E+12
   0.045 0.2498324E+06 0.3653467E+12 0.4442475E+12 0.4391572E+12
   0.046 0.2776456E+06 0.3744236E+12 0.4566369E+12 0.4509139E+12
   0.047 0.3078414E+06 0.3835164E+12 0.4691051E+12 0.4627157E+12
   0.048 0.3405816E+06 0.3924697E+12 0.4807027E+12 0.4747073E+12
   0.049 0.3760129E+06 0.4016368E+12 0.4929338E+12 0.4863497E+12
   0.050 0.4142577E+06 0.4107509E+12 0.5055296E+12 0.4982575E+12
   0.051 0.4555035E+06 0.4198704E+12 0.5181900E+12 0.5101982E+12
   0.052 0.4999045E+06 0.4289910E+12 0.5309098E+12 0.5221678E+12
   0.053 0.5476298E+06 0.4381095E+12 0.5436855E+12 0.5341632E+12
   0.054 0.5988535E+06 0.4472231E+12 0.5565139E+12 0.5461813E+12
   0.055 0.6537549E+06 0.4563289E+12 0.5693914E+12 0.5582192E+12
   0.056 0.7125180E+06 0.4654250E+12 0.5823133E+12 0.5702740E+12
   0.057 0.7753322E+06 0.4745089E+12 0.5952759E+12 0.5823420E+12
   0.058 0.8423916E+06 0.4835787E+12 0.6082763E+12 0.5944181E+12
   0.059 0.9138960E+06 0.4926314E+12 0.6213117E+12 0.6064997E+12
   0.060 0.9900503E+06 0.5016649E+12 0.6343790E+12 0.6185839E+12
   0.061 0.1071029E+07 0.5106696E+12 0.6474653E+12 0.6306579E+12
   0.062 0.1157117E+07 0.5196554E+12 0.6605824E+12 0.6427343E+12
   0.063 0.1248462E+07 0.5286099E+12 0.6737123E+12 0.6547943E+12
   0.064 0.1345368E+07 0.5375427E+12 0.6868663E+12 0.6668535E+12
   0.065 0.1447984E+07 0.5464417E+12 0.7000262E+12 0.6788926E+12
   0.066 0.1556585E+07 0.5553096E+12 0.7131926E+12 0.6909136E+12
   0.067 0.1671416E+07 0.5641462E+12 0.7263627E+12 0.7029158E+12
   0.068 0.1792728E+07 0.5729515E+12 0.7395356E+12 0.7148994E+12
   0.069 0.1920772E+07 0.5817230E+12 0.7527070E+12 0.7268615E+12
   0.070 0.2055807E+07 0.5904599E+12 0.7658750E+12 0.7388004E+12
   0.071 0.2198099E+07 0.5991604E+12 0.7790377E+12 0.7507144E+12
   0.072 0.2347916E+07 0.6078224E+12 0.7921927E+12 0.7626023E+12
   0.073 0.2505534E+07 0.6164436E+12 0.8053379E+12 0.7744636E+12
   0.074 0.2671235E+07 0.6250232E+12 0.8184724E+12 0.7862941E+12
   0.075 0.2845303E+07 0.6335606E+12 0.8315941E+12 0.7980916E+12
   0.076 0.3028032E+07 0.6420549E+12 0.8447007E+12 0.8098545E+12
   0.077 0.3219719E+07 0.6505053E+12 0.8577906E+12 0.8215798E+12
   0.078 0.3420668E+07 0.6589106E+12 0.8708618E+12 0.8332661E+12
   0.079 0.3631187E+07 0.6672700E+12 0.8839124E+12 0.8449120E+12
   0.080 0.3851592E+07 0.6755816E+12 0.8969405E+12 0.8565169E+12
   0.081 0.4082203E+07 0.6838434E+12 0.9099436E+12 0.8680804E+12
   0.082 0.4323346E+07 0.6920551E+12 0.9229181E+12 0.8796037E+12
   0.083 0.4575350E+07 0.7002158E+12 0.9358615E+12 0.8910850E+12
   0.084 0.4838551E+07 0.7083249E+12 0.9487715E+12 0.9025230E+12
   0.085 0.5113292E+07 0.7163820E+12 0.9616461E+12 0.9139172E+12
   0.086 0.5399919E+07 0.7243865E+12 0.9744831E+12 0.9252667E+12
   0.087 0.5698786E+07 0.7323379E+12 0.9872807E+12 0.9365696E+12
   0.088 0.6010251E+07 0.7402356E+12 0.1000037E+13 0.9478243E+12
   0.089 0.6334679E+07 0.7480787E+12 0.1012751E+13 0.9590297E+12
   0.090 0.6672438E+07 0.7558669E+12 0.1025421E+13 0.9701830E+12
   0.091 0.7023904E+07 0.7635996E+12 0.1038047E+13 0.9812829E+12
   0.092 0.7389455E+07 0.7712766E+12 0.1050624E+13 0.9923286E+12
   0.093 0.7769476E+07 0.7788976E+12 0.1063153E+13 0.1003318E+13
   0.094 0.8164357E+07 0.7864625E+12 0.1075632E+13 0.1014249E+13
   0.095 0.8574494E+07 0.7939712E+12 0.1088060E+13 0.1025121E+13
   0.096 0.9000288E+07 0.8014235E+12 0.1100434E+13 0.1035932E+13
   0.097 0.9442154E+07 0.8088191E+12 0.1112752E+13 0.1046682E+13
   0.098 0.9900506E+07 0.8161581E+12 0.1125012E+13 0.1057369E+13
   0.099 0.1037576E+08 0.8234409E+12 0.1137212E+13 0.1067991E+13
   0.100 0.1086835E+08 0.8306672E+12 0.1149351E+13 0.1078549E+13
   0.101 0.1137870E+08 0.8378371E+12 0.1161427E+13 0.1089040E+13
   0.102 0.1190723E+08 0.8449502E+12 0.1173441E+13 0.1099465E+13
   0.103 0.1245439E+08 0.8520068E+12 0.1185389E+13 0.1109821E+13
   0.104 0.1302062E+08 0.8590068E+12 0.1197273E+13 0.1120109E+13
   0.105 0.1360637E+08 0.8659500E+12 0.1209090E+13 0.1130326E+13
   0.106 0.1421210E+08 0.8728364E+12 0.1220841E+13 0.1140472E+13
   0.107 0.1483824E+08 0.8796657E+12 0.1232525E+13 0.1150547E+13
   0.108 0.1548528E+08 0.8864378E+12 0.1244141E+13 0.1160548E+13
   0.109 0.1615367E+08 0.8931528E+12 0.1255689E+13 0.1170474E+13
   0.110 0.1684390E+08 0.8998107E+12 0.1267168E+13 0.1180325E+13
   0.111 0.1755643E+08 0.9064115E+12 0.1278578E+13 0.1190099E+13
   0.112 0.1829175E+08 0.9129554E+12 0.1289917E+13 0.1199795E+13
   0.113 0.1905035E+08 0.9194427E+12 0.1301185E+13 0.1209410E+13
   0.114 0.1983271E+08 0.9258734E+12 0.1312382E+13 0.1218944E+13
   0.115 0.2063934E+08 0.9322475E+12 0.1323507E+13 0.1228397E+13
   0.116 0.2147071E+08 0.9385651E+12 0.1334561E+13 0.1237768E+13
   0.117 0.2232734E+08 0.9448262E+12 0.1345542E+13 0.1247056E+13
   0.118 0.2320972E+08 0.9510307E+12 0.1356452E+13 0.1256260E+13
   0.119 0.2411837E+08 0.9571783E+12 0.1367289E+13 0.1265378E+13
   0.120 0.2505381E+08 0.9632688E+12 0.1378055E+13 0.1274408E+13
   0.121 0.2601655E+08 0.9693026E+12 0.1388748E+13 0.1283349E+13
   0.122 0.2700712E+08 0.9752799E+12 0.1399368E+13 0.1292200E+13
   0.123 0.2802604E+08 0.9812000E+12 0.1409915E+13 0.1300962E+13
   0.124 0.2907385E+08 0.9870623E+12 0.1420389E+13 0.1309633E+13
   0.125 0.3015109E+08 0.9928673E+12 0.1430790E+13 0.1318214E+13
   0.126 0.3125829E+08 0.9986154E+12 0.1441119E+13 0.1326704E+13
   0.127 0.3239602E+08 0.1004307E+13 0.1451374E+13 0.1335102E+13
   0.128 0.3356481E+08 0.1009943E+13 0.1461556E+13 0.1343408E+13
   0.129 0.3476524E+08 0.1015523E+13 0.1471665E+13 0.1351620E+13
   0.130 0.3599787E+08 0.1021048E+13 0.1481701E+13 0.1359740E+13
   0.131 0.3726326E+08 0.1026518E+13 0.1491663E+13 0.1367767E+13
   0.132 0.3856200E+08 0.1031934E+13 0.1501552E+13 0.1375702E+13
   0.133 0.3989467E+08 0.1037297E+13 0.1511367E+13 0.1383545E+13
   0.134 0.4126185E+08 0.1042606E+13 0.1521108E+13 0.1391295E+13
   0.135 0.4266414E+08 0.1047863E+13 0.1530775E+13 0.1398954E+13
   0.136 0.4410214E+08 0.1053068E+13 0.1540369E+13 0.1406521E+13
   0.137 0.4557645E+08 0.1058222E+13 0.1549888E+13 0.1413996E+13
   0.138 0.4708767E+08 0.1063324E+13 0.1559334E+13 0.1421381E+13
   0.139 0.4863643E+08 0.1068376E+13 0.1568707E+13 0.1428676E+13
   0.140 0.5022334E+08 0.1073379E+13 0.1578005E+13 0.1435881E+13
   0.141 0.5184903E+08 0.1078332E+13 0.1587231E+13 0.1442998E+13
   0.142 0.5351413E+08 0.1083236E+13 0.1596383E+13 0.1450026E+13
   0.143 0.5521927E+08 0.1088093E+13 0.1605462E+13 0.1456966E+13
   0.144 0.5696510E+08 0.1092902E+13 0.1614468E+13 0.1463819E+13
   0.145 0.5875226E+08 0.1097664E+13 0.1623401E+13 0.1470585E+13
   0.146 0.6058142E+08 0.1102379E+13 0.1632263E+13 0.1477266E+13
   0.147 0.6245323E+08 0.1107049E+13 0.1641052E+13 0.1483861E+13
   0.148 0.6436835E+08 0.1111673E+13 0.1649770E+13 0.1490371E+13
   0.149 0.6632746E+08 0.1116251E+13 0.1658417E+13 0.1496795E+13
   0.150 0.6833123E+08 0.1120784E+13 0.1666994E+13 0.1503133E+13
   0.151 0.7038034E+08 0.1125272E+13 0.1675501E+13 0.1509386E+13
   0.152 0.7247547E+08 0.1129718E+13 0.1683938E+13 0.1515555E+13
   0.153 0.7461732E+08 0.1134120E+13 0.1692305E+13 0.1521640E+13
   0.154 0.7680658E+08 0.1138480E+13 0.1700603E+13 0.1527642E+13
   0.155 0.7904394E+08 0.1142798E+13 0.1708833E+13 0.1533561E+13
   0.156 0.8133012E+08 0.1147075E+13 0.1716994E+13 0.1539399E+13
   0.157 0.8366582E+08 0.1151311E+13 0.1725086E+13 0.1545157E+13
   0.158 0.8605176E+08 0.1155508E+13 0.1733111E+13 0.1550834E+13
   0.159 0.8848864E+08 0.1159666E+13 0.1741068E+13 0.1556431E+13
   0.160 0.9097720E+08 0.1163785E+13 0.1748958E+13 0.1561950E+13
   0.161 0.9351815E+08 0.1167866E+13 0.1756782E+13 0.1567391E+13
   0.162 0.9611222E+08 0.1171911E+13 0.1764538E+13 0.1572755E+13
   0.163 0.9876015E+08 0.1175918E+13 0.1772229E+13 0.1578043E+13
   0.164 0.1014627E+09 0.1179890E+13 0.1779854E+13 0.1583256E+13
   0.165 0.1042205E+09 0.1183827E+13 0.1787414E+13 0.1588393E+13
   0.166 0.1070345E+09 0.1187728E+13 0.1794909E+13 0.1593457E+13
   0.167 0.1099052E+09 0.1191596E+13 0.1802340E+13 0.1598448E+13
   0.168 0.1128335E+09 0.1195430E+13 0.1809706E+13 0.1603366E+13
   0.169 0.1158202E+09 0.1199232E+13 0.1817009E+13 0.1608213E+13
   0.170 0.1188659E+09 0.1203001E+13 0.1824248E+13 0.1612990E+13
   0.171 0.1219715E+09 0.1206738E+13 0.1831425E+13 0.1617696E+13
   0.172 0.1251377E+09 0.1210444E+13 0.1838539E+13 0.1622334E+13
   0.173 0.1283652E+09 0.1214120E+13 0.1845592E+13 0.1626902E+13
   0.174 0.1316548E+09 0.1217765E+13 0.1852583E+13 0.1631402E+13
   0.175 0.1350074E+09 0.1221382E+13 0.1859513E+13 0.1635835E+13
   0.176 0.1384236E+09 0.1224969E+13 0.1866383E+13 0.1640201E+13
   0.177 0.1419043E+09 0.1228528E+13 0.1873193E+13 0.1644502E+13
   0.178 0.1454502E+09 0.1232059E+13 0.1879943E+13 0.1648737E+13
   0.179 0.1490621E+09 0.1235563E+13 0.1886633E+13 0.1652909E+13
   0.180 0.1527408E+09 0.1239040E+13 0.1893266E+13 0.1657016E+13
