  %STRAIN  PHFRAC   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   TWFR4   TWFR5
   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.001   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.002   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.003   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.004   0.000   2.008   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.005   0.000   2.015   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.006   0.000   2.007   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.007   0.000   2.010   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.008   0.000   2.080   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.009   0.001   2.028   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.010   0.001   2.044   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.011   0.002   2.065   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.012   0.003   2.035   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.013   0.003   2.020   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.014   0.004   1.583   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.015   0.004   1.616   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.016   0.004   1.613   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.017   0.005   1.615   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.018   0.005   1.618   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.019   0.006   1.619   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.020   0.007   1.648   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.021   0.007   1.651   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.022   0.008   1.676   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.023   0.009   1.681   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.024   0.009   1.686   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.025   0.010   1.690   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.026   0.011   1.694   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.027   0.012   1.723   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.028   0.012   1.727   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.029   0.013   1.732   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.030   0.014   1.732   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.031   0.015   1.738   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.032   0.016   1.741   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.033   0.017   1.757   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.034   0.017   1.760   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.035   0.018   1.763   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.036   0.019   1.767   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.037   0.020   1.767   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.038   0.020   1.769   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.039   0.021   2.223   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.040   0.022   2.233   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.041   0.023   2.332   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.042   0.023   2.335   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.043   0.024   2.404   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.044   0.025   2.410   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.045   0.026   2.437   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.046   0.026   2.366   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.047   0.027   2.602   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.048   0.028   2.494   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.049   0.029   2.090   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.050   0.030   2.006   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.051   0.031   1.913   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.052   0.032   1.822   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.053   0.032   1.760   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.054   0.033   1.700   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.055   0.034   1.649   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.056   0.035   1.575   0.000   0.000   0.000   0.000   0.000   0.000   0.000
