  STRAIN   SUBSTRUCTURE     MODE1     MODE2     MODE3
   0.077 0.3444446E+06 0.8271705E+12 0.9636755E+12 0.7329291E+12
   0.078 0.3475126E+06 0.8308941E+12 0.9656234E+12 0.7344815E+12
   0.079 0.3504910E+06 0.8345207E+12 0.9675104E+12 0.7359898E+12
   0.080 0.3533727E+06 0.8380315E+12 0.9693340E+12 0.7374788E+12
   0.081 0.3561580E+06 0.8414231E+12 0.9710989E+12 0.7389518E+12
   0.082 0.3588421E+06 0.8446822E+12 0.9728129E+12 0.7404130E+12
   0.083 0.3614278E+06 0.8478149E+12 0.9744760E+12 0.7418607E+12
   0.084 0.3639164E+06 0.8508260E+12 0.9760841E+12 0.7432960E+12
   0.085 0.3663352E+06 0.8537518E+12 0.9776410E+12 0.7447322E+12
   0.086 0.3686545E+06 0.8565514E+12 0.9791382E+12 0.7461516E+12
   0.087 0.3708711E+06 0.8592237E+12 0.9805708E+12 0.7475538E+12
   0.088 0.3730038E+06 0.8617975E+12 0.9819438E+12 0.7489475E+12
   0.089 0.3750493E+06 0.8642631E+12 0.9832638E+12 0.7503208E+12
   0.090 0.3770137E+06 0.8666346E+12 0.9845262E+12 0.7516821E+12
   0.091 0.3788964E+06 0.8689072E+12 0.9857383E+12 0.7530210E+12
   0.092 0.7115464E+06 0.9178842E+12 0.1253003E+13 0.7345261E+12
   0.093 0.7171905E+06 0.9204983E+12 0.1257262E+13 0.7355576E+12
   0.094 0.7226271E+06 0.9230098E+12 0.1261364E+13 0.7365745E+12
   0.095 0.7278410E+06 0.9254145E+12 0.1265297E+13 0.7375780E+12
   0.096 0.7328655E+06 0.9277347E+12 0.1269080E+13 0.7385748E+12
   0.097 0.8363509E+06 0.9244062E+12 0.1337903E+13 0.7494245E+12
   0.098 0.8419834E+06 0.9264720E+12 0.1342045E+13 0.7504918E+12
   0.099 0.8474366E+06 0.9284633E+12 0.1346044E+13 0.7515587E+12
   0.100 0.8526946E+06 0.9303763E+12 0.1349893E+13 0.7526152E+12
   0.101 0.8577469E+06 0.9322095E+12 0.1353584E+13 0.7536630E+12
   0.102 0.8626066E+06 0.9339693E+12 0.1357126E+13 0.7547027E+12
   0.103 0.8672829E+06 0.9356610E+12 0.1360523E+13 0.7557347E+12
   0.104 0.8718094E+06 0.9372976E+12 0.1363797E+13 0.7567655E+12
