  STRAIN   SUBSTRUCTURE     MODE1     MODE2     MODE3
   0.000 0.1000000E+00 0.5550000E+11 0.5550000E+11 0.5550000E+11
   0.001 0.4222974E+00 0.6128477E+11 0.6196956E+11 0.6135865E+11
   0.002 0.1262699E+01 0.6779563E+11 0.6927096E+11 0.6797171E+11
   0.003 0.3046898E+01 0.7497328E+11 0.7734760E+11 0.7528222E+11
   0.004 0.6391378E+01 0.8280553E+11 0.8618963E+11 0.8328213E+11
   0.005 0.1215297E+02 0.9129625E+11 0.9578560E+11 0.9196079E+11
   0.006 0.2148037E+02 0.1004291E+12 0.1061287E+12 0.1013150E+12
   0.007 0.3587305E+02 0.1102081E+12 0.1172055E+12 0.1113294E+12
   0.008 0.5724848E+02 0.1206177E+12 0.1290091E+12 0.1220100E+12
   0.009 0.8798903E+02 0.1316705E+12 0.1415339E+12 0.1333180E+12
   0.010 0.1310342E+03 0.1432905E+12 0.1547903E+12 0.1452999E+12
   0.011 0.1899354E+03 0.1555724E+12 0.1687262E+12 0.1578899E+12
   0.012 0.2689209E+03 0.1684516E+12 0.1833905E+12 0.1710711E+12
   0.013 0.3730489E+03 0.1818776E+12 0.1987770E+12 0.1849073E+12
   0.014 0.5080986E+03 0.1960020E+12 0.2147813E+12 0.1992915E+12
   0.015 0.6809143E+03 0.2107483E+12 0.2313937E+12 0.2143260E+12
   0.016 0.8992765E+03 0.2260724E+12 0.2487214E+12 0.2299138E+12
   0.017 0.1171950E+04 0.2419386E+12 0.2666661E+12 0.2461299E+12
   0.018 0.1508776E+04 0.2582874E+12 0.2852649E+12 0.2629615E+12
   0.019 0.1921514E+04 0.2752473E+12 0.3044446E+12 0.2804011E+12
   0.020 0.2421564E+04 0.2926999E+12 0.3242692E+12 0.2983663E+12
   0.021 0.3025737E+04 0.3107963E+12 0.3448136E+12 0.3168956E+12
   0.022 0.3746093E+04 0.3292323E+12 0.3660462E+12 0.3359613E+12
   0.023 0.4601928E+04 0.3483862E+12 0.3875411E+12 0.3557731E+12
   0.024 0.5610539E+04 0.3680187E+12 0.4101156E+12 0.3756244E+12
   0.025 0.6795378E+04 0.3877882E+12 0.4333105E+12 0.3964869E+12
   0.026 0.8179041E+04 0.4087957E+12 0.4570552E+12 0.4172547E+12
   0.027 0.9778275E+04 0.4300454E+12 0.4806863E+12 0.4393227E+12
   0.028 0.1163202E+05 0.4519551E+12 0.5053162E+12 0.4615117E+12
   0.029 0.1376132E+05 0.4743429E+12 0.5303348E+12 0.4843965E+12
   0.030 0.1619792E+05 0.4971824E+12 0.5560868E+12 0.5076257E+12
   0.031 0.1896883E+05 0.5202477E+12 0.5822999E+12 0.5315920E+12
   0.032 0.2211799E+05 0.5439304E+12 0.6092931E+12 0.5557284E+12
   0.033 0.2567033E+05 0.5684697E+12 0.6362687E+12 0.5803341E+12
   0.034 0.2968905E+05 0.5931681E+12 0.6639533E+12 0.6057814E+12
   0.035 0.3420112E+05 0.6184290E+12 0.6918968E+12 0.6317830E+12
