  %STRAIN  PHFRAC   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   TWFR4   TWFR5
   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.001   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.002   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.003   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.004   0.000   1.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.005   0.000   1.464   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.006   0.000   1.470   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.007   0.000   1.473   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.008   0.001   1.613   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.009   0.001   1.488   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.010   0.002   1.445   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.011   0.002   1.441   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.012   0.003   1.355   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.013   0.004   1.363   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.014   0.004   1.372   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.015   0.005   1.349   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.016   0.006   1.414   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.017   0.006   1.417   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.018   0.008   1.409   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.019   0.009   1.422   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.020   0.011   1.397   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.021   0.012   1.465   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.022   0.013   1.474   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.023   0.015   1.479   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.024   0.017   1.488   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.025   0.018   1.491   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.026   0.020   1.542   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.027   0.022   1.541   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.028   0.023   1.530   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.029   0.024   1.568   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.030   0.025   1.571   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.031   0.026   1.572   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.032   0.028   1.573   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.033   0.029   1.591   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.034   0.031   1.592   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.035   0.033   1.594   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.036   0.034   1.696   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.037   0.036   1.696   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.038   0.037   1.704   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.039   0.039   1.703   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.040   0.041   1.702   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.041   0.042   1.701   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.042   0.044   1.700   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.043   0.046   1.700   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.044   0.047   1.698   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.045   0.049   1.720   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.046   0.051   1.719   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.047   0.052   1.750   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.048   0.054   1.743   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.049   0.056   1.787   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.050   0.057   1.786   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.051   0.059   1.787   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.052   0.060   1.786   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.053   0.062   1.763   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.054   0.063   1.784   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.055   0.065   1.783   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.056   0.067   1.786   0.000   0.000   0.000   0.000   0.000   0.000   0.000
