  STRAIN   SUBSTRUCTURE     MODE1     MODE2     MODE3
   0.000 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
   0.001 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
   0.002 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
   0.003 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
   0.004 0.2681526E+01 0.1127233E+12 0.5570783E+11 0.5550000E+11
   0.005 0.3640301E+01 0.8425732E+11 0.7326147E+11 0.7674993E+11
   0.006 0.4641186E+01 0.9436135E+11 0.7108081E+11 0.7414094E+11
   0.007 0.1048359E+02 0.8957611E+11 0.8489956E+11 0.9142794E+11
   0.008 0.1584246E+02 0.9937543E+11 0.9667116E+11 0.9314783E+11
   0.009 0.2160316E+02 0.9314707E+11 0.9769996E+11 0.1113975E+12
   0.010 0.3305196E+02 0.1255968E+12 0.9145910E+11 0.1063187E+12
   0.011 0.3702171E+02 0.1222249E+12 0.9460027E+11 0.1147826E+12
   0.012 0.6225047E+02 0.1293504E+12 0.9416734E+11 0.1372535E+12
   0.013 0.8807944E+02 0.1514786E+12 0.9013546E+11 0.1435763E+12
   0.014 0.1195130E+03 0.1445544E+12 0.1017185E+12 0.1613899E+12
   0.015 0.1551023E+03 0.1374868E+12 0.1214866E+12 0.1668228E+12
   0.016 0.1750820E+03 0.1335757E+12 0.1244149E+12 0.1771960E+12
   0.017 0.1956209E+03 0.1363536E+12 0.1305353E+12 0.1788546E+12
   0.018 0.3432691E+03 0.1616223E+12 0.1487930E+12 0.1837515E+12
   0.019 0.3620194E+03 0.1684472E+12 0.1570517E+12 0.1791881E+12
   0.020 0.6484979E+03 0.1928803E+12 0.1798002E+12 0.1930608E+12
   0.021 0.6500168E+03 0.1968946E+12 0.1769938E+12 0.1960825E+12
   0.022 0.8463067E+03 0.2186278E+12 0.1747380E+12 0.2039571E+12
   0.023 0.1071919E+04 0.2276021E+12 0.1994420E+12 0.2019057E+12
   0.024 0.1376671E+04 0.2399259E+12 0.1938223E+12 0.2311283E+12
   0.025 0.1587951E+04 0.2702283E+12 0.1882647E+12 0.2304116E+12
   0.026 0.1782646E+04 0.2627008E+12 0.1880971E+12 0.2610352E+12
   0.027 0.2251045E+04 0.2697775E+12 0.2187627E+12 0.2534673E+12
   0.028 0.2312721E+04 0.2673473E+12 0.2220590E+12 0.2605966E+12
   0.029 0.2398385E+04 0.2659833E+12 0.2306089E+12 0.2591577E+12
   0.030 0.2455071E+04 0.2661319E+12 0.2302851E+12 0.2633838E+12
   0.031 0.2819300E+04 0.2778353E+12 0.2356541E+12 0.2608879E+12
   0.032 0.3144418E+04 0.2849290E+12 0.2337810E+12 0.2711758E+12
   0.033 0.4006811E+04 0.2830699E+12 0.2547282E+12 0.2846959E+12
   0.034 0.4216630E+04 0.2884019E+12 0.2630340E+12 0.2826350E+12
   0.035 0.4812890E+04 0.2941652E+12 0.2821402E+12 0.2826177E+12
   0.036 0.5538696E+04 0.3137940E+12 0.2837193E+12 0.2801790E+12
   0.037 0.6018323E+04 0.3125472E+12 0.2890795E+12 0.2909309E+12
   0.038 0.6555048E+04 0.3108119E+12 0.2911807E+12 0.3118176E+12
   0.039 0.7382175E+04 0.3101605E+12 0.3076579E+12 0.3191886E+12
   0.040 0.8119439E+04 0.3084449E+12 0.3066932E+12 0.3365187E+12
   0.041 0.9578656E+04 0.3374095E+12 0.3046925E+12 0.3335201E+12
   0.042 0.1077315E+05 0.3378743E+12 0.3249859E+12 0.3315875E+12
   0.043 0.1081385E+05 0.3381004E+12 0.3260211E+12 0.3318743E+12
   0.044 0.1201496E+05 0.3388387E+12 0.3479855E+12 0.3296565E+12
   0.045 0.1227252E+05 0.3377799E+12 0.3547642E+12 0.3335418E+12
   0.046 0.1362736E+05 0.3491115E+12 0.3555970E+12 0.3533899E+12
   0.047 0.1372211E+05 0.3501878E+12 0.3570973E+12 0.3536517E+12
   0.048 0.1396546E+05 0.3506914E+12 0.3582345E+12 0.3561343E+12
   0.049 0.1459559E+05 0.3501803E+12 0.3585397E+12 0.3647046E+12
   0.050 0.1481170E+05 0.3533085E+12 0.3592922E+12 0.3655954E+12
   0.051 0.1487839E+05 0.3535849E+12 0.3604272E+12 0.3660870E+12
   0.052 0.1494429E+05 0.3538582E+12 0.3615487E+12 0.3665711E+12
   0.053 0.1581710E+05 0.3611868E+12 0.3717981E+12 0.3657342E+12
   0.054 0.1602704E+05 0.3633834E+12 0.3726869E+12 0.3666662E+12
   0.055 0.1609701E+05 0.3637176E+12 0.3737969E+12 0.3671347E+12
   0.056 0.1653764E+05 0.3636874E+12 0.3786027E+12 0.3678674E+12
   0.057 0.1711051E+05 0.3636618E+12 0.3839664E+12 0.3679647E+12
   0.058 0.1718551E+05 0.3639790E+12 0.3851038E+12 0.3684155E+12
   0.059 0.1784556E+05 0.3638617E+12 0.3912327E+12 0.3684783E+12
   0.060 0.1941812E+05 0.3637405E+12 0.4044662E+12 0.3678876E+12
   0.061 0.2072457E+05 0.3629554E+12 0.4101425E+12 0.3778289E+12
   0.062 0.2083102E+05 0.3632440E+12 0.4114648E+12 0.3783171E+12
   0.063 0.2141074E+05 0.3671700E+12 0.4123222E+12 0.3802268E+12
   0.064 0.2446980E+05 0.3667867E+12 0.4128136E+12 0.3928185E+12
   0.065 0.3015067E+05 0.3888151E+12 0.4127054E+12 0.3920459E+12
   0.066 0.3606982E+05 0.3964839E+12 0.4158590E+12 0.4196135E+12
   0.067 0.3737315E+05 0.3967764E+12 0.4167550E+12 0.4250487E+12
   0.068 0.3762533E+05 0.3973621E+12 0.4179426E+12 0.4259443E+12
   0.069 0.4437375E+05 0.3958342E+12 0.4357711E+12 0.4397657E+12
   0.070 0.4569718E+05 0.3997023E+12 0.4363902E+12 0.4463110E+12
   0.071 0.4604092E+05 0.4003041E+12 0.4376795E+12 0.4474631E+12
   0.072 0.4638153E+05 0.4009019E+12 0.4389485E+12 0.4486032E+12
   0.073 0.4680229E+05 0.4017894E+12 0.4407483E+12 0.4496754E+12
   0.074 0.4714091E+05 0.4023895E+12 0.4419960E+12 0.4508021E+12
   0.075 0.4747592E+05 0.4029843E+12 0.4432226E+12 0.4519165E+12
   0.076 0.5054358E+05 0.4027545E+12 0.4531566E+12 0.4571961E+12
   0.077 0.5092082E+05 0.4033313E+12 0.4544831E+12 0.4583770E+12
   0.078 0.5249524E+05 0.4049271E+12 0.4595707E+12 0.4592904E+12
   0.079 0.5289965E+05 0.4055087E+12 0.4609595E+12 0.4604636E+12
   0.080 0.5523479E+05 0.4057413E+12 0.4681310E+12 0.4612581E+12
   0.081 0.5564834E+05 0.4063083E+12 0.4695306E+12 0.4623990E+12
   0.082 0.6239131E+05 0.4063198E+12 0.4812475E+12 0.4831221E+12
   0.083 0.6320130E+05 0.4092059E+12 0.4822993E+12 0.4857980E+12
   0.084 0.6365048E+05 0.4097959E+12 0.4836888E+12 0.4870864E+12
   0.085 0.6412261E+05 0.4103656E+12 0.4852197E+12 0.4883867E+12
