TEXTURE AT STRAIN


B 100
1.03350e+02	3.91700e+01	7.29100e+01	3.40000e-03
1.53900e+02	5.29500e+01	1.56800e+01	3.40000e-03
7.85300e+01	2.32100e+01	3.20800e+01	3.40000e-03
6.45000e+01	8.12900e+01	8.47700e+01	3.40000e-03
1.44440e+02	6.97700e+01	1.20100e+01	3.40000e-03
5.04000e+01	4.64500e+01	6.40000e+01	3.40000e-03
6.03200e+01	3.66100e+01	1.66200e+01	3.40000e-03
6.98000e+01	8.71900e+01	8.27300e+01	3.40000e-03
1.01570e+02	5.75500e+01	6.87100e+01	3.40000e-03
5.31600e+01	7.82300e+01	3.68800e+01	3.40000e-03
9.12000e+00	6.82800e+01	2.91000e+00	3.40000e-03
7.69200e+01	7.63400e+01	7.33700e+01	3.40000e-03
3.81400e+01	2.75200e+01	1.69000e+01	3.40000e-03
1.57800e+01	8.41400e+01	6.82400e+01	3.40000e-03
