0,0
0.00318,92.691
0.0032533,94.021
0.0029071,94.785
0.0030364,94.794
0.0029796,95.551
0.0030718,95.584
0.0031202,96.124
0.0030291,97.011
0.0031749,97.247
0.0031056,98.38
0.0032488,97.962
0.0031096,98.732
0.0031873,99.111
0.0031909,99.718
0.0032209,100.11
0.0032308,100.45
0.0033386,100.53
0.0032642,101.78
0.0031754,101.52
0.0032097,102.11
0.0033058,102.45
0.0034194,102.73
0.0032887,102.92
0.0033428,103.41
0.0034183,103.59
0.0033942,104.18
0.0034778,104.75
0.0033371,105.74
0.0033895,106.5
0.0034856,106.63
0.0034503,107.19
0.0034884,107.54
0.0036042,107.68
0.0035896,107.81
0.0035922,108.23
0.0036216,109.38
0.003636,109.59
0.0033677,110.01
0.0036839,110.07
0.0037439,110.57
0.003637,111.44
0.003594,111.95
0.0035928,113.11
0.0037429,112.58
0.0036204,113.95
0.0037801,113.56
0.0037125,115.06
0.0038053,115.08
0.0038165,115.36
0.0036426,115.6
0.0037043,116.67
0.0037366,117.11
0.0037093,117.19
0.0039376,117.45
0.0038819,118.07
0.0039777,118.31
0.0038632,119.12
0.003829,119.37
0.0038842,119.69
0.004013,120.86
0.003883,120.79
0.0039766,121.15
0.0041745,121.74
0.0040789,122.07
0.0040395,122.67
0.0041656,122.58
0.0041316,123.14
0.0039352,123.72
0.004237,124.45
0.004043,125.2
0.0041524,126.11
0.004068,126.58
0.0042592,126.72
0.0041434,127.17
0.004234,127.99
0.0041425,127.96
0.0042143,128.95
0.0043439,128.29
0.0042819,128.64
0.0043658,130.13
0.0043028,130.07
0.0042355,130.84
0.0042427,131.35
0.0043212,131.74
0.0044308,132.51
0.004295,132.39
0.0044142,132.69
0.0044975,133.66
0.004346,133.84
0.0044304,134.84
0.0045282,134.5
0.0044816,135.64
0.0045221,136.37
0.0044627,136.22
0.0045197,136.9
0.0045423,138.26
0.0044739,138.71
0.0045507,139.04
0.0046792,139.74
0.0046368,139.76
0.0045142,140.95
0.0045507,140.93
0.0047655,141.34
0.0047651,142.58
0.0045049,142.59
0.0045108,142.81
0.0047722,143.23
0.0049121,143.63
0.0045694,144.97
0.0048833,144.43
0.0048093,145.09
0.0049028,146
0.0048407,146.13
0.0048721,146.44
0.0049906,147.47
0.0048787,147.85
0.0048374,147.56
0.0050238,148.76
0.0049951,149.07
