  %STRAIN  PHFRAC   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   TWFR4   TWFR5
   0.076   0.003   2.497   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.077   0.003   2.503   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.078   0.003   2.531   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.079   0.003   2.530   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.080   0.003   2.529   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.081   0.003   2.528   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.082   0.003   2.527   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.083   0.003   2.526   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.084   0.003   2.524   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.085   0.003   2.542   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.086   0.003   2.554   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.087   0.003   2.567   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.088   0.003   2.574   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.089   0.003   2.573   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.090   0.003   2.573   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.091   0.004   2.588   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.092   0.004   2.588   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.093   0.004   2.590   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.094   0.004   2.604   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.095   0.004   2.614   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.096   0.004   2.624   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.097   0.004   2.625   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.098   0.004   2.626   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.099   0.004   2.626   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.100   0.004   2.666   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.101   0.004   2.667   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.102   0.004   2.686   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.103   0.004   2.687   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.104   0.004   2.687   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.105   0.004   2.688   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.106   0.004   2.690   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.107   0.004   2.698   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.108   0.004   2.699   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.109   0.004   2.732   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.110   0.004   2.754   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.111   0.004   2.755   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.112   0.004   2.756   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.113   0.004   2.757   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.114   0.004   2.758   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.115   0.004   2.759   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   0.116   0.004   2.760   0.000   0.000   0.000   0.000   0.001   0.000   0.001
   0.117   0.004   2.760   0.000   0.000   0.000   0.000   0.001   0.000   0.001
   0.118   0.004   2.761   0.000   0.000   0.000   0.000   0.001   0.000   0.001
   0.119   0.004   2.762   0.000   0.000   0.000   0.000   0.001   0.000   0.001
   0.120   0.004   2.763   0.000   0.000   0.000   0.000   0.001   0.000   0.001
   0.121   0.004   2.764   0.000   0.000   0.000   0.000   0.001   0.000   0.001
   0.122   0.004   2.812   0.000   0.000   0.000   0.000   0.001   0.000   0.001
   0.123   0.005   2.833   0.000   0.000   0.000   0.000   0.001   0.000   0.001
