  %STRAIN  PHFRAC   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   TWFR4   TWFR5
   0.000   1.000   3.311   0.185   0.208   0.603   0.003   0.000   0.000   0.000
   0.001   1.000   3.325   0.185   0.211   0.601   0.003   0.000   0.000   0.000
   0.002   1.000   3.332   0.184   0.213   0.600   0.003   0.000   0.000   0.000
   0.003   1.000   3.358   0.183   0.215   0.599   0.003   0.000   0.000   0.000
   0.004   1.000   3.397   0.182   0.217   0.598   0.003   0.000   0.000   0.000
   0.005   1.000   3.417   0.181   0.219   0.597   0.003   0.000   0.000   0.000
   0.006   1.000   3.433   0.181   0.221   0.596   0.003   0.000   0.000   0.000
   0.007   1.000   3.450   0.180   0.223   0.595   0.003   0.000   0.000   0.000
   0.008   1.000   3.466   0.179   0.225   0.593   0.003   0.000   0.000   0.000
   0.009   1.000   3.482   0.178   0.227   0.592   0.003   0.000   0.000   0.000
   0.010   1.000   3.516   0.177   0.229   0.591   0.003   0.000   0.000   0.000
   0.011   1.000   3.525   0.176   0.231   0.590   0.003   0.000   0.000   0.000
   0.012   1.000   3.561   0.175   0.233   0.589   0.003   0.000   0.001   0.000
   0.013   1.000   3.577   0.174   0.235   0.588   0.003   0.000   0.001   0.000
   0.014   1.000   3.612   0.173   0.237   0.587   0.003   0.000   0.001   0.000
   0.015   1.000   3.633   0.172   0.239   0.585   0.003   0.000   0.001   0.000
   0.016   0.999   3.659   0.171   0.241   0.584   0.003   0.000   0.001   0.000
   0.017   0.999   3.683   0.170   0.243   0.583   0.003   0.000   0.001   0.000
   0.018   0.999   3.689   0.169   0.246   0.582   0.003   0.000   0.001   0.000
   0.019   0.999   3.706   0.169   0.248   0.580   0.003   0.000   0.001   0.000
   0.020   0.999   3.744   0.168   0.250   0.579   0.003   0.000   0.001   0.000
   0.021   0.999   3.762   0.167   0.252   0.578   0.003   0.000   0.001   0.000
   0.022   0.999   3.789   0.166   0.254   0.577   0.003   0.000   0.001   0.000
   0.023   0.999   3.822   0.165   0.256   0.575   0.003   0.000   0.001   0.000
   0.024   0.999   3.837   0.164   0.259   0.574   0.003   0.000   0.001   0.000
   0.025   0.999   3.870   0.163   0.261   0.573   0.003   0.000   0.001   0.000
   0.026   0.999   3.897   0.162   0.263   0.572   0.003   0.000   0.001   0.000
   0.027   0.999   3.923   0.161   0.265   0.570   0.003   0.000   0.001   0.000
   0.028   0.999   3.948   0.160   0.267   0.569   0.003   0.000   0.001   0.000
   0.029   0.999   3.970   0.159   0.270   0.568   0.003   0.000   0.001   0.000
   0.030   0.999   3.982   0.158   0.272   0.566   0.003   0.000   0.001   0.000
   0.031   0.999   4.004   0.157   0.274   0.565   0.003   0.000   0.001   0.000
   0.032   0.999   4.044   0.157   0.276   0.564   0.003   0.000   0.001   0.000
   0.033   0.999   4.061   0.156   0.279   0.562   0.003   0.000   0.002   0.000
   0.034   0.999   4.073   0.155   0.281   0.561   0.003   0.000   0.002   0.000
   0.035   0.999   4.086   0.154   0.283   0.560   0.003   0.000   0.002   0.000
   0.036   0.999   4.107   0.153   0.285   0.558   0.003   0.000   0.002   0.000
   0.037   0.999   4.144   0.152   0.288   0.557   0.003   0.000   0.002   0.000
   0.038   0.999   4.180   0.151   0.290   0.556   0.003   0.000   0.002   0.000
   0.039   0.998   4.206   0.150   0.292   0.554   0.003   0.000   0.002   0.000
   0.040   0.998   4.226   0.149   0.294   0.553   0.003   0.000   0.002   0.000
   0.041   0.998   4.256   0.148   0.296   0.552   0.003   0.000   0.002   0.000
   0.042   0.998   4.282   0.148   0.298   0.551   0.003   0.000   0.002   0.000
   0.043   0.998   4.311   0.147   0.301   0.549   0.003   0.000   0.002   0.000
   0.044   0.998   4.324   0.146   0.303   0.548   0.003   0.000   0.002   0.000
   0.045   0.998   4.356   0.145   0.305   0.547   0.003   0.000   0.002   0.000
   0.046   0.998   4.374   0.144   0.307   0.545   0.003   0.000   0.002   0.000
   0.047   0.998   4.397   0.143   0.309   0.544   0.003   0.000   0.002   0.000
   0.048   0.998   4.404   0.142   0.311   0.543   0.003   0.000   0.002   0.000
   0.049   0.998   4.437   0.142   0.313   0.542   0.003   0.000   0.002   0.000
   0.050   0.998   4.463   0.141   0.315   0.541   0.003   0.000   0.002   0.000
   0.051   0.998   4.479   0.140   0.317   0.539   0.003   0.000   0.002   0.000
   0.052   0.998   4.489   0.139   0.319   0.538   0.003   0.000   0.002   0.000
   0.053   0.998   4.518   0.138   0.321   0.537   0.003   0.000   0.002   0.000
   0.054   0.998   4.519   0.137   0.323   0.536   0.003   0.000   0.002   0.000
   0.055   0.998   4.529   0.137   0.325   0.535   0.003   0.000   0.003   0.000
   0.056   0.998   4.533   0.136   0.327   0.534   0.003   0.000   0.003   0.000
   0.057   0.998   4.562   0.135   0.329   0.533   0.003   0.000   0.003   0.000
   0.058   0.998   4.575   0.134   0.331   0.532   0.003   0.000   0.003   0.000
   0.059   0.998   4.589   0.133   0.333   0.530   0.003   0.000   0.003   0.000
   0.060   0.998   4.599   0.133   0.335   0.529   0.003   0.000   0.003   0.000
   0.061   0.998   4.621   0.132   0.336   0.528   0.003   0.000   0.003   0.000
   0.062   0.998   4.627   0.131   0.338   0.527   0.003   0.000   0.003   0.000
   0.063   0.998   4.649   0.130   0.340   0.526   0.003   0.000   0.003   0.000
   0.064   0.997   4.668   0.130   0.342   0.525   0.003   0.000   0.003   0.000
   0.065   0.997   4.678   0.129   0.344   0.524   0.003   0.000   0.003   0.000
   0.066   0.997   4.692   0.128   0.345   0.523   0.003   0.000   0.003   0.000
   0.067   0.997   4.705   0.127   0.347   0.522   0.003   0.000   0.003   0.000
   0.068   0.997   4.706   0.127   0.349   0.521   0.003   0.000   0.003   0.000
   0.069   0.997   4.707   0.126   0.350   0.520   0.003   0.000   0.003   0.000
   0.070   0.997   4.724   0.125   0.352   0.519   0.003   0.000   0.003   0.000
   0.071   0.997   4.734   0.125   0.354   0.518   0.003   0.000   0.003   0.000
   0.072   0.997   4.746   0.124   0.355   0.517   0.003   0.000   0.003   0.000
   0.073   0.997   4.763   0.123   0.357   0.517   0.003   0.000   0.003   0.000
   0.074   0.997   4.777   0.123   0.359   0.516   0.003   0.000   0.003   0.000
   0.075   0.997   4.783   0.122   0.360   0.515   0.003   0.000   0.003   0.000
   0.076   0.997   4.803   0.121   0.362   0.514   0.003   0.000   0.003   0.000
   0.077   0.997   4.831   0.121   0.363   0.513   0.003   0.000   0.003   0.000
   0.078   0.997   4.847   0.120   0.365   0.512   0.003   0.000   0.003   0.000
   0.079   0.997   4.865   0.119   0.366   0.511   0.003   0.000   0.004   0.000
   0.080   0.997   4.871   0.119   0.368   0.510   0.003   0.000   0.004   0.000
   0.081   0.997   4.873   0.118   0.369   0.509   0.003   0.000   0.004   0.000
   0.082   0.997   4.908   0.117   0.371   0.509   0.003   0.000   0.004   0.000
   0.083   0.997   4.923   0.117   0.372   0.508   0.003   0.000   0.004   0.000
   0.084   0.997   4.943   0.116   0.374   0.507   0.003   0.000   0.004   0.000
   0.085   0.997   4.961   0.116   0.375   0.506   0.003   0.000   0.004   0.000
   0.086   0.997   4.976   0.115   0.376   0.505   0.003   0.000   0.004   0.000
   0.087   0.997   4.980   0.114   0.378   0.505   0.003   0.000   0.004   0.000
   0.088   0.997   4.986   0.114   0.379   0.504   0.003   0.000   0.004   0.000
   0.089   0.997   4.996   0.113   0.380   0.503   0.003   0.000   0.004   0.000
   0.090   0.997   5.018   0.113   0.382   0.502   0.003   0.000   0.004   0.000
   0.091   0.996   5.019   0.112   0.383   0.502   0.003   0.000   0.004   0.000
   0.092   0.996   5.057   0.112   0.384   0.501   0.003   0.000   0.004   0.000
   0.093   0.996   5.066   0.111   0.386   0.500   0.003   0.000   0.004   0.000
   0.094   0.996   5.084   0.110   0.387   0.499   0.002   0.000   0.004   0.000
   0.095   0.996   5.111   0.110   0.388   0.499   0.002   0.000   0.004   0.000
   0.096   0.996   5.119   0.109   0.389   0.498   0.002   0.000   0.004   0.000
   0.097   0.996   5.134   0.109   0.390   0.497   0.002   0.000   0.004   0.000
   0.098   0.996   5.137   0.108   0.392   0.497   0.002   0.000   0.004   0.000
   0.099   0.996   5.159   0.108   0.393   0.496   0.002   0.000   0.004   0.000
   0.100   0.996   5.188   0.107   0.394   0.495   0.002   0.000   0.004   0.000
   0.101   0.996   5.188   0.107   0.395   0.495   0.002   0.000   0.004   0.000
   0.102   0.996   5.199   0.106   0.396   0.494   0.002   0.000   0.004   0.000
   0.103   0.996   5.219   0.106   0.397   0.493   0.002   0.000   0.004   0.000
   0.104   0.996   5.232   0.105   0.398   0.493   0.002   0.000   0.004   0.000
   0.105   0.996   5.244   0.105   0.399   0.492   0.002   0.000   0.004   0.000
   0.106   0.996   5.248   0.105   0.400   0.492   0.002   0.000   0.004   0.000
   0.107   0.996   5.271   0.104   0.401   0.491   0.002   0.000   0.005   0.000
   0.108   0.996   5.277   0.104   0.402   0.491   0.002   0.000   0.005   0.000
   0.109   0.996   5.287   0.103   0.403   0.490   0.002   0.000   0.005   0.000
   0.110   0.996   5.291   0.103   0.404   0.489   0.002   0.000   0.005   0.000
   0.111   0.996   5.305   0.102   0.405   0.489   0.002   0.000   0.005   0.000
   0.112   0.996   5.306   0.102   0.406   0.488   0.002   0.000   0.005   0.000
   0.113   0.996   5.339   0.102   0.407   0.488   0.002   0.000   0.005   0.000
   0.114   0.996   5.357   0.101   0.408   0.487   0.002   0.000   0.005   0.000
   0.115   0.996   5.369   0.101   0.409   0.487   0.002   0.000   0.005   0.000
   0.116   0.996   5.377   0.101   0.410   0.486   0.002   0.000   0.005   0.000
   0.117   0.996   5.397   0.100   0.411   0.486   0.002   0.000   0.005   0.000
   0.118   0.996   5.420   0.100   0.412   0.485   0.002   0.000   0.005   0.000
   0.119   0.996   5.435   0.100   0.413   0.485   0.002   0.000   0.005   0.000
   0.120   0.996   5.443   0.099   0.413   0.484   0.002   0.000   0.005   0.000
   0.121   0.996   5.454   0.099   0.414   0.484   0.002   0.000   0.005   0.000
   0.122   0.996   5.465   0.099   0.415   0.483   0.002   0.000   0.005   0.000
   0.123   0.995   5.481   0.098   0.416   0.483   0.002   0.000   0.005   0.000
   0.124   0.995   5.520   0.098   0.416   0.482   0.002   0.000   0.005   0.000
