  STRAIN   SUBSTRUCTURE     MODE1     MODE2     MODE3
   0.000 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
   0.001 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
   0.002 0.5605283E+00 0.7920925E+11 0.5894907E+11 0.5550000E+11
   0.003 0.1745346E+01 0.9361554E+11 0.6136013E+11 0.6319308E+11
   0.004 0.3109905E+01 0.8393273E+11 0.7989274E+11 0.6787625E+11
   0.005 0.5081984E+01 0.8804892E+11 0.7711603E+11 0.7792243E+11
   0.006 0.1633008E+02 0.1091316E+12 0.8567449E+11 0.8750074E+11
   0.007 0.3507115E+02 0.1533292E+12 0.7701031E+11 0.9718890E+11
   0.008 0.4227437E+02 0.1482178E+12 0.9334426E+11 0.9556955E+11
   0.009 0.8301743E+02 0.1778050E+12 0.1098272E+12 0.9142213E+11
   0.010 0.1503769E+03 0.1612920E+12 0.1363969E+12 0.1262904E+12
   0.011 0.1925530E+03 0.1620769E+12 0.1501900E+12 0.1441399E+12
   0.012 0.1927006E+03 0.1621499E+12 0.1502730E+12 0.1442415E+12
   0.013 0.2260866E+03 0.1747465E+12 0.1484003E+12 0.1440284E+12
   0.014 0.2264369E+03 0.1748821E+12 0.1484710E+12 0.1441277E+12
   0.015 0.2504116E+03 0.1734866E+12 0.1519141E+12 0.1495157E+12
   0.016 0.2507232E+03 0.1736095E+12 0.1519777E+12 0.1496065E+12
   0.017 0.4669763E+03 0.2020410E+12 0.1713723E+12 0.1511156E+12
   0.018 0.6970503E+03 0.1962252E+12 0.1738271E+12 0.1835525E+12
   0.019 0.7507664E+03 0.2013139E+12 0.1773245E+12 0.1824642E+12
   0.020 0.7522845E+03 0.2014363E+12 0.1774084E+12 0.1826572E+12
   0.021 0.7537986E+03 0.2015576E+12 0.1774927E+12 0.1828459E+12
   0.022 0.7553034E+03 0.2016778E+12 0.1775768E+12 0.1830300E+12
   0.023 0.7567955E+03 0.2017967E+12 0.1776607E+12 0.1832094E+12
   0.024 0.7582699E+03 0.2019139E+12 0.1777438E+12 0.1833838E+12
   0.025 0.7597231E+03 0.2020291E+12 0.1778263E+12 0.1835528E+12
   0.026 0.7611526E+03 0.2021416E+12 0.1779083E+12 0.1837173E+12
   0.027 0.1032877E+04 0.2118129E+12 0.1790943E+12 0.1850564E+12
   0.028 0.1034985E+04 0.2119444E+12 0.1791715E+12 0.1852184E+12
   0.029 0.1037025E+04 0.2120728E+12 0.1792456E+12 0.1853750E+12
   0.030 0.1038996E+04 0.2121979E+12 0.1793190E+12 0.1855245E+12
   0.031 0.2748055E+04 0.2519423E+12 0.1764775E+12 0.1912787E+12
   0.032 0.3377256E+04 0.2509563E+12 0.1863292E+12 0.1938412E+12
   0.033 0.3381592E+04 0.2510353E+12 0.1864613E+12 0.1939785E+12
   0.034 0.3385663E+04 0.2511104E+12 0.1865927E+12 0.1941086E+12
   0.035 0.3389428E+04 0.2511811E+12 0.1867220E+12 0.1942318E+12
   0.036 0.3392865E+04 0.2512470E+12 0.1868481E+12 0.1943498E+12
   0.037 0.3395950E+04 0.2513064E+12 0.1869702E+12 0.1944659E+12
   0.038 0.3398703E+04 0.2513597E+12 0.1870869E+12 0.1945812E+12
   0.039 0.3401139E+04 0.2514076E+12 0.1871990E+12 0.1946949E+12
   0.040 0.3403278E+04 0.2514513E+12 0.1873070E+12 0.1948064E+12
   0.041 0.3405121E+04 0.2514921E+12 0.1874109E+12 0.1949126E+12
   0.042 0.3406662E+04 0.2515298E+12 0.1875116E+12 0.1950124E+12
   0.043 0.3407911E+04 0.2515649E+12 0.1876091E+12 0.1951062E+12
   0.044 0.3408879E+04 0.2515974E+12 0.1877033E+12 0.1951947E+12
   0.045 0.3409574E+04 0.2516275E+12 0.1877939E+12 0.1952786E+12
   0.046 0.3410003E+04 0.2516550E+12 0.1878811E+12 0.1953582E+12
   0.047 0.3410168E+04 0.2516797E+12 0.1879655E+12 0.1954345E+12
   0.048 0.3410072E+04 0.2517015E+12 0.1880476E+12 0.1955084E+12
   0.049 0.3409702E+04 0.2517210E+12 0.1881264E+12 0.1955795E+12
   0.050 0.3409052E+04 0.2517408E+12 0.1882043E+12 0.1956470E+12
   0.051 0.3408120E+04 0.2517607E+12 0.1882812E+12 0.1957107E+12
   0.052 0.3406907E+04 0.2517834E+12 0.1883587E+12 0.1957697E+12
   0.053 0.3405418E+04 0.2518093E+12 0.1884368E+12 0.1958235E+12
   0.054 0.3403664E+04 0.2518384E+12 0.1885146E+12 0.1958717E+12
   0.055 0.3401644E+04 0.2518704E+12 0.1885916E+12 0.1959149E+12
   0.056 0.3399345E+04 0.2519083E+12 0.1886665E+12 0.1959528E+12
   0.057 0.3396762E+04 0.2519529E+12 0.1887362E+12 0.1959861E+12
   0.058 0.3393904E+04 0.2520031E+12 0.1888008E+12 0.1960152E+12
   0.059 0.3390773E+04 0.2520562E+12 0.1888593E+12 0.1960407E+12
   0.060 0.3387332E+04 0.2521140E+12 0.1889102E+12 0.1960610E+12
   0.061 0.3383572E+04 0.2521765E+12 0.1889535E+12 0.1960757E+12
   0.062 0.3379500E+04 0.2522432E+12 0.1889895E+12 0.1960860E+12
   0.063 0.3375117E+04 0.2523130E+12 0.1890182E+12 0.1960920E+12
   0.064 0.3370422E+04 0.2523854E+12 0.1890399E+12 0.1960939E+12
   0.065 0.3365414E+04 0.2524591E+12 0.1890555E+12 0.1960928E+12
   0.066 0.3360103E+04 0.2525337E+12 0.1890651E+12 0.1960885E+12
   0.067 0.3354499E+04 0.2526088E+12 0.1890691E+12 0.1960810E+12
   0.068 0.3348610E+04 0.2526838E+12 0.1890678E+12 0.1960704E+12
   0.069 0.3342444E+04 0.2527585E+12 0.1890614E+12 0.1960568E+12
   0.070 0.3336009E+04 0.2528325E+12 0.1890502E+12 0.1960399E+12
   0.071 0.3329315E+04 0.2529055E+12 0.1890347E+12 0.1960196E+12
   0.072 0.3322371E+04 0.2529772E+12 0.1890151E+12 0.1959961E+12
   0.073 0.3315185E+04 0.2530471E+12 0.1889918E+12 0.1959694E+12
   0.074 0.3307767E+04 0.2531149E+12 0.1889651E+12 0.1959399E+12
   0.075 0.3300127E+04 0.2531802E+12 0.1889353E+12 0.1959076E+12
   0.076 0.3292271E+04 0.2532427E+12 0.1889027E+12 0.1958727E+12
   0.077 0.3284212E+04 0.2533021E+12 0.1888675E+12 0.1958354E+12
   0.078 0.3275962E+04 0.2533582E+12 0.1888300E+12 0.1957964E+12
   0.079 0.3267529E+04 0.2534107E+12 0.1887906E+12 0.1957560E+12
   0.080 0.3258921E+04 0.2534594E+12 0.1887494E+12 0.1957142E+12
   0.081 0.3250145E+04 0.2535039E+12 0.1887067E+12 0.1956712E+12
   0.082 0.3241208E+04 0.2535443E+12 0.1886627E+12 0.1956271E+12
   0.083 0.3232118E+04 0.2535802E+12 0.1886176E+12 0.1955822E+12
   0.084 0.3222880E+04 0.2536116E+12 0.1885716E+12 0.1955364E+12
   0.085 0.3213501E+04 0.2536384E+12 0.1885249E+12 0.1954899E+12
