  STRAIN   SUBSTRUCTURE     MODE1     MODE2     MODE3
   0.000 0.1000000E+00 0.5550000E+11 0.5550000E+11 0.5550000E+11
   0.001 0.5782972E+00 0.5689424E+11 0.5697855E+11 0.5676265E+11
   0.002 0.2210595E+01 0.5841236E+11 0.5857653E+11 0.5812043E+11
   0.003 0.6424767E+01 0.6004295E+11 0.6028163E+11 0.5956375E+11
   0.004 0.1557784E+02 0.6178462E+11 0.6209118E+11 0.6109109E+11
   0.005 0.3327372E+02 0.6363450E+11 0.6400392E+11 0.6270049E+11
   0.006 0.6472258E+02 0.6558844E+11 0.6601623E+11 0.6438981E+11
   0.007 0.1171331E+03 0.6763995E+11 0.6812810E+11 0.6615675E+11
   0.008 0.2001322E+03 0.6979815E+11 0.7033327E+11 0.6800264E+11
   0.009 0.3261952E+03 0.7204506E+11 0.7262973E+11 0.6992396E+11
   0.010 0.5111111E+03 0.7439468E+11 0.7501125E+11 0.7190779E+11
   0.011 0.7744641E+03 0.7683440E+11 0.7748172E+11 0.7396352E+11
   0.012 0.1140061E+04 0.7936860E+11 0.8004505E+11 0.7609643E+11
   0.013 0.1636413E+04 0.8198513E+11 0.8269291E+11 0.7829707E+11
   0.014 0.2297248E+04 0.8469325E+11 0.8542293E+11 0.8056483E+11
   0.015 0.3161919E+04 0.8748560E+11 0.8823090E+11 0.8289447E+11
   0.016 0.4275891E+04 0.9035959E+11 0.9111871E+11 0.8529019E+11
   0.017 0.5691230E+04 0.9329147E+11 0.9406745E+11 0.8774391E+11
   0.018 0.7466863E+04 0.9632002E+11 0.9709890E+11 0.9023690E+11
   0.019 0.9669243E+04 0.9941811E+11 0.1002022E+12 0.9280948E+11
   0.020 0.1237248E+05 0.1025927E+12 0.1033777E+12 0.9543871E+11
   0.021 0.1565889E+05 0.1058377E+12 0.1066208E+12 0.9812331E+11
   0.022 0.1961928E+05 0.1091512E+12 0.1099295E+12 0.1008618E+12
   0.023 0.2435330E+05 0.1125309E+12 0.1133018E+12 0.1036527E+12
   0.024 0.2996971E+05 0.1159748E+12 0.1167360E+12 0.1064946E+12
   0.025 0.3658671E+05 0.1194809E+12 0.1202300E+12 0.1093862E+12
   0.026 0.4433214E+05 0.1230471E+12 0.1237819E+12 0.1123258E+12
   0.027 0.5334385E+05 0.1266606E+12 0.1273884E+12 0.1153103E+12
   0.028 0.6376957E+05 0.1303400E+12 0.1310507E+12 0.1183418E+12
   0.029 0.7576747E+05 0.1340733E+12 0.1347656E+12 0.1214173E+12
   0.030 0.8950615E+05 0.1378586E+12 0.1385311E+12 0.1245355E+12
   0.031 0.1051566E+06 0.1416401E+12 0.1423460E+12 0.1276849E+12
   0.032 0.1229148E+06 0.1455181E+12 0.1461929E+12 0.1308790E+12
   0.033 0.1429834E+06 0.1494422E+12 0.1500974E+12 0.1341153E+12
   0.034 0.1655716E+06 0.1534110E+12 0.1540453E+12 0.1373892E+12
   0.035 0.1909021E+06 0.1574227E+12 0.1580353E+12 0.1406993E+12
   0.036 0.2192080E+06 0.1614755E+12 0.1620658E+12 0.1440443E+12
   0.037 0.2507338E+06 0.1655678E+12 0.1661355E+12 0.1474226E+12
   0.038 0.2857346E+06 0.1696980E+12 0.1702429E+12 0.1508331E+12
   0.039 0.3244768E+06 0.1738643E+12 0.1743868E+12 0.1542747E+12
   0.040 0.3672379E+06 0.1780653E+12 0.1785655E+12 0.1577463E+12
   0.041 0.4143062E+06 0.1822991E+12 0.1827777E+12 0.1612470E+12
   0.042 0.4659812E+06 0.1865643E+12 0.1870219E+12 0.1647758E+12
   0.043 0.5225734E+06 0.1908593E+12 0.1912968E+12 0.1683317E+12
   0.044 0.5844041E+06 0.1951829E+12 0.1956013E+12 0.1719135E+12
   0.045 0.6518056E+06 0.1995335E+12 0.1999340E+12 0.1755202E+12
   0.046 0.7251210E+06 0.2039101E+12 0.2042939E+12 0.1791508E+12
   0.047 0.8047045E+06 0.2083112E+12 0.2086797E+12 0.1828042E+12
   0.048 0.8909206E+06 0.2127356E+12 0.2130904E+12 0.1864794E+12
