  STRAIN   SUBSTRUCTURE     MODE1     MODE2     MODE3
   0.000 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
   0.001 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
   0.002 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
   0.003 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
   0.004 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
   0.005 0.8461998E+01 0.9215508E+11 0.5550000E+11 0.1283384E+12
   0.006 0.8461998E+01 0.9215508E+11 0.5550000E+11 0.1283384E+12
   0.007 0.8461998E+01 0.9215508E+11 0.5550000E+11 0.1283384E+12
   0.008 0.8461998E+01 0.9215508E+11 0.5550000E+11 0.1283384E+12
   0.009 0.8461998E+01 0.9215508E+11 0.5550000E+11 0.1283384E+12
   0.010 0.9204081E+02 0.1745612E+12 0.8704750E+11 0.1544045E+12
   0.011 0.9211989E+02 0.1746365E+12 0.8713513E+11 0.1543550E+12
   0.012 0.9220523E+02 0.1747180E+12 0.8722486E+11 0.1543078E+12
   0.013 0.9229518E+02 0.1748041E+12 0.8731602E+11 0.1542624E+12
   0.014 0.4895332E+03 0.1450063E+12 0.7942140E+11 0.3006054E+12
   0.015 0.2434076E+04 0.2511587E+12 0.7050333E+12 0.7470585E+11
   0.016 0.2426411E+04 0.2437453E+12 0.6978672E+12 0.9149318E+11
   0.017 0.2440103E+04 0.2425846E+12 0.6938894E+12 0.9764108E+11
   0.018 0.2443280E+04 0.2428838E+12 0.6951290E+12 0.9693008E+11
   0.019 0.2446338E+04 0.2431715E+12 0.6963214E+12 0.9624697E+11
   0.020 0.8052999E+04 0.2683640E+12 0.1019412E+13 0.7399329E+11
   0.021 0.8039990E+04 0.2684948E+12 0.1019145E+13 0.7374880E+11
   0.022 0.8027296E+04 0.2686232E+12 0.1018886E+13 0.7350905E+11
   0.023 0.8057366E+04 0.2769406E+12 0.1008672E+13 0.7887709E+11
   0.024 0.8211698E+04 0.2760314E+12 0.1013142E+13 0.7871624E+11
   0.025 0.1515123E+05 0.2550246E+12 0.9766988E+12 0.2522142E+12
   0.026 0.1511683E+05 0.2552644E+12 0.9762467E+12 0.2517130E+12
   0.027 0.1510398E+05 0.2556885E+12 0.9775583E+12 0.2505675E+12
   0.028 0.1508914E+05 0.2553247E+12 0.9768629E+12 0.2526624E+12
   0.029 0.1564215E+05 0.2536897E+12 0.9890561E+12 0.2527609E+12
   0.030 0.1565538E+05 0.2572204E+12 0.9863260E+12 0.2532749E+12
   0.031 0.2932109E+05 0.4913252E+12 0.9383725E+12 0.2610927E+12
   0.032 0.2932276E+05 0.4918349E+12 0.9381834E+12 0.2606129E+12
   0.033 0.4799597E+05 0.4683326E+12 0.8895013E+12 0.4602328E+12
   0.034 0.4804803E+05 0.4801327E+12 0.8825315E+12 0.4635244E+12
   0.035 0.4795563E+05 0.4806594E+12 0.8826430E+12 0.4620745E+12
   0.036 0.7016420E+05 0.6993133E+12 0.8627011E+12 0.4329511E+12
   0.037 0.1191238E+06 0.6648677E+12 0.1124373E+13 0.4084230E+12
   0.038 0.1242723E+06 0.7215839E+12 0.1119790E+13 0.4002869E+12
   0.039 0.1270504E+06 0.7364224E+12 0.1108579E+13 0.4273870E+12
   0.040 0.1929325E+06 0.6960798E+12 0.1399982E+13 0.4015659E+12
   0.041 0.1956239E+06 0.7130809E+12 0.1398891E+13 0.3989476E+12
   0.042 0.2109993E+06 0.8346351E+12 0.1411736E+13 0.4170294E+12
   0.043 0.2129568E+06 0.8387593E+12 0.1420057E+13 0.4196026E+12
   0.044 0.2142419E+06 0.8447155E+12 0.1422831E+13 0.4190935E+12
   0.045 0.2154977E+06 0.8505427E+12 0.1425676E+13 0.4184179E+12
   0.046 0.2807612E+06 0.8758776E+12 0.1406294E+13 0.6812405E+12
   0.047 0.2830960E+06 0.8814453E+12 0.1408479E+13 0.6854916E+12
   0.048 0.3983491E+06 0.8465566E+12 0.1318411E+13 0.1079206E+13
   0.049 0.4683996E+06 0.8394400E+12 0.1273595E+13 0.1288954E+13
   0.050 0.6389938E+06 0.1307652E+13 0.1189069E+13 0.1232407E+13
   0.051 0.6446128E+06 0.1315569E+13 0.1188243E+13 0.1242370E+13
   0.052 0.8051752E+06 0.1300977E+13 0.1446266E+13 0.1299467E+13
   0.053 0.8114322E+06 0.1308099E+13 0.1447059E+13 0.1309832E+13
   0.054 0.8175051E+06 0.1314949E+13 0.1447901E+13 0.1319863E+13
   0.055 0.9907647E+06 0.1642535E+13 0.1383739E+13 0.1289255E+13
   0.056 0.9971186E+06 0.1650282E+13 0.1384285E+13 0.1298050E+13
   0.057 0.1044937E+07 0.1801566E+13 0.1340998E+13 0.1333746E+13
   0.058 0.1051070E+07 0.1809682E+13 0.1341252E+13 0.1341982E+13
   0.059 0.1072958E+07 0.1806551E+13 0.1404034E+13 0.1334595E+13
   0.060 0.1110948E+07 0.1862583E+13 0.1491534E+13 0.1310988E+13
   0.061 0.1117088E+07 0.1870126E+13 0.1494206E+13 0.1317523E+13
   0.062 0.1123040E+07 0.1877405E+13 0.1496840E+13 0.1323847E+13
   0.063 0.1302875E+07 0.2188445E+13 0.1463038E+13 0.1334697E+13
   0.064 0.1309516E+07 0.2197324E+13 0.1465384E+13 0.1340163E+13
   0.065 0.1315951E+07 0.2205908E+13 0.1467689E+13 0.1345450E+13
   0.066 0.1339170E+07 0.2193687E+13 0.1504812E+13 0.1379790E+13
   0.067 0.1366371E+07 0.2237091E+13 0.1494358E+13 0.1407924E+13
   0.068 0.1372784E+07 0.2244519E+13 0.1497289E+13 0.1413630E+13
   0.069 0.1493636E+07 0.2350282E+13 0.1483761E+13 0.1406884E+13
   0.070 0.1501535E+07 0.2359292E+13 0.1486720E+13 0.1411686E+13
   0.071 0.1533749E+07 0.2365432E+13 0.1524311E+13 0.1410124E+13
   0.072 0.1541586E+07 0.2373255E+13 0.1527443E+13 0.1414806E+13
   0.073 0.1597505E+07 0.2372181E+13 0.1520935E+13 0.1475021E+13
   0.074 0.1825715E+07 0.2293237E+13 0.1587439E+13 0.1735472E+13
   0.075 0.1885507E+07 0.2346978E+13 0.1573255E+13 0.1783657E+13
   0.076 0.2041713E+07 0.2447602E+13 0.1539299E+13 0.1906520E+13
   0.077 0.2052107E+07 0.2453964E+13 0.1541990E+13 0.1914422E+13
   0.078 0.2066328E+07 0.2460604E+13 0.1542642E+13 0.1929684E+13
   0.079 0.2076265E+07 0.2466588E+13 0.1545279E+13 0.1937210E+13
   0.080 0.2315389E+07 0.2661469E+13 0.1577551E+13 0.1898122E+13
   0.081 0.2385784E+07 0.2644291E+13 0.1614465E+13 0.1959107E+13
   0.082 0.2398091E+07 0.2650809E+13 0.1617817E+13 0.1966637E+13
   0.083 0.2410095E+07 0.2657139E+13 0.1621092E+13 0.1973986E+13
   0.084 0.2421777E+07 0.2663282E+13 0.1624281E+13 0.1981145E+13
   0.085 0.2433146E+07 0.2669243E+13 0.1627386E+13 0.1988117E+13
