  %STRAIN  PHFRAC   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   TWFR4   TWFR5
   0.000   1.000   2.589   0.522   0.052   0.424   0.002   0.000   0.000   0.000
   0.001   1.000   2.589   0.524   0.052   0.423   0.001   0.000   0.000   0.000
   0.002   1.000   2.603   0.523   0.053   0.422   0.002   0.000   0.000   0.000
   0.003   1.000   2.610   0.523   0.053   0.422   0.002   0.000   0.000   0.000
   0.004   1.000   2.625   0.521   0.054   0.422   0.002   0.000   0.000   0.000
   0.005   1.000   2.647   0.520   0.055   0.423   0.002   0.000   0.000   0.000
   0.006   1.000   2.660   0.519   0.056   0.423   0.002   0.000   0.000   0.000
   0.007   1.000   2.670   0.518   0.057   0.423   0.002   0.000   0.000   0.000
   0.008   1.000   2.682   0.517   0.058   0.423   0.002   0.000   0.000   0.000
   0.009   1.000   2.695   0.515   0.059   0.423   0.003   0.000   0.000   0.000
   0.010   1.000   2.713   0.514   0.060   0.424   0.003   0.000   0.000   0.000
   0.011   1.000   2.725   0.513   0.060   0.424   0.003   0.000   0.000   0.000
   0.012   1.000   2.754   0.512   0.061   0.424   0.003   0.000   0.000   0.000
   0.013   1.000   2.768   0.510   0.062   0.424   0.003   0.000   0.000   0.000
   0.014   1.000   2.790   0.509   0.063   0.424   0.004   0.000   0.000   0.000
   0.015   1.000   2.816   0.507   0.064   0.425   0.004   0.000   0.001   0.000
   0.016   1.000   2.823   0.506   0.065   0.425   0.004   0.000   0.001   0.000
   0.017   1.000   2.826   0.505   0.066   0.425   0.004   0.000   0.001   0.000
   0.018   1.000   2.825   0.503   0.067   0.425   0.005   0.000   0.001   0.000
   0.019   1.000   2.837   0.502   0.068   0.425   0.005   0.000   0.001   0.000
   0.020   1.000   2.865   0.500   0.069   0.426   0.005   0.000   0.001   0.000
   0.021   1.000   2.877   0.498   0.070   0.426   0.006   0.000   0.001   0.000
   0.022   1.000   2.904   0.497   0.071   0.426   0.006   0.000   0.001   0.000
   0.023   1.000   2.932   0.495   0.072   0.426   0.006   0.000   0.001   0.000
   0.024   1.000   2.941   0.494   0.073   0.426   0.007   0.000   0.001   0.000
   0.025   0.999   2.949   0.492   0.074   0.426   0.007   0.000   0.001   0.000
   0.026   0.999   2.965   0.491   0.075   0.427   0.008   0.000   0.001   0.000
   0.027   0.999   2.969   0.489   0.076   0.427   0.008   0.000   0.001   0.000
   0.028   0.999   2.996   0.487   0.077   0.427   0.008   0.000   0.002   0.000
   0.029   0.999   3.012   0.486   0.079   0.427   0.009   0.000   0.002   0.000
